Dataset,Model,min,max,median,Range_and_Median
CounterMovementJump,LSTM,37755,3379623,516858,"37,755 – 3,379,623 (median: 516,858)"
CounterMovementJump,Transformer,103806,3942514,987219,"103,806 – 3,942,514 (median: 987,219)"
DucksAndGeese,CNN,30365,9856517,2502185,"30,365 – 9,856,517 (median: 2,502,185)"
DucksAndGeese,FCNN,49415,659933,313762,"49,415 – 659,933 (median: 313,762)"
DucksAndGeese,GRU,4549,627135,94660,"4,549 – 627,135 (median: 94,660)"
DucksAndGeese,LSTM,38069,3380573,517656,"38,069 – 3,380,573 (median: 517,656)"
DucksAndGeese,Transformer,139364,3724241,943667,"139,364 – 3,724,241 (median: 943,667)"
EigenWorms,CNN,30860,9862097,2503500,"30,860 – 9,862,097 (median: 2,503,500)"
EigenWorms,FCNN,900085,11521029,5629535,"900,085 – 11,521,029 (median: 5,629,535)"
EigenWorms,GRU,5029,630705,96752,"5,029 – 630,705 (median: 96,752)"
EigenWorms,LSTM,39629,3390053,522950,"39,629 – 3,390,053 (median: 522,950)"
EigenWorms,Transformer,76413,3543623,891368,"76,413 – 3,543,623 (median: 891,368)"
FaultDetectionB,CNN,6074,1552878,282969,"6,074 – 1,552,878 (median: 282,969)"
FaultDetectionB,FCNN,25663,365431,167698,"25,663 – 365,431 (median: 167,698)"
FaultDetectionB,GRU,4483,626895,94454,"4,483 – 626,895 (median: 94,454)"
FaultDetectionB,LSTM,37755,3379623,516858,"37,755 – 3,379,623 (median: 516,858)"
FaultDetectionB,Transformer,136319,4207538,1011040,"136,319 – 4,207,538 (median: 1,011,040)"
FiftyWords,CNN,8201,2268785,471326,"8,201 – 2,268,785 (median: 471,326)"
FiftyWords,FCNN,3280,87346,24450,"3,280 – 87,346 (median: 24,450)"
FiftyWords,GRU,6034,632535,98574,"6,034 – 632,535 (median: 98,574)"
FiftyWords,LSTM,45134,3401948,531452,"45,134 – 3,401,948 (median: 531,452)"
FiftyWords,Transformer,123485,3960104,1062731,"123,485 – 3,960,104 (median: 1,062,731)"
HouseTwenty,CNN,4565,1100237,185453,"4,565 – 1,100,237 (median: 185,453)"
HouseTwenty,FCNN,20052,295866,133195,"20,052 – 295,866 (median: 133,195)"
HouseTwenty,GRU,4450,626775,94351,"4,450 – 626,775 (median: 94,351)"
HouseTwenty,LSTM,37598,3379148,516459,"37,598 – 3,379,148 (median: 516,459)"
HouseTwenty,Transformer,101328,3977136,995325,"101,328 – 3,977,136 (median: 995,325)"
KeplerLightCurves,CNN,16023,4712629,1128364,"16,023 – 4,712,629 (median: 1,128,364)"
KeplerLightCurves,FCNN,47777,639599,303678,"47,777 – 639,599 (median: 303,678)"
KeplerLightCurves,GRU,4615,627375,94866,"4,615 – 627,375 (median: 94,866)"
KeplerLightCurves,LSTM,38383,3381523,518454,"38,383 – 3,381,523 (median: 518,454)"
KeplerLightCurves,Transformer,89881,4208482,1129575,"89,881 – 4,208,482 (median: 1,129,575)"
RightWhaleCalls,CNN,119,608483,27411,"119 – 608,483 (median: 27,411)"
RightWhaleCalls,FCNN,62,47990,4808,"62 – 47,990 (median: 4,808)"
RightWhaleCalls,GRU,4450,626775,94351,"4,450 – 626,775 (median: 94,351)"
RightWhaleCalls,LSTM,37598,3379148,516459,"37,598 – 3,379,148 (median: 516,459)"
RightWhaleCalls,Transformer,101328,3977136,1075762,"101,328 – 3,977,136 (median: 1,075,762)"
classification_ozone,CNN,3426,903683,134449,"3,426 – 903,683 (median: 134,449)"
classification_ozone,FCNN,12062,196790,84057,"12,062 – 196,790 (median: 84,057)"
classification_ozone,GRU,4450,626775,94351,"4,450 – 626,775 (median: 94,351)"
classification_ozone,LSTM,37598,3379148,516459,"37,598 – 3,379,148 (median: 516,459)"
classification_ozone,Transformer,116393,3980732,1208737,"116,393 – 3,980,732 (median: 1,208,737)"
