dataset,model,val_acc,activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,ff_dim,num_heads,pooling,kernel_size,num_filters,pooling_size,bidirectional,output_activation
FaultDetectionB,FCNN,0.8363636374473572,tanh,0.5158026504679,80.0,1.54230528e-05,4,0.007542302998,,,,,,,,
FaultDetectionB,FCNN,0.46060606837272644,tanh,0.5158026504679,80.0,1.54230528e-05,4,0.007542302998,,,,,,,,
FaultDetectionB,FCNN,0.7636363625526428,tanh,0.5158026504679,80.0,1.54230528e-05,4,0.007542302998,,,,,,,,
FaultDetectionB,FCNN,0.9272727251052857,gelu,0.2832765322529,28.0,0.0002283784877,1,1.65950009e-05,,,,,,,,
FaultDetectionB,FCNN,0.9272727251052857,gelu,0.2832765322529,28.0,0.0002283784877,1,1.65950009e-05,,,,,,,,
FaultDetectionB,FCNN,0.8909090876579284,gelu,0.2832765322529,28.0,0.0002283784877,1,1.65950009e-05,,,,,,,,
FaultDetectionB,FCNN,0.9151515126228332,gelu,0.2832765322529,28.0,0.0002283784877,1,1.65950009e-05,,,,,,,,
FaultDetectionB,FCNN,0.8666666626930237,gelu,0.2832765322529,28.0,0.0002283784877,1,1.65950009e-05,,,,,,,,
FaultDetectionB,FCNN,0.5333333432674408,tanh,0.5418824269471,53.0,3.31280424e-05,4,1.88153436e-05,,,,,,,,
FaultDetectionB,FCNN,0.6424242496490479,tanh,0.5418824269471,53.0,3.31280424e-05,4,1.88153436e-05,,,,,,,,
FaultDetectionB,FCNN,0.8,tanh,0.5418824269471,53.0,3.31280424e-05,4,1.88153436e-05,,,,,,,,
FaultDetectionB,FCNN,0.44848485589027404,tanh,0.5418824269471,53.0,3.31280424e-05,4,1.88153436e-05,,,,,,,,
FaultDetectionB,FCNN,0.5515151560306549,tanh,0.5418824269471,53.0,3.31280424e-05,4,1.88153436e-05,,,,,,,,
FaultDetectionB,FCNN,0.8909090876579284,gelu,0.5897224995807,84.0,0.0002998338024,2,0.0003724138885,,,,,,,,
FaultDetectionB,FCNN,0.939393937587738,gelu,0.5897224995807,84.0,0.0002998338024,2,0.0003724138885,,,,,,,,
FaultDetectionB,FCNN,0.9151515126228332,gelu,0.5897224995807,84.0,0.0002998338024,2,0.0003724138885,,,,,,,,
FaultDetectionB,FCNN,0.9272727251052857,gelu,0.5897224995807,84.0,0.0002998338024,2,0.0003724138885,,,,,,,,
