activation,dropout_rate,ff_dim,hidden_units,learning_rate,num_heads,num_layers,pooling,dataset,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20
gelu,0.0266100596626,593,126,0.000440311941,2,5,max,ChlorineConcentration,0.35625,0.5225806623697281,0.602150559425354,0.5333333492279053,0.5311828017234802,0.5440860390663147,0.602150559425354,0.602150559425354,0.602150559425354,0.6043010950088501,0.5784946382045746,0.602150559425354,0.602150559425354,0.5935484051704407,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.6043010950088501
relu,0.0137457461769,839,476,2.32106058e-05,2,6,max,ChlorineConcentration,0.21875,0.5935484051704407,0.6043010950088501,0.5913978695869446,0.501075267791748,0.5720430135726928,0.563440865278244,0.5440860331058502,0.602150559425354,0.5612903356552124,0.576344096660614,0.5763441026210785,0.511827963590622,0.5784946322441101,0.5354838669300079,0.5096774101257324,0.539784961938858,0.5290322542190552,0.5333333432674408,0.576344096660614
relu,0.1475203054317,417,249,2.65528608e-05,7,1,max,ChlorineConcentration,0.365625,0.5698924899101258,0.602150559425354,0.602150559425354,0.600000011920929,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354
relu,0.2448257495881,381,328,0.0007039420852,2,1,mean,ChlorineConcentration,0.296875,0.5935484051704407,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.5935484051704407,0.602150559425354,0.5935484051704407,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.5763441026210785,0.6043010950088501,0.602150559425354,0.602150559425354,0.600000011920929,0.6043010950088501
relu,0.1713330679641,549,269,5.43412947e-05,5,3,mean,ChlorineConcentration,0.4375,0.5698924899101258,0.5720430195331574,0.5677419543266297,0.602150559425354,0.5892473340034485,0.5591398000717163,0.5806451797485351,0.5935484051704407,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.600000011920929,0.602150559425354,0.602150559425354
relu,0.2228031325025,330,70,7.46761072e-05,7,2,mean,ChlorineConcentration,0.296875,0.602150559425354,0.5612903237342834,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354
gelu,0.1032516319464,516,102,0.0002858423622,3,6,mean,ChlorineConcentration,0.284375,0.5075268924236298,0.602150559425354,0.602150559425354,0.600000011920929,0.6043010950088501,0.5978494763374329,0.602150559425354,0.602150559425354,0.600000011920929,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.6043010950088501,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354
relu,0.2382868632073,405,211,0.0002652414547,6,4,mean,ChlorineConcentration,0.4125,0.602150559425354,0.5978494763374329,0.5827957153320312,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.5913978695869446,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354
relu,0.0003685288085,346,357,0.0002554062303,3,5,max,ChlorineConcentration,0.275,0.5225806623697281,0.5268817365169525,0.5741935670375824,0.5419354975223541,0.5440860331058502,0.4860215157270431,0.602150559425354,0.5784946322441101,0.602150559425354,0.5935484051704407,0.5698924779891967,0.5892473220825195,0.5720430016517639,0.5268817126750946,0.5741935491561889,0.5462365627288819,0.524731183052063,0.5182795584201813,0.5548387050628663
gelu,0.2108803478523,438,363,0.000803320335,4,6,max,ChlorineConcentration,0.34375,0.3677419424057007,0.5204301238059997,0.5225806623697281,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354,0.602150559425354
