Model,Dataset,Schedule,Round,Configs_Eliminated,Total_Configs,Elimination_Rate_%
CNN,BinaryHeartbeat,Moderate,1,0,100,0.00
CNN,BinaryHeartbeat,Moderate,2,50,100,50.00
CNN,BinaryHeartbeat,Moderate,3,40,50,80.00
CNN,BinaryHeartbeat,Moderate,4,9,10,90.00
CNN,BinaryHeartbeat,Aggressive,1,0,100,0.00
CNN,BinaryHeartbeat,Aggressive,2,90,100,90.00
CNN,BinaryHeartbeat,Aggressive,3,9,10,90.00
CNN,BinaryHeartbeat,Conservative,1,0,100,0.00
CNN,BinaryHeartbeat,Conservative,2,25,100,25.00
CNN,BinaryHeartbeat,Conservative,3,25,75,33.33
CNN,BinaryHeartbeat,Conservative,4,25,50,50.00
CNN,BinaryHeartbeat,Conservative,5,24,25,96.00
CNN,BinaryHeartbeat,VeryAggressive,1,0,100,0.00
CNN,BinaryHeartbeat,VeryAggressive,2,95,100,95.00
CNN,BinaryHeartbeat,VeryAggressive,3,4,5,80.00
CNN,BinaryHeartbeat,Standard,1,0,100,0.00
CNN,BinaryHeartbeat,Standard,2,50,100,50.00
CNN,BinaryHeartbeat,Standard,3,25,50,50.00
CNN,BinaryHeartbeat,Standard,4,13,25,52.00
CNN,BinaryHeartbeat,Standard,5,6,12,50.00
CNN,BinaryHeartbeat,Standard,6,3,6,50.00
CNN,BinaryHeartbeat,Standard,7,2,3,66.67
CNN,BirdChicken,Moderate,1,0,100,0.00
CNN,BirdChicken,Moderate,2,50,100,50.00
CNN,BirdChicken,Moderate,3,40,50,80.00
CNN,BirdChicken,Moderate,4,9,10,90.00
CNN,BirdChicken,Aggressive,1,0,100,0.00
CNN,BirdChicken,Aggressive,2,90,100,90.00
CNN,BirdChicken,Aggressive,3,9,10,90.00
CNN,BirdChicken,Conservative,1,0,100,0.00
CNN,BirdChicken,Conservative,2,25,100,25.00
CNN,BirdChicken,Conservative,3,25,75,33.33
CNN,BirdChicken,Conservative,4,25,50,50.00
CNN,BirdChicken,Conservative,5,24,25,96.00
CNN,BirdChicken,VeryAggressive,1,0,100,0.00
CNN,BirdChicken,VeryAggressive,2,95,100,95.00
CNN,BirdChicken,VeryAggressive,3,4,5,80.00
CNN,BirdChicken,Standard,1,0,100,0.00
CNN,BirdChicken,Standard,2,50,100,50.00
CNN,BirdChicken,Standard,3,25,50,50.00
CNN,BirdChicken,Standard,4,13,25,52.00
CNN,BirdChicken,Standard,5,6,12,50.00
CNN,BirdChicken,Standard,6,3,6,50.00
CNN,BirdChicken,Standard,7,2,3,66.67
CNN,CBF,Moderate,1,0,100,0.00
CNN,CBF,Moderate,2,50,100,50.00
CNN,CBF,Moderate,3,40,50,80.00
CNN,CBF,Moderate,4,9,10,90.00
CNN,CBF,Aggressive,1,0,100,0.00
CNN,CBF,Aggressive,2,90,100,90.00
CNN,CBF,Aggressive,3,9,10,90.00
CNN,CBF,Conservative,1,0,100,0.00
CNN,CBF,Conservative,2,25,100,25.00
CNN,CBF,Conservative,3,25,75,33.33
CNN,CBF,Conservative,4,25,50,50.00
CNN,CBF,Conservative,5,24,25,96.00
CNN,CBF,VeryAggressive,1,0,100,0.00
CNN,CBF,VeryAggressive,2,95,100,95.00
CNN,CBF,VeryAggressive,3,4,5,80.00
CNN,CBF,Standard,1,0,100,0.00
CNN,CBF,Standard,2,50,100,50.00
CNN,CBF,Standard,3,25,50,50.00
CNN,CBF,Standard,4,13,25,52.00
CNN,CBF,Standard,5,6,12,50.00
CNN,CBF,Standard,6,3,6,50.00
CNN,CBF,Standard,7,2,3,66.67
CNN,Car,Moderate,1,0,100,0.00
CNN,Car,Moderate,2,50,100,50.00
CNN,Car,Moderate,3,40,50,80.00
CNN,Car,Moderate,4,9,10,90.00
CNN,Car,Aggressive,1,0,100,0.00
CNN,Car,Aggressive,2,90,100,90.00
CNN,Car,Aggressive,3,9,10,90.00
CNN,Car,Conservative,1,0,100,0.00
CNN,Car,Conservative,2,25,100,25.00
CNN,Car,Conservative,3,25,75,33.33
CNN,Car,Conservative,4,25,50,50.00
CNN,Car,Conservative,5,24,25,96.00
CNN,Car,VeryAggressive,1,0,100,0.00
CNN,Car,VeryAggressive,2,95,100,95.00
CNN,Car,VeryAggressive,3,4,5,80.00
CNN,Car,Standard,1,0,100,0.00
CNN,Car,Standard,2,50,100,50.00
CNN,Car,Standard,3,25,50,50.00
CNN,Car,Standard,4,13,25,52.00
CNN,Car,Standard,5,6,12,50.00
CNN,Car,Standard,6,3,6,50.00
CNN,Car,Standard,7,2,3,66.67
CNN,CatsDogs,Moderate,1,0,100,0.00
CNN,CatsDogs,Moderate,2,50,100,50.00
CNN,CatsDogs,Moderate,3,40,50,80.00
CNN,CatsDogs,Moderate,4,9,10,90.00
CNN,CatsDogs,Aggressive,1,0,100,0.00
CNN,CatsDogs,Aggressive,2,90,100,90.00
CNN,CatsDogs,Aggressive,3,9,10,90.00
CNN,CatsDogs,Conservative,1,0,100,0.00
CNN,CatsDogs,Conservative,2,25,100,25.00
CNN,CatsDogs,Conservative,3,25,75,33.33
CNN,CatsDogs,Conservative,4,25,50,50.00
CNN,CatsDogs,Conservative,5,24,25,96.00
CNN,CatsDogs,VeryAggressive,1,0,100,0.00
CNN,CatsDogs,VeryAggressive,2,95,100,95.00
CNN,CatsDogs,VeryAggressive,3,4,5,80.00
CNN,CatsDogs,Standard,1,0,100,0.00
CNN,CatsDogs,Standard,2,50,100,50.00
CNN,CatsDogs,Standard,3,25,50,50.00
CNN,CatsDogs,Standard,4,13,25,52.00
CNN,CatsDogs,Standard,5,6,12,50.00
CNN,CatsDogs,Standard,6,3,6,50.00
CNN,CatsDogs,Standard,7,2,3,66.67
CNN,ChlorineConcentration,Moderate,1,0,100,0.00
CNN,ChlorineConcentration,Moderate,2,50,100,50.00
CNN,ChlorineConcentration,Moderate,3,40,50,80.00
CNN,ChlorineConcentration,Moderate,4,9,10,90.00
CNN,ChlorineConcentration,Aggressive,1,0,100,0.00
CNN,ChlorineConcentration,Aggressive,2,90,100,90.00
CNN,ChlorineConcentration,Aggressive,3,9,10,90.00
CNN,ChlorineConcentration,Conservative,1,0,100,0.00
CNN,ChlorineConcentration,Conservative,2,25,100,25.00
CNN,ChlorineConcentration,Conservative,3,25,75,33.33
CNN,ChlorineConcentration,Conservative,4,25,50,50.00
CNN,ChlorineConcentration,Conservative,5,24,25,96.00
CNN,ChlorineConcentration,VeryAggressive,1,0,100,0.00
CNN,ChlorineConcentration,VeryAggressive,2,95,100,95.00
CNN,ChlorineConcentration,VeryAggressive,3,4,5,80.00
CNN,ChlorineConcentration,Standard,1,0,100,0.00
CNN,ChlorineConcentration,Standard,2,50,100,50.00
CNN,ChlorineConcentration,Standard,3,25,50,50.00
CNN,ChlorineConcentration,Standard,4,13,25,52.00
CNN,ChlorineConcentration,Standard,5,6,12,50.00
CNN,ChlorineConcentration,Standard,6,3,6,50.00
CNN,ChlorineConcentration,Standard,7,2,3,66.67
CNN,CinCECGTorso,Moderate,1,0,100,0.00
CNN,CinCECGTorso,Moderate,2,50,100,50.00
CNN,CinCECGTorso,Moderate,3,40,50,80.00
CNN,CinCECGTorso,Moderate,4,9,10,90.00
CNN,CinCECGTorso,Aggressive,1,0,100,0.00
CNN,CinCECGTorso,Aggressive,2,90,100,90.00
CNN,CinCECGTorso,Aggressive,3,9,10,90.00
CNN,CinCECGTorso,Conservative,1,0,100,0.00
CNN,CinCECGTorso,Conservative,2,25,100,25.00
CNN,CinCECGTorso,Conservative,3,25,75,33.33
CNN,CinCECGTorso,Conservative,4,25,50,50.00
CNN,CinCECGTorso,Conservative,5,24,25,96.00
CNN,CinCECGTorso,VeryAggressive,1,0,100,0.00
CNN,CinCECGTorso,VeryAggressive,2,95,100,95.00
CNN,CinCECGTorso,VeryAggressive,3,4,5,80.00
CNN,CinCECGTorso,Standard,1,0,100,0.00
CNN,CinCECGTorso,Standard,2,50,100,50.00
CNN,CinCECGTorso,Standard,3,25,50,50.00
CNN,CinCECGTorso,Standard,4,13,25,52.00
CNN,CinCECGTorso,Standard,5,6,12,50.00
CNN,CinCECGTorso,Standard,6,3,6,50.00
CNN,CinCECGTorso,Standard,7,2,3,66.67
CNN,CounterMovementJump,Moderate,1,0,100,0.00
CNN,CounterMovementJump,Moderate,2,50,100,50.00
CNN,CounterMovementJump,Moderate,3,40,50,80.00
CNN,CounterMovementJump,Moderate,4,9,10,90.00
CNN,CounterMovementJump,Aggressive,1,0,100,0.00
CNN,CounterMovementJump,Aggressive,2,90,100,90.00
CNN,CounterMovementJump,Aggressive,3,9,10,90.00
CNN,CounterMovementJump,Conservative,1,0,100,0.00
CNN,CounterMovementJump,Conservative,2,25,100,25.00
CNN,CounterMovementJump,Conservative,3,25,75,33.33
CNN,CounterMovementJump,Conservative,4,25,50,50.00
CNN,CounterMovementJump,Conservative,5,24,25,96.00
CNN,CounterMovementJump,VeryAggressive,1,0,100,0.00
CNN,CounterMovementJump,VeryAggressive,2,95,100,95.00
CNN,CounterMovementJump,VeryAggressive,3,4,5,80.00
CNN,CounterMovementJump,Standard,1,0,100,0.00
CNN,CounterMovementJump,Standard,2,50,100,50.00
CNN,CounterMovementJump,Standard,3,25,50,50.00
CNN,CounterMovementJump,Standard,4,13,25,52.00
CNN,CounterMovementJump,Standard,5,6,12,50.00
CNN,CounterMovementJump,Standard,6,3,6,50.00
CNN,CounterMovementJump,Standard,7,2,3,66.67
CNN,DucksAndGeese,Moderate,1,0,100,0.00
CNN,DucksAndGeese,Moderate,2,50,100,50.00
CNN,DucksAndGeese,Moderate,3,40,50,80.00
CNN,DucksAndGeese,Moderate,4,9,10,90.00
CNN,DucksAndGeese,Aggressive,1,0,100,0.00
CNN,DucksAndGeese,Aggressive,2,90,100,90.00
CNN,DucksAndGeese,Aggressive,3,9,10,90.00
CNN,DucksAndGeese,Conservative,1,0,100,0.00
CNN,DucksAndGeese,Conservative,2,25,100,25.00
CNN,DucksAndGeese,Conservative,3,25,75,33.33
CNN,DucksAndGeese,Conservative,4,25,50,50.00
CNN,DucksAndGeese,Conservative,5,24,25,96.00
CNN,DucksAndGeese,VeryAggressive,1,0,100,0.00
CNN,DucksAndGeese,VeryAggressive,2,95,100,95.00
CNN,DucksAndGeese,VeryAggressive,3,4,5,80.00
CNN,DucksAndGeese,Standard,1,0,100,0.00
CNN,DucksAndGeese,Standard,2,50,100,50.00
CNN,DucksAndGeese,Standard,3,25,50,50.00
CNN,DucksAndGeese,Standard,4,13,25,52.00
CNN,DucksAndGeese,Standard,5,6,12,50.00
CNN,DucksAndGeese,Standard,6,3,6,50.00
CNN,DucksAndGeese,Standard,7,2,3,66.67
CNN,EigenWorms,Moderate,1,0,100,0.00
CNN,EigenWorms,Moderate,2,50,100,50.00
CNN,EigenWorms,Moderate,3,40,50,80.00
CNN,EigenWorms,Moderate,4,9,10,90.00
CNN,EigenWorms,Aggressive,1,0,100,0.00
CNN,EigenWorms,Aggressive,2,90,100,90.00
CNN,EigenWorms,Aggressive,3,9,10,90.00
CNN,EigenWorms,Conservative,1,0,100,0.00
CNN,EigenWorms,Conservative,2,25,100,25.00
CNN,EigenWorms,Conservative,3,25,75,33.33
CNN,EigenWorms,Conservative,4,25,50,50.00
CNN,EigenWorms,Conservative,5,24,25,96.00
CNN,EigenWorms,VeryAggressive,1,0,100,0.00
CNN,EigenWorms,VeryAggressive,2,95,100,95.00
CNN,EigenWorms,VeryAggressive,3,4,5,80.00
CNN,EigenWorms,Standard,1,0,100,0.00
CNN,EigenWorms,Standard,2,50,100,50.00
CNN,EigenWorms,Standard,3,25,50,50.00
CNN,EigenWorms,Standard,4,13,25,52.00
CNN,EigenWorms,Standard,5,6,12,50.00
CNN,EigenWorms,Standard,6,3,6,50.00
CNN,EigenWorms,Standard,7,2,3,66.67
CNN,FaultDetectionB,Moderate,1,0,100,0.00
CNN,FaultDetectionB,Moderate,2,50,100,50.00
CNN,FaultDetectionB,Moderate,3,40,50,80.00
CNN,FaultDetectionB,Moderate,4,9,10,90.00
CNN,FaultDetectionB,Aggressive,1,0,100,0.00
CNN,FaultDetectionB,Aggressive,2,90,100,90.00
CNN,FaultDetectionB,Aggressive,3,9,10,90.00
CNN,FaultDetectionB,Conservative,1,0,100,0.00
CNN,FaultDetectionB,Conservative,2,25,100,25.00
CNN,FaultDetectionB,Conservative,3,25,75,33.33
CNN,FaultDetectionB,Conservative,4,25,50,50.00
CNN,FaultDetectionB,Conservative,5,24,25,96.00
CNN,FaultDetectionB,VeryAggressive,1,0,100,0.00
CNN,FaultDetectionB,VeryAggressive,2,95,100,95.00
CNN,FaultDetectionB,VeryAggressive,3,4,5,80.00
CNN,FaultDetectionB,Standard,1,0,100,0.00
CNN,FaultDetectionB,Standard,2,50,100,50.00
CNN,FaultDetectionB,Standard,3,25,50,50.00
CNN,FaultDetectionB,Standard,4,13,25,52.00
CNN,FaultDetectionB,Standard,5,6,12,50.00
CNN,FaultDetectionB,Standard,6,3,6,50.00
CNN,FaultDetectionB,Standard,7,2,3,66.67
CNN,FiftyWords,Moderate,1,0,100,0.00
CNN,FiftyWords,Moderate,2,50,100,50.00
CNN,FiftyWords,Moderate,3,40,50,80.00
CNN,FiftyWords,Moderate,4,9,10,90.00
CNN,FiftyWords,Aggressive,1,0,100,0.00
CNN,FiftyWords,Aggressive,2,90,100,90.00
CNN,FiftyWords,Aggressive,3,9,10,90.00
CNN,FiftyWords,Conservative,1,0,100,0.00
CNN,FiftyWords,Conservative,2,25,100,25.00
CNN,FiftyWords,Conservative,3,25,75,33.33
CNN,FiftyWords,Conservative,4,25,50,50.00
CNN,FiftyWords,Conservative,5,24,25,96.00
CNN,FiftyWords,VeryAggressive,1,0,100,0.00
CNN,FiftyWords,VeryAggressive,2,95,100,95.00
CNN,FiftyWords,VeryAggressive,3,4,5,80.00
CNN,FiftyWords,Standard,1,0,100,0.00
CNN,FiftyWords,Standard,2,50,100,50.00
CNN,FiftyWords,Standard,3,25,50,50.00
CNN,FiftyWords,Standard,4,13,25,52.00
CNN,FiftyWords,Standard,5,6,12,50.00
CNN,FiftyWords,Standard,6,3,6,50.00
CNN,FiftyWords,Standard,7,2,3,66.67
CNN,HouseTwenty,Moderate,1,0,100,0.00
CNN,HouseTwenty,Moderate,2,50,100,50.00
CNN,HouseTwenty,Moderate,3,40,50,80.00
CNN,HouseTwenty,Moderate,4,9,10,90.00
CNN,HouseTwenty,Aggressive,1,0,100,0.00
CNN,HouseTwenty,Aggressive,2,90,100,90.00
CNN,HouseTwenty,Aggressive,3,9,10,90.00
CNN,HouseTwenty,Conservative,1,0,100,0.00
CNN,HouseTwenty,Conservative,2,25,100,25.00
CNN,HouseTwenty,Conservative,3,25,75,33.33
CNN,HouseTwenty,Conservative,4,25,50,50.00
CNN,HouseTwenty,Conservative,5,24,25,96.00
CNN,HouseTwenty,VeryAggressive,1,0,100,0.00
CNN,HouseTwenty,VeryAggressive,2,95,100,95.00
CNN,HouseTwenty,VeryAggressive,3,4,5,80.00
CNN,HouseTwenty,Standard,1,0,100,0.00
CNN,HouseTwenty,Standard,2,50,100,50.00
CNN,HouseTwenty,Standard,3,25,50,50.00
CNN,HouseTwenty,Standard,4,13,25,52.00
CNN,HouseTwenty,Standard,5,6,12,50.00
CNN,HouseTwenty,Standard,6,3,6,50.00
CNN,HouseTwenty,Standard,7,2,3,66.67
CNN,KeplerLightCurves,Moderate,1,0,100,0.00
CNN,KeplerLightCurves,Moderate,2,50,100,50.00
CNN,KeplerLightCurves,Moderate,3,40,50,80.00
CNN,KeplerLightCurves,Moderate,4,9,10,90.00
CNN,KeplerLightCurves,Aggressive,1,0,100,0.00
CNN,KeplerLightCurves,Aggressive,2,90,100,90.00
CNN,KeplerLightCurves,Aggressive,3,9,10,90.00
CNN,KeplerLightCurves,Conservative,1,0,100,0.00
CNN,KeplerLightCurves,Conservative,2,25,100,25.00
CNN,KeplerLightCurves,Conservative,3,25,75,33.33
CNN,KeplerLightCurves,Conservative,4,25,50,50.00
CNN,KeplerLightCurves,Conservative,5,24,25,96.00
CNN,KeplerLightCurves,VeryAggressive,1,0,100,0.00
CNN,KeplerLightCurves,VeryAggressive,2,95,100,95.00
CNN,KeplerLightCurves,VeryAggressive,3,4,5,80.00
CNN,KeplerLightCurves,Standard,1,0,100,0.00
CNN,KeplerLightCurves,Standard,2,50,100,50.00
CNN,KeplerLightCurves,Standard,3,25,50,50.00
CNN,KeplerLightCurves,Standard,4,13,25,52.00
CNN,KeplerLightCurves,Standard,5,6,12,50.00
CNN,KeplerLightCurves,Standard,6,3,6,50.00
CNN,KeplerLightCurves,Standard,7,2,3,66.67
CNN,RightWhaleCalls,Moderate,1,0,100,0.00
CNN,RightWhaleCalls,Moderate,2,50,100,50.00
CNN,RightWhaleCalls,Moderate,3,40,50,80.00
CNN,RightWhaleCalls,Moderate,4,9,10,90.00
CNN,RightWhaleCalls,Aggressive,1,0,100,0.00
CNN,RightWhaleCalls,Aggressive,2,90,100,90.00
CNN,RightWhaleCalls,Aggressive,3,9,10,90.00
CNN,RightWhaleCalls,Conservative,1,0,100,0.00
CNN,RightWhaleCalls,Conservative,2,25,100,25.00
CNN,RightWhaleCalls,Conservative,3,25,75,33.33
CNN,RightWhaleCalls,Conservative,4,25,50,50.00
CNN,RightWhaleCalls,Conservative,5,24,25,96.00
CNN,RightWhaleCalls,VeryAggressive,1,0,100,0.00
CNN,RightWhaleCalls,VeryAggressive,2,95,100,95.00
CNN,RightWhaleCalls,VeryAggressive,3,4,5,80.00
CNN,RightWhaleCalls,Standard,1,0,100,0.00
CNN,RightWhaleCalls,Standard,2,50,100,50.00
CNN,RightWhaleCalls,Standard,3,25,50,50.00
CNN,RightWhaleCalls,Standard,4,13,25,52.00
CNN,RightWhaleCalls,Standard,5,6,12,50.00
CNN,RightWhaleCalls,Standard,6,3,6,50.00
CNN,RightWhaleCalls,Standard,7,2,3,66.67
CNN,classification_ozone,Moderate,1,0,100,0.00
CNN,classification_ozone,Moderate,2,50,100,50.00
CNN,classification_ozone,Moderate,3,40,50,80.00
CNN,classification_ozone,Moderate,4,9,10,90.00
CNN,classification_ozone,Aggressive,1,0,100,0.00
CNN,classification_ozone,Aggressive,2,90,100,90.00
CNN,classification_ozone,Aggressive,3,9,10,90.00
CNN,classification_ozone,Conservative,1,0,100,0.00
CNN,classification_ozone,Conservative,2,25,100,25.00
CNN,classification_ozone,Conservative,3,25,75,33.33
CNN,classification_ozone,Conservative,4,25,50,50.00
CNN,classification_ozone,Conservative,5,24,25,96.00
CNN,classification_ozone,VeryAggressive,1,0,100,0.00
CNN,classification_ozone,VeryAggressive,2,95,100,95.00
CNN,classification_ozone,VeryAggressive,3,4,5,80.00
CNN,classification_ozone,Standard,1,0,100,0.00
CNN,classification_ozone,Standard,2,50,100,50.00
CNN,classification_ozone,Standard,3,25,50,50.00
CNN,classification_ozone,Standard,4,13,25,52.00
CNN,classification_ozone,Standard,5,6,12,50.00
CNN,classification_ozone,Standard,6,3,6,50.00
CNN,classification_ozone,Standard,7,2,3,66.67
FCNN,AbnormalHeartbeat,Moderate,1,0,100,0.00
FCNN,AbnormalHeartbeat,Moderate,2,50,100,50.00
FCNN,AbnormalHeartbeat,Moderate,3,40,50,80.00
FCNN,AbnormalHeartbeat,Moderate,4,9,10,90.00
FCNN,AbnormalHeartbeat,Aggressive,1,0,100,0.00
FCNN,AbnormalHeartbeat,Aggressive,2,90,100,90.00
FCNN,AbnormalHeartbeat,Aggressive,3,9,10,90.00
FCNN,AbnormalHeartbeat,Conservative,1,0,100,0.00
FCNN,AbnormalHeartbeat,Conservative,2,25,100,25.00
FCNN,AbnormalHeartbeat,Conservative,3,25,75,33.33
FCNN,AbnormalHeartbeat,Conservative,4,25,50,50.00
FCNN,AbnormalHeartbeat,Conservative,5,24,25,96.00
FCNN,AbnormalHeartbeat,VeryAggressive,1,0,100,0.00
FCNN,AbnormalHeartbeat,VeryAggressive,2,95,100,95.00
FCNN,AbnormalHeartbeat,VeryAggressive,3,4,5,80.00
FCNN,AbnormalHeartbeat,Standard,1,0,100,0.00
FCNN,AbnormalHeartbeat,Standard,2,50,100,50.00
FCNN,AbnormalHeartbeat,Standard,3,25,50,50.00
FCNN,AbnormalHeartbeat,Standard,4,13,25,52.00
FCNN,AbnormalHeartbeat,Standard,5,6,12,50.00
FCNN,AbnormalHeartbeat,Standard,6,3,6,50.00
FCNN,AbnormalHeartbeat,Standard,7,2,3,66.67
FCNN,Adiac,Moderate,1,0,100,0.00
FCNN,Adiac,Moderate,2,50,100,50.00
FCNN,Adiac,Moderate,3,40,50,80.00
FCNN,Adiac,Moderate,4,9,10,90.00
FCNN,Adiac,Aggressive,1,0,100,0.00
FCNN,Adiac,Aggressive,2,90,100,90.00
FCNN,Adiac,Aggressive,3,9,10,90.00
FCNN,Adiac,Conservative,1,0,100,0.00
FCNN,Adiac,Conservative,2,25,100,25.00
FCNN,Adiac,Conservative,3,25,75,33.33
FCNN,Adiac,Conservative,4,25,50,50.00
FCNN,Adiac,Conservative,5,24,25,96.00
FCNN,Adiac,VeryAggressive,1,0,100,0.00
FCNN,Adiac,VeryAggressive,2,95,100,95.00
FCNN,Adiac,VeryAggressive,3,4,5,80.00
FCNN,Adiac,Standard,1,0,100,0.00
FCNN,Adiac,Standard,2,50,100,50.00
FCNN,Adiac,Standard,3,25,50,50.00
FCNN,Adiac,Standard,4,13,25,52.00
FCNN,Adiac,Standard,5,6,12,50.00
FCNN,Adiac,Standard,6,3,6,50.00
FCNN,Adiac,Standard,7,2,3,66.67
FCNN,ArrowHead,Moderate,1,0,100,0.00
FCNN,ArrowHead,Moderate,2,50,100,50.00
FCNN,ArrowHead,Moderate,3,40,50,80.00
FCNN,ArrowHead,Moderate,4,9,10,90.00
FCNN,ArrowHead,Aggressive,1,0,100,0.00
FCNN,ArrowHead,Aggressive,2,90,100,90.00
FCNN,ArrowHead,Aggressive,3,9,10,90.00
FCNN,ArrowHead,Conservative,1,0,100,0.00
FCNN,ArrowHead,Conservative,2,25,100,25.00
FCNN,ArrowHead,Conservative,3,25,75,33.33
FCNN,ArrowHead,Conservative,4,25,50,50.00
FCNN,ArrowHead,Conservative,5,24,25,96.00
FCNN,ArrowHead,VeryAggressive,1,0,100,0.00
FCNN,ArrowHead,VeryAggressive,2,95,100,95.00
FCNN,ArrowHead,VeryAggressive,3,4,5,80.00
FCNN,ArrowHead,Standard,1,0,100,0.00
FCNN,ArrowHead,Standard,2,50,100,50.00
FCNN,ArrowHead,Standard,3,25,50,50.00
FCNN,ArrowHead,Standard,4,13,25,52.00
FCNN,ArrowHead,Standard,5,6,12,50.00
FCNN,ArrowHead,Standard,6,3,6,50.00
FCNN,ArrowHead,Standard,7,2,3,66.67
FCNN,Beef,Moderate,1,0,100,0.00
FCNN,Beef,Moderate,2,50,100,50.00
FCNN,Beef,Moderate,3,40,50,80.00
FCNN,Beef,Moderate,4,9,10,90.00
FCNN,Beef,Aggressive,1,0,100,0.00
FCNN,Beef,Aggressive,2,90,100,90.00
FCNN,Beef,Aggressive,3,9,10,90.00
FCNN,Beef,Conservative,1,0,100,0.00
FCNN,Beef,Conservative,2,25,100,25.00
FCNN,Beef,Conservative,3,25,75,33.33
FCNN,Beef,Conservative,4,25,50,50.00
FCNN,Beef,Conservative,5,24,25,96.00
FCNN,Beef,VeryAggressive,1,0,100,0.00
FCNN,Beef,VeryAggressive,2,95,100,95.00
FCNN,Beef,VeryAggressive,3,4,5,80.00
FCNN,Beef,Standard,1,0,100,0.00
FCNN,Beef,Standard,2,50,100,50.00
FCNN,Beef,Standard,3,25,50,50.00
FCNN,Beef,Standard,4,13,25,52.00
FCNN,Beef,Standard,5,6,12,50.00
FCNN,Beef,Standard,6,3,6,50.00
FCNN,Beef,Standard,7,2,3,66.67
FCNN,BeetleFly,Moderate,1,0,100,0.00
FCNN,BeetleFly,Moderate,2,50,100,50.00
FCNN,BeetleFly,Moderate,3,40,50,80.00
FCNN,BeetleFly,Moderate,4,9,10,90.00
FCNN,BeetleFly,Aggressive,1,0,100,0.00
FCNN,BeetleFly,Aggressive,2,90,100,90.00
FCNN,BeetleFly,Aggressive,3,9,10,90.00
FCNN,BeetleFly,Conservative,1,0,100,0.00
FCNN,BeetleFly,Conservative,2,25,100,25.00
FCNN,BeetleFly,Conservative,3,25,75,33.33
FCNN,BeetleFly,Conservative,4,25,50,50.00
FCNN,BeetleFly,Conservative,5,24,25,96.00
FCNN,BeetleFly,VeryAggressive,1,0,100,0.00
FCNN,BeetleFly,VeryAggressive,2,95,100,95.00
FCNN,BeetleFly,VeryAggressive,3,4,5,80.00
FCNN,BeetleFly,Standard,1,0,100,0.00
FCNN,BeetleFly,Standard,2,50,100,50.00
FCNN,BeetleFly,Standard,3,25,50,50.00
FCNN,BeetleFly,Standard,4,13,25,52.00
FCNN,BeetleFly,Standard,5,6,12,50.00
FCNN,BeetleFly,Standard,6,3,6,50.00
FCNN,BeetleFly,Standard,7,2,3,66.67
FCNN,BinaryHeartbeat,Moderate,1,0,100,0.00
FCNN,BinaryHeartbeat,Moderate,2,50,100,50.00
FCNN,BinaryHeartbeat,Moderate,3,40,50,80.00
FCNN,BinaryHeartbeat,Moderate,4,9,10,90.00
FCNN,BinaryHeartbeat,Aggressive,1,0,100,0.00
FCNN,BinaryHeartbeat,Aggressive,2,90,100,90.00
FCNN,BinaryHeartbeat,Aggressive,3,9,10,90.00
FCNN,BinaryHeartbeat,Conservative,1,0,100,0.00
FCNN,BinaryHeartbeat,Conservative,2,25,100,25.00
FCNN,BinaryHeartbeat,Conservative,3,25,75,33.33
FCNN,BinaryHeartbeat,Conservative,4,25,50,50.00
FCNN,BinaryHeartbeat,Conservative,5,24,25,96.00
FCNN,BinaryHeartbeat,VeryAggressive,1,0,100,0.00
FCNN,BinaryHeartbeat,VeryAggressive,2,95,100,95.00
FCNN,BinaryHeartbeat,VeryAggressive,3,4,5,80.00
FCNN,BinaryHeartbeat,Standard,1,0,100,0.00
FCNN,BinaryHeartbeat,Standard,2,50,100,50.00
FCNN,BinaryHeartbeat,Standard,3,25,50,50.00
FCNN,BinaryHeartbeat,Standard,4,13,25,52.00
FCNN,BinaryHeartbeat,Standard,5,6,12,50.00
FCNN,BinaryHeartbeat,Standard,6,3,6,50.00
FCNN,BinaryHeartbeat,Standard,7,2,3,66.67
FCNN,BirdChicken,Moderate,1,0,100,0.00
FCNN,BirdChicken,Moderate,2,50,100,50.00
FCNN,BirdChicken,Moderate,3,40,50,80.00
FCNN,BirdChicken,Moderate,4,9,10,90.00
FCNN,BirdChicken,Aggressive,1,0,100,0.00
FCNN,BirdChicken,Aggressive,2,90,100,90.00
FCNN,BirdChicken,Aggressive,3,9,10,90.00
FCNN,BirdChicken,Conservative,1,0,100,0.00
FCNN,BirdChicken,Conservative,2,25,100,25.00
FCNN,BirdChicken,Conservative,3,25,75,33.33
FCNN,BirdChicken,Conservative,4,25,50,50.00
FCNN,BirdChicken,Conservative,5,24,25,96.00
FCNN,BirdChicken,VeryAggressive,1,0,100,0.00
FCNN,BirdChicken,VeryAggressive,2,95,100,95.00
FCNN,BirdChicken,VeryAggressive,3,4,5,80.00
FCNN,BirdChicken,Standard,1,0,100,0.00
FCNN,BirdChicken,Standard,2,50,100,50.00
FCNN,BirdChicken,Standard,3,25,50,50.00
FCNN,BirdChicken,Standard,4,13,25,52.00
FCNN,BirdChicken,Standard,5,6,12,50.00
FCNN,BirdChicken,Standard,6,3,6,50.00
FCNN,BirdChicken,Standard,7,2,3,66.67
FCNN,CBF,Moderate,1,0,100,0.00
FCNN,CBF,Moderate,2,50,100,50.00
FCNN,CBF,Moderate,3,40,50,80.00
FCNN,CBF,Moderate,4,9,10,90.00
