activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
elu,0.2992323465523,4,0.0001555839421,45,5,max,1,FaultDetectionB,07102f5bd4d6e7954ace2a28fc3122e9,0,0.3418181920051574,0.025569725743526884,0.40484849333763123,0.043996826392460886,0.44606061577796935,0.02730637531132022,0.5721212232112884,0.048598354555392416,0.6933333373069763,0.07732915201275999,0.7842424297332764,0.08747031084109617,0.8496969747543336,0.06726999336609786,0.8763636374473572,0.05027015689337642,0.8909090876579284,0.043703653126276255,0.9018181800842285,0.04583677596832393,0.9018181800842285,0.04583677596832393,0.9006060576438903,0.03470987027874102,0.9006060576438903,0.03470987027874102,0.9006060576438903,0.032524626096579,0.9078787851333618,0.03274971269991153,0.9078787851333618,0.03274971269991153,0.9103030276298523,0.03274971269991153,0.9103030276298523,0.03274971269991153,0.9103030276298523,0.03274971269991153,0.9103030276298523,0.03274971269991153
sigmoid,0.407550027884,6,0.0005432940046,88,4,max,2,FaultDetectionB,8b38e803db304323f3db3858b9d7bd2a,1,0.3333333432674408,0.0,0.3333333432674408,0.0,0.3333333432674408,0.0,0.34181819200515745,0.018972698556337774,0.3575757682323456,0.03347079195868082,0.40000000953674314,0.04791329704742945,0.39030303835868835,0.05838348383166484,0.3575757682323456,0.02606765310124817,0.3793939507007599,0.057909718989316815,0.4048484957218171,0.08553832190954172,0.454545464515686,0.12842193897751789,0.5333333420753479,0.14037860306744163,0.6121212184429169,0.13800360348571533,0.666666669845581,0.15350212009403855,0.7587878823280334,0.13696164858882076,0.8230303072929381,0.09934588367686453,0.8775757598876954,0.06589080128274662,0.9151515173912049,0.029379878799324934,0.930909094810486,0.016926351005557123,0.9333333396911622,0.022676709721313384
gelu,0.184699962806,4,0.000314981651,95,3,average,1,FaultDetectionB,366831733cf14bcf1330a1136a729549,2,0.35272728323936464,0.04702343107721546,0.4375757646560669,0.04563600162001947,0.4909090983867646,0.06327458479003685,0.5551515233516693,0.07442463075645676,0.6181818222999572,0.10875368264811014,0.6787878823280333,0.09912379999786472,0.7393939483165741,0.06856792483295378,0.7830303108692169,0.06547137220254608,0.830303032398224,0.06949906154114179,0.8618181848526001,0.08079040415662017,0.8812121248245239,0.05548020239804915,0.9018181848526,0.04663123199258436,0.9236363625526428,0.033084469697073536,0.9454545450210571,0.02498851968785337,0.9466666650772094,0.03160825502783043,0.9478787875175476,0.03195497431715932,0.9478787875175476,0.03195497431715932,0.9478787875175476,0.02627816232892955,0.9478787875175476,0.02627816232892955,0.9478787875175476,0.02627816232892955
tanh,0.0811027551686,9,1.35494661e-05,11,5,average,2,FaultDetectionB,d5b4fd81bc218d14dd3eae0fd69bd747,3,0.33090910077095026,0.009191364448531927,0.33212122201919553,0.008989331767412853,0.32606061458587643,0.020730461498299636,0.3478787970542908,0.053112489865172176,0.3733333444595337,0.06039356867673213,0.38424243450164786,0.0697101442572103,0.40363637208938596,0.07343093839029932,0.4266666734218597,0.0702350731836467,0.46060606837272644,0.0672153681856889,0.478787887096405,0.0684338733560516,0.49212121963500977,0.07365568787656993,0.5139393985271454,0.05928870938036011,0.5309090995788575,0.05854056051555242,0.541818187236786,0.05916467569899493,0.5527272772789001,0.059751553508571476,0.561212123632431,0.06129906559888828,0.5612121248245239,0.06069690470572364,0.569696968793869,0.05554637160187714,0.5757575750350952,0.06225041832543948,0.5781818187236786,0.05854055727589878
tanh,0.3479230669662,6,0.0002433855158,111,1,average,1,FaultDetectionB,c60901eaf57c58522605fef72ca472e5,4,0.3248484945297241,0.01100963797937638,0.7684848546981812,0.06289612331257793,0.8412121295928955,0.04229417527352256,0.8763636422157287,0.021683080399185314,0.9006060600280762,0.028619922684714156,0.9115151500701906,0.021683083897786136,0.9175757551193238,0.02168308406438602,0.9224242401123048,0.01838272889706386,0.9224242401123046,0.01838272889706386,0.9224242401123046,0.01838272889706386,0.9199999976158141,0.02201927595875276,0.9199999976158141,0.02201927595875276,0.9199999976158141,0.02201927595875276,0.9199999976158141,0.02201927595875276,0.9199999976158141,0.02201927595875276,0.9199999976158141,0.02201927595875276,0.9199999976158141,0.02201927595875276,0.9175757551193235,0.023315617739309652,0.9175757551193235,0.023315617739309652,0.9175757551193235,0.023315617739309652
elu,0.3302288638055,8,2.16507712e-05,45,3,max,1,FaultDetectionB,cf34fdaa6313b61659b8cc3ab2370f5d,5,0.3381818270683289,0.023236715564255418,0.5236363685131074,0.06129906580514588,0.5915151572227477,0.06379489355421337,0.6375757682323455,0.0709893373695942,0.7066666710376739,0.05117535043407703,0.7757575821876527,0.0395103206133753,0.8363636445999145,0.04110503142578592,0.8618181872367859,0.03770261611307098,0.8836363697052002,0.01838271985757242,0.8981818222999574,0.013820309117666019,0.9066666650772095,0.021683082564985728,0.9090909075737,0.026417568774672644,0.9151515126228332,0.025712974627635346,0.9175757551193238,0.023315617739309652,0.9175757551193238,0.023315617739309652,0.9175757551193238,0.023315617739309652,0.9151515126228332,0.027103855080482516,0.9151515126228332,0.027103855080482516,0.9151515126228332,0.027103855080482516,0.9127272701263427,0.028938998162602834
gelu,0.0369594439556,10,1.57409835e-05,20,4,max,1,FaultDetectionB,727061ba1eb1a204007d3387fc422076,6,0.3357575857639313,0.009191364448531929,0.33696970701217654,0.011814296527619483,0.3333333432674408,0.0,0.3333333432674408,0.0,0.3333333432674408,0.0,0.3357575857639313,0.005420771016096511,0.3757575869560242,0.04595682224265969,0.4400000095367432,0.07625292363011692,0.5175757634639739,0.07355588667836577,0.6327272820472717,0.04168181909686587,0.7272727346420288,0.02606765171546847,0.827878794670105,0.04667059638392368,0.860606062412262,0.0430686936048535,0.875151515007019,0.029566812416894343,0.8848484826087951,0.024988518242228367,0.8884848475456237,0.024468640310812806,0.8957575750350951,0.03358035090156493,0.9006060576438903,0.031374980584852774,0.9030303001403809,0.032069713817140875,0.9030303001403809,0.032069713817140875
tanh,0.1439934396374,9,0.0002061012653,113,1,average,1,FaultDetectionB,3618dafc43c72d1470e7d6623f4ab761,7,0.3696969795227051,0.03809031816708708,0.7806060671806335,0.05238130777884407,0.8921212172508239,0.052381313020076224,0.9200000047683716,0.027574092428546373,0.9260606074333191,0.023628592137943424,0.934545452594757,0.02028266791438759,0.939393937587738,0.01484539282293127,0.939393937587738,0.01484539282293127,0.939393937587738,0.01484539282293127,0.939393937587738,0.01484539282293127,0.9369696950912475,0.01797866353482571,0.939393937587738,0.01484539282293127,0.939393937587738,0.01484539282293127,0.939393937587738,0.01484539282293127,0.939393937587738,0.01484539282293127,0.939393937587738,0.01484539282293127,0.9369696950912475,0.01797866353482571,0.9369696950912475,0.01797866353482571,0.9369696950912475,0.01797866353482571,0.9369696950912475,0.01797866353482571
sigmoid,0.3154728035377,10,3.50870128e-05,77,1,max,1,FaultDetectionB,36570c92833b178a50f3b56539b52c29,8,0.33575758576393133,0.006910154297448561,0.4460606110095978,0.03280573814478284,0.5769697046279907,0.06616894406190241,0.6581818222999573,0.08426204340008847,0.7490909099578857,0.053285098797451816,0.8351515173912049,0.03189744775389277,0.8896969676017761,0.02362859351388718,0.9151515126228332,0.036363637447357156,0.9248484826087952,0.028938998162602852,0.9199999976158143,0.02201927595875277,0.9224242401123046,0.020282667914387594,0.9199999976158141,0.018382728897063903,0.9199999976158141,0.018382728897063903,0.9224242401123046,0.018382728897063903,0.9224242401123046,0.018382728897063903,0.9248484826087952,0.02168308406438603,0.9248484826087952,0.02168308406438603,0.9248484826087952,0.02168308406438603,0.9248484826087952,0.02168308406438603,0.9224242401123046,0.02201927595875276
gelu,0.1698442191575,5,0.0001386811786,52,1,max,2,FaultDetectionB,30760bef3a3a384cdee217ec85a3eb06,9,0.33212122201919553,0.023628593055238973,0.6545454621315002,0.04714045616607059,0.711515156030655,0.050634172843424946,0.8218181872367858,0.03336086618177137,0.8763636374473572,0.038948532472500054,0.8981818199157715,0.03518284742466713,0.9066666674613953,0.0282972532911283,0.9163636350631714,0.02655624559572449,0.9175757551193238,0.02627816246639727,0.9199999976158143,0.026556246003809465,0.9224242401123048,0.027905126730355945,0.9248484826087953,0.030181575682483995,0.9248484826087953,0.030181575682483995,0.9272727251052857,0.02969078564586254,0.9248484826087952,0.030181575682483995,0.9248484826087952,0.030181575682483995,0.9272727251052857,0.025712974627635336,0.9248484826087952,0.030181575682483995,0.9272727251052857,0.025712974627635336,0.9272727251052857,0.025712974627635336
