bidirectional,dropout_rate,hidden_units,learning_rate,num_layers,output_activation,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
True,0.0186634673884,72,0.0002969130534,1,relu,EigenWorms,0.1869230815023184,0.2419230811297893,0.3000000033527613,0.3507692328095436,0.377692309319973,0.3919230791926383,0.4111538501083851,0.4265384648740292,0.4369230803847313,0.4500000065565109,0.4607692357897758,0.4723076981306076,0.4888461589813231,0.4930769270658494,0.5057692390680313,0.520000005364418,0.5307692366838455,0.5469230800867082,0.5634615445137025,0.574615387916565
False,0.0359307062275,74,2.75961503e-05,3,relu,EigenWorms,0.2011538514494895,0.2165384645760059,0.2342307737469673,0.2500000047683716,0.2684615421295166,0.2834615404903889,0.298461541980505,0.3138461571931839,0.3257692342996597,0.3361538481712341,0.3419230794906616,0.3526923087239265,0.3661538460850715,0.3765384635329246,0.387307693362236,0.3965384644269943,0.4042307725548745,0.4069230800867081,0.4146153861284256,0.4226923078298569
True,0.0139325051015,118,1.95733195e-05,1,relu,EigenWorms,0.2038461586833,0.2134615434706211,0.2196153901517391,0.2253846204280853,0.2373076976835727,0.2446153897047043,0.2538461586833,0.2600000059604644,0.2673076966404915,0.2734615410864353,0.2819230787456035,0.289230772703886,0.2969230808317661,0.3061538495123387,0.312307695299387,0.3215384642779827,0.3211538486182689,0.3300000028312206,0.3384615410864353,0.343076926022768
False,0.2226713758956,160,0.0006339167217,1,gelu,EigenWorms,0.2126923115551472,0.3980769252777099,0.4361538499593734,0.4892307764291763,0.5215384638309479,0.5823076927661897,0.6161538493633271,0.6369230794906616,0.6711538487672806,0.7003846192359924,0.72807692527771,0.7411538571119308,0.758846162557602,0.7657692331075668,0.7765384656190872,0.7819230788946152,0.785769233107567,0.7965384644269944,0.8096153837442397,0.8134615397453308
False,0.2490646550231,193,0.0008517557891,2,gelu,EigenWorms,0.224615389406681,0.4903846174478531,0.5650000035762787,0.6184615421295167,0.6815384703874589,0.7315384697914123,0.7584615421295167,0.7826923131942749,0.8053846180438995,0.8211538445949556,0.8257692313194275,0.8346153855323791,0.8446153914928436,0.851153849363327,0.8646153843402862,0.8688461554050446,0.8773076999187468,0.8784615433216094,0.8811538541316984,0.8792307722568511
False,0.2213782285987,211,1.52242906e-05,2,relu,EigenWorms,0.2134615428745746,0.2303846202790737,0.2484615424275398,0.2723076976835727,0.2984615419805049,0.323846156746149,0.3469230778515338,0.3650000016391277,0.3838461552560329,0.3930769251286983,0.4050000023841857,0.4153846168518066,0.4292307728528977,0.437307696044445,0.4484615415334702,0.4626923149824142,0.469615393280983,0.474615393280983,0.4842307758331299,0.4888461625576019
False,0.2910569764067,191,0.000569434657,2,gelu,EigenWorms,0.1907692365348339,0.4676923167705536,0.5346153891086579,0.5807692384719848,0.6253846216201782,0.6546153938770294,0.7000000095367431,0.7246153903007508,0.7492307710647583,0.7761538529396057,0.7923077011108398,0.8099999952316285,0.8084615421295167,0.8169230794906618,0.8276923155784608,0.8361538529396058,0.8430769276618957,0.8546153926849366,0.8607692408561707,0.8669230842590332
False,0.0624603498817,227,1.03991551e-05,1,relu,EigenWorms,0.185000005364418,0.191923082023859,0.2011538505554199,0.2100000044703483,0.218076928704977,0.22769231274724,0.2361538510024547,0.2480769278109073,0.256923082023859,0.2638461591303348,0.2723076972365379,0.2873076954483985,0.2938461570441723,0.3000000037252903,0.3065384650230407,0.3188461557030678,0.3284615409374237,0.3369230797886849,0.3461538478732109,0.3538461568951607
False,0.2912006626045,128,1.54970938e-05,2,gelu,EigenWorms,0.2023076972365379,0.2138461592793465,0.2300000038743019,0.2423076978325843,0.2530769297480583,0.2684615457057953,0.2807692357897758,0.287692312002182,0.2969230806827545,0.3123076975345611,0.3238461583852768,0.3284615415334702,0.3369230806827545,0.3446153873205185,0.3476923108100891,0.3538461583852768,0.356923081278801,0.3700000035762786,0.3761538535356522,0.3776923125982285
False,0.1862581186845,226,0.0005861217612,2,tanh,EigenWorms,0.1842307736724615,0.4653846246004104,0.5507692307233809,0.6203846162557602,0.6680769264698028,0.7319230830669403,0.7684615457057953,0.7911538457870483,0.8130769228935243,0.8323076903820038,0.836153849363327,0.8557692348957062,0.8592307710647583,0.8665384650230408,0.8692307722568513,0.871538462638855,0.8750000023841858,0.8853846192359924,0.8903846156597137,0.895000002384186
