bidirectional,dropout_rate,hidden_units,learning_rate,num_layers,output_activation,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
True,0.0186634673884,72,0.0002969130534,1,relu,BeetleFly,85aad2e93c31adeaaeda77b3ace06ef6,0,0.515,0.0914391114956347,0.5925,0.07910084983389523,0.6525000000000001,0.06917168656482377,0.6875000000000001,0.055590266933859725,0.6925000000000001,0.06241661103691335,0.7100000000000001,0.0579750904364203,0.7125,0.058034951154933845,0.725,0.05527707983925667,0.72,0.0421637021355784,0.73,0.04972144630058768,0.7224999999999999,0.05197488709837558,0.725,0.039086797998528586,0.7350000000000001,0.03763863263545406,0.7350000000000001,0.044409708648247434,0.7425000000000002,0.04417452760232859,0.7450000000000001,0.0404831926716371,0.7475,0.04158324983291551,0.7424999999999999,0.04866267106885478,0.7474999999999999,0.04632314036562434,0.7500000000000001,0.04564354645876384
False,0.0359307062275,74,2.75961503e-05,3,relu,BeetleFly,6f8b5426734d8c490531a91a8fcadaed,1,0.45499999999999996,0.05868938953886336,0.4774999999999999,0.07495368940589621,0.4875,0.08270597183866338,0.5149999999999999,0.08913161304747293,0.5374999999999999,0.08599903100229289,0.545,0.07434902674398489,0.5725,0.05583955189250318,0.595,0.04830458915396481,0.61,0.051639777949432246,0.6200000000000001,0.05502524673073059,0.635,0.05426273532033234,0.6425,0.054070427325027766,0.6525000000000001,0.060610321819893946,0.665,0.06992058987801011,0.6649999999999999,0.06892024376045111,0.6775,0.06061032181989394,0.6925,0.056580817322559845,0.6975,0.06609126686299452,0.71,0.08349983366583566,0.7175,0.08253787009609588
True,0.0139325051015,118,1.95733195e-05,1,relu,BeetleFly,1b66f8b0e1f54ce7bb17e69026fa6c24,2,0.4600000000000001,0.06582805886043834,0.46749999999999997,0.058984461230621316,0.48,0.053748384988657014,0.5075000000000001,0.05277046732995855,0.515,0.05916079783099616,0.5325,0.05277046732995853,0.5450000000000002,0.06101001739241041,0.5575,0.06351946333386502,0.5725,0.062860073885487,0.5925,0.06351946333386502,0.605,0.0674948557710553,0.605,0.06540472290116195,0.6325000000000001,0.05006939628599935,0.645,0.04684489774185067,0.645,0.04830458915396481,0.655,0.052440442408507586,0.6675,0.056580817322559845,0.6824999999999999,0.05407042732502778,0.7,0.05270462766947299,0.7,0.04999999999999999
False,0.2226713758956,160,0.0006339167217,1,gelu,BeetleFly,32fc2098a950241483da220ef17d167c,3,0.5075000000000001,0.045719555747817345,0.7150000000000001,0.05916079783099617,0.755,0.05109903238918631,0.7475,0.04322100826629982,0.7425,0.05779513628133232,0.7725,0.0415832498329155,0.7575000000000001,0.05407042732502777,0.75,0.05000000000000001,0.7625,0.07095577652469333,0.7625,0.051706973524961904,0.7750000000000001,0.04409585518440983,0.77,0.04216370213557841,0.7649999999999999,0.04887626099538395,0.7725,0.055839551892503204,0.78,0.048304589153964794,0.7725000000000001,0.055839551892503184,0.7775,0.050621141828291465,0.7725000000000001,0.043221008266299814,0.7674999999999998,0.047214051580717654,0.7825,0.035453412310304404
False,0.2490646550231,193,0.0008517557891,2,gelu,BeetleFly,714d9019ec0c862dac1b621254f49dfb,4,0.49000000000000005,0.09219544457292887,0.6925,0.0601502747753953,0.72,0.06324555320336758,0.7050000000000001,0.05244044240850757,0.7350000000000001,0.051639777949432225,0.7350000000000001,0.042817441928883766,0.7700000000000001,0.04377975178854566,0.79,0.03574601764921203,0.7775000000000001,0.03425800798515744,0.765,0.03574601764921204,0.78,0.09036961141150637,0.795,0.07051398600435395,0.7725000000000001,0.06286007388548703,0.7775,0.06609126686299452,0.79,0.07745966692414834,0.7925,0.06977145229644827,0.8,0.07071067811865477,0.7825,0.06876893678592585,0.7775,0.04632314036562433,0.7849999999999999,0.04116363011742822
False,0.2213782285987,211,1.52242906e-05,2,relu,BeetleFly,35da783c1676d76f33401cb9392421ba,5,0.515,0.07655789385237234,0.5374999999999999,0.06263873490988711,0.575,0.08897565210026093,0.58,0.08959786703810407,0.6050000000000001,0.07799572637865058,0.6325,0.0745821694508815,0.65,0.08579691784155835,0.6625,0.07383352144445564,0.6775,0.06286007388548703,0.7049999999999998,0.04830458915396479,0.7225,0.049230184959139764,0.7274999999999999,0.05458174297937605,0.74,0.05797509043642028,0.75,0.05400617248673216,0.7525000000000002,0.05827377912349029,0.7525000000000001,0.0519748870983756,0.755,0.053748384988657,0.7649999999999999,0.05552777082985893,0.77,0.052440442408507565,0.77,0.04830458915396477
False,0.2910569764067,191,0.000569434657,2,gelu,BeetleFly,5233d3395ed608f90951840948ea2fdd,6,0.48500000000000004,0.07202430145443965,0.7249999999999999,0.07288689868556626,0.755,0.048088460154178364,0.76,0.03791437722025778,0.7300000000000001,0.10216408370851272,0.755,0.09420721840708383,0.8099999999999999,0.09453835200594522,0.805,0.057008771254956896,0.7649999999999999,0.03791437722025774,0.7599999999999999,0.06274950199005568,0.76,0.04541475531146237,0.795,0.04808846015417836,0.78,0.06937218462755805,0.79,0.0518411033833193,0.79,0.05477225575051661,0.77,0.054198708471697006,0.755,0.05968668193156662,0.7849999999999999,0.0518411033833193,0.765,0.04873397172404487,0.7699999999999999,0.041079191812887494
False,0.0624603498817,227,1.03991551e-05,1,relu,BeetleFly,207c8fd3c96443b2c2772c4f7ff2a173,7,0.48250000000000004,0.08744045593049783,0.4875,0.08838834764831845,0.5,0.09574271077563382,0.5225000000000001,0.10031201323869439,0.5325,0.09933808713457067,0.555,0.08399735445569435,0.5675,0.08901466795484388,0.5774999999999999,0.1003120132386944,0.5875,0.10290907529357057,0.605,0.08563488385776753,0.62,0.08316649966583099,0.6299999999999999,0.08062257748298549,0.635,0.054262735320332336,0.6575,0.055339859052946645,0.6599999999999999,0.052967495273569025,0.6725000000000001,0.06061032181989395,0.6825,0.06129391849477766,0.685,0.05916079783099617,0.6950000000000001,0.052440442408507586,0.6975,0.050621141828291465
False,0.2912006626045,128,1.54970938e-05,2,gelu,BeetleFly,88c40e67b7d131b9489d2fc3c201d40a,8,0.54,0.06754628043053147,0.54,0.07826237921249266,0.555,0.09905806378079478,0.5650000000000001,0.10246950765959602,0.6050000000000001,0.09420721840708383,0.6199999999999999,0.08551315688243534,0.635,0.08944271909999157,0.64,0.06274950199005566,0.655,0.06471089552772394,0.655,0.06937218462755801,0.68,0.062249497989943656,0.68,0.05419870847169699,0.685,0.04541475531146236,0.705,0.0670820393249937,0.705,0.0670820393249937,0.7,0.06373774391990981,0.7150000000000001,0.05184110338331929,0.72,0.048088460154178364,0.7050000000000001,0.0447213595499958,0.7000000000000001,0.06373774391990983
False,0.1862581186845,226,0.0005861217612,2,tanh,BeetleFly,5e5d5b37304926a56f541f254aaae795,9,0.515,0.08990735972840784,0.7125,0.05803495115493384,0.72,0.06433419688539595,0.7475,0.06917168656482377,0.7325,0.058984461230621295,0.7625,0.06588078458684121,0.745,0.06540472290116194,0.7575000000000001,0.07269609495854795,0.7899999999999999,0.07923242882669809,0.79,0.05676462121975465,0.8075000000000001,0.06775158874725948,0.8174999999999999,0.07550754193382862,0.7949999999999999,0.051099032389186304,0.8,0.04714045207910316,0.8100000000000002,0.03374742788552763,0.805,0.03496029493900503,0.7925000000000001,0.026483747636784485,0.7825,0.04090979236211192,0.785,0.04743416490252569,0.7925000000000001,0.05658081732255985
