Constraint_Type,max_epochs,max_epochs,max_epochs,max_time_hours,max_time_hours,max_time_hours
Constraint_Value,1000,2000,5000,10,24,72
Hybrid_Name,,,,,,
Aggressive_Aggressive,0.6505,0.8443,1.0,1.0,1.0,1.0
Aggressive_Gradual,0.981,0.9867,0.9943,0.9962,1.0,1.0
Aggressive_Linear,0.9581,0.9733,0.9752,0.9905,1.0,1.0
Aggressive_Standard,0.8468,0.9224,0.9767,0.9905,1.0,1.0
Aggressive_TwoStage,0.8468,0.9224,0.9767,0.9905,1.0,1.0
Conservative_Aggressive,0.6854,0.8484,1.0,1.0,1.0,1.0
Conservative_Gradual,0.96,0.9848,0.9886,1.0,0.9981,1.0
Conservative_Linear,0.9338,0.9719,0.9857,0.9886,0.9981,1.0
Conservative_Standard,0.7983,0.9198,0.9595,1.0,1.0,1.0
Conservative_TwoStage,0.9208,0.9711,0.9552,0.9981,1.0,1.0
Moderate_Aggressive,0.7387,0.7624,1.0,1.0,1.0,1.0
Moderate_Gradual,0.981,0.9733,0.9657,0.9962,1.0,1.0
Moderate_Linear,0.9576,0.9062,0.9348,1.0,1.0,1.0
Moderate_Standard,0.8514,0.866,0.969,1.0,1.0,1.0
Moderate_TwoStage,0.9368,0.9619,0.9017,1.0,1.0,1.0
Standard_Aggressive,0.7708,1.0,1.0,1.0,1.0,1.0
Standard_Gradual,0.9429,0.99,0.9333,0.9962,1.0,1.0
Standard_Linear,0.9714,0.8878,0.9876,0.9981,1.0,1.0
Standard_Standard,0.823,0.9373,1.0,1.0,1.0,1.0
Standard_TwoStage,0.9273,0.7849,1.0,1.0,1.0,1.0
VeryAggressive_Aggressive,0.6716,0.8537,0.9503,0.9924,1.0,1.0
VeryAggressive_Gradual,0.981,0.9867,0.9943,1.0,1.0,1.0
VeryAggressive_Linear,0.9562,0.971,0.9924,0.9981,1.0,1.0
VeryAggressive_Standard,0.8371,0.909,0.9676,0.9924,1.0,1.0
VeryAggressive_TwoStage,0.8371,0.909,0.9676,0.9924,1.0,1.0
