Hybrid_Name,Performance_At_Timeout,Performance_Retention,Budget_Utilization,Rank
VeryAggressive_Gradual,0.9778,0.9778,0.6022,1
Conservative_Gradual,0.9762,0.9762,0.6301,2
Aggressive_Gradual,0.9746,0.9746,0.5842,3
Moderate_Gradual,0.9667,0.9667,0.5885,4
VeryAggressive_Linear,0.9651,0.9651,0.5965,5
Aggressive_Linear,0.9397,0.9571,0.578,6
Moderate_Linear,0.9095,0.9409,0.573,7
Standard_Gradual,0.9,0.9679,0.6164,8
Conservative_Linear,0.8667,0.9591,0.6073,9
VeryAggressive_Standard,0.854,0.9091,0.5777,10
VeryAggressive_TwoStage,0.854,0.9091,0.5777,11
Moderate_Standard,0.8127,0.9175,0.5432,12
Aggressive_TwoStage,0.8048,0.9339,0.5581,13
Aggressive_Standard,0.8048,0.9339,0.5581,14
Conservative_Standard,0.7413,0.9306,0.5653,15
Aggressive_Aggressive,0.6,0.8938,0.5035,16
VeryAggressive_Aggressive,0.5968,0.8742,0.5574,17
Standard_Standard,0.5825,0.9647,0.4764,18
Conservative_TwoStage,0.5159,0.9683,0.5566,19
Standard_Linear,0.5095,0.9825,0.5572,20
Conservative_Aggressive,0.4762,0.9246,0.4958,21
Moderate_TwoStage,0.4524,0.9545,0.5432,22
Moderate_Aggressive,0.4032,0.9421,0.4262,23
Standard_Aggressive,0.3841,0.961,0.2983,24
Standard_TwoStage,0.2714,0.946,0.4211,25
