Model,Dataset,Hybrid_Name,Budget_Strategy,Dropout_Strategy,Constraint_Type,Constraint_Value,Performance_At_Timeout,Performance_At_Convergence,Performance_Gap,Performance_Retention,Relative_Performance_Gap,Budget_Utilization,Early_Stopping,Completed_Rounds
CNN,AbnormalHeartbeat,Aggressive_Linear,Aggressive,Linear,max_time_hours,10,1.000000,1.000000,0.000000,1.000000,0.000000,0.066267,False,3
CNN,AbnormalHeartbeat,Aggressive_Linear,Aggressive,Linear,max_time_hours,24,1.000000,1.000000,0.000000,1.000000,0.000000,0.027611,False,3
CNN,AbnormalHeartbeat,Aggressive_Linear,Aggressive,Linear,max_time_hours,72,1.000000,1.000000,0.000000,1.000000,0.000000,0.009204,False,3
CNN,AbnormalHeartbeat,Aggressive_Standard,Aggressive,Standard,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Aggressive_Standard,Aggressive,Standard,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Aggressive_Standard,Aggressive,Standard,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,3
CNN,AbnormalHeartbeat,Aggressive_Standard,Aggressive,Standard,max_time_hours,10,1.000000,1.000000,0.000000,1.000000,0.000000,0.044733,False,3
CNN,AbnormalHeartbeat,Aggressive_Standard,Aggressive,Standard,max_time_hours,24,1.000000,1.000000,0.000000,1.000000,0.000000,0.018639,False,3
CNN,AbnormalHeartbeat,Aggressive_Standard,Aggressive,Standard,max_time_hours,72,1.000000,1.000000,0.000000,1.000000,0.000000,0.006213,False,3
CNN,AbnormalHeartbeat,Aggressive_Aggressive,Aggressive,Aggressive,max_epochs,1000,0.600000,0.600000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Aggressive_Aggressive,Aggressive,Aggressive,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Aggressive_Aggressive,Aggressive,Aggressive,max_epochs,5000,0.600000,0.600000,0.000000,1.000000,0.000000,0.820000,False,3
CNN,AbnormalHeartbeat,Aggressive_Aggressive,Aggressive,Aggressive,max_time_hours,10,0.600000,0.600000,0.000000,1.000000,0.000000,0.023262,False,3
CNN,AbnormalHeartbeat,Aggressive_Aggressive,Aggressive,Aggressive,max_time_hours,24,0.600000,0.600000,0.000000,1.000000,0.000000,0.009692,False,3
CNN,AbnormalHeartbeat,Aggressive_Aggressive,Aggressive,Aggressive,max_time_hours,72,0.600000,0.600000,0.000000,1.000000,0.000000,0.003231,False,3
CNN,AbnormalHeartbeat,Aggressive_Gradual,Aggressive,Gradual,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Aggressive_Gradual,Aggressive,Gradual,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Aggressive_Gradual,Aggressive,Gradual,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,3
CNN,AbnormalHeartbeat,Aggressive_Gradual,Aggressive,Gradual,max_time_hours,10,1.000000,1.000000,0.000000,1.000000,0.000000,0.077451,False,3
CNN,AbnormalHeartbeat,Aggressive_Gradual,Aggressive,Gradual,max_time_hours,24,1.000000,1.000000,0.000000,1.000000,0.000000,0.032271,False,3
CNN,AbnormalHeartbeat,Aggressive_Gradual,Aggressive,Gradual,max_time_hours,72,1.000000,1.000000,0.000000,1.000000,0.000000,0.010757,False,3
CNN,AbnormalHeartbeat,Aggressive_TwoStage,Aggressive,TwoStage,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Aggressive_TwoStage,Aggressive,TwoStage,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Aggressive_TwoStage,Aggressive,TwoStage,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,3
CNN,AbnormalHeartbeat,Aggressive_TwoStage,Aggressive,TwoStage,max_time_hours,10,1.000000,1.000000,0.000000,1.000000,0.000000,0.044733,False,3
CNN,AbnormalHeartbeat,Aggressive_TwoStage,Aggressive,TwoStage,max_time_hours,24,1.000000,1.000000,0.000000,1.000000,0.000000,0.018639,False,3
CNN,AbnormalHeartbeat,Aggressive_TwoStage,Aggressive,TwoStage,max_time_hours,72,1.000000,1.000000,0.000000,1.000000,0.000000,0.006213,False,3
CNN,AbnormalHeartbeat,Conservative_Linear,Conservative,Linear,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Conservative_Linear,Conservative,Linear,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Conservative_Linear,Conservative,Linear,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,3
CNN,AbnormalHeartbeat,Conservative_Linear,Conservative,Linear,max_time_hours,10,1.000000,1.000000,0.000000,1.000000,0.000000,0.094125,False,5
CNN,AbnormalHeartbeat,Conservative_Linear,Conservative,Linear,max_time_hours,24,1.000000,1.000000,0.000000,1.000000,0.000000,0.039219,False,5
