Hybrid_Name,Performance_At_Timeout,Performance_Retention,Budget_Utilization,Rank
VeryAggressive_Gradual,1.0,1.0,0.5272,1
Aggressive_Gradual,1.0,1.0,0.5213,2
Conservative_Gradual,0.9873,0.9873,0.5367,3
Moderate_Gradual,0.9857,0.9857,0.5218,4
Aggressive_Linear,0.9825,0.9825,0.5186,5
VeryAggressive_Linear,0.9825,0.9885,0.5245,6
Standard_Gradual,0.9635,0.9635,0.53,7
Moderate_Linear,0.9587,0.9659,0.517,8
Conservative_Linear,0.9429,0.9726,0.5264,9
VeryAggressive_Standard,0.9333,0.9512,0.5184,10
VeryAggressive_TwoStage,0.9333,0.9512,0.5184,11
Aggressive_TwoStage,0.9302,0.9508,0.5125,12
Aggressive_Standard,0.9302,0.9508,0.5125,13
Moderate_Standard,0.8937,0.9425,0.5082,14
Conservative_Standard,0.8635,0.9349,0.5134,15
Aggressive_Aggressive,0.7937,0.9089,0.4769,16
VeryAggressive_Aggressive,0.781,0.9062,0.5128,17
Standard_Standard,0.6762,0.9414,0.4527,18
Conservative_TwoStage,0.6063,0.9687,0.5117,19
Standard_Linear,0.5857,0.9296,0.5117,20
Moderate_TwoStage,0.5444,0.9513,0.5082,21
Conservative_Aggressive,0.5365,0.8978,0.4693,22
Moderate_Aggressive,0.5159,0.9118,0.4103,23
Standard_Aggressive,0.5159,0.9636,0.291,24
Standard_TwoStage,0.346,0.9563,0.4068,25
