Hybrid_Name,Performance_At_Timeout,Performance_Retention,Budget_Utilization,Rank
VeryAggressive_Gradual,0.9984,0.9984,0.5236,1
Aggressive_Gradual,0.9984,0.9984,0.5185,2
Moderate_Gradual,0.9968,0.9968,0.5197,3
Aggressive_Linear,0.9968,0.9968,0.5169,4
VeryAggressive_Linear,0.9968,0.9968,0.5219,5
Conservative_Gradual,0.9968,0.9968,0.5332,6
Standard_Gradual,0.9889,0.9889,0.5284,7
Moderate_Linear,0.9825,0.9825,0.516,8
VeryAggressive_Standard,0.973,0.9825,0.5169,9
VeryAggressive_TwoStage,0.973,0.9825,0.5169,10
Conservative_Linear,0.9714,0.9905,0.5252,11
Aggressive_TwoStage,0.9635,0.9825,0.5118,12
Aggressive_Standard,0.9635,0.9825,0.5118,13
Moderate_Standard,0.919,0.9651,0.5089,14
Conservative_Standard,0.8841,0.9753,0.5139,15
VeryAggressive_Aggressive,0.7889,0.9349,0.5124,16
Aggressive_Aggressive,0.754,0.9437,0.4774,17
Conservative_TwoStage,0.5889,0.9974,0.5118,18
Standard_Standard,0.5603,0.9762,0.4531,19
Standard_Linear,0.5397,0.9947,0.5121,20
Moderate_Aggressive,0.4889,0.9085,0.4104,21
Moderate_TwoStage,0.4873,0.9669,0.5089,22
Conservative_Aggressive,0.4397,0.9405,0.4692,23
Standard_Aggressive,0.2635,0.9431,0.291,24
Standard_TwoStage,0.2063,0.9643,0.407,25
