bidirectional,dropout_rate,hidden_units,learning_rate,num_layers,output_activation,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
True,0.0186634673884,72,0.0002969130534,1,relu,CBF,85aad2e93c31adeaaeda77b3ace06ef6,0,0.31794690966606143,0.045079684655904395,0.5712903243303299,0.06266571594960325,0.6584946238994599,0.06991397354150859,0.7219354808330536,0.07795875771857945,0.7663440871238708,0.07960710353881403,0.8011827981472015,0.06936285439843114,0.8345161294937133,0.06156418962745888,0.8680645191669465,0.05224879607433123,0.8902150535583496,0.04210347985060966,0.9090322625637055,0.03495386307065889,0.9259139811992645,0.028845586357435067,0.9443010747432709,0.023973109351812044,0.9577419352531432,0.017412494595808965,0.9640860211849214,0.011572124404820413,0.9731182825565339,0.011266118953404472,0.9790322613716127,0.009404757603436087,0.9823655962944031,0.00916890321436786,0.9864516186714173,0.006554338521280443,0.9884946286678314,0.006629371163024684,0.9921505415439607,0.005890578927754226
False,0.0359307062275,74,2.75961503e-05,3,relu,CBF,6f8b5426734d8c490531a91a8fcadaed,1,0.318978496491909,0.056628584954478874,0.45817204236984244,0.09615820382967935,0.5635483866930008,0.10120793965982966,0.6525806438922881,0.0890281735584836,0.6940860193967819,0.07607901940442707,0.7238709682226181,0.07234782387198452,0.7443010759353638,0.07215757941764904,0.7691397857666016,0.06868649697366691,0.7932258069515229,0.062343029746170606,0.8145161318778993,0.0609787904792087,0.8284946250915528,0.05956348557681059,0.8411827957630157,0.05645599729008166,0.8551612901687623,0.05380416732480999,0.8690322589874266,0.049772544825525594,0.879677414894104,0.044506403817788226,0.8880645155906677,0.04204241549546585,0.8963440859317778,0.03387883823279682,0.9089247310161591,0.034580106200901406,0.9133333325386047,0.0329367106619385,0.9221505391597749,0.02943523322165089
True,0.0139325051015,118,1.95733195e-05,1,relu,CBF,1b66f8b0e1f54ce7bb17e69026fa6c24,2,0.3427452978491783,0.03974302129361737,0.4279569900035858,0.0787372882549041,0.476989245414734,0.09810737031686984,0.5091397833824158,0.09151408811826311,0.547311829328537,0.08284300966677875,0.5803225791454315,0.07378821880874166,0.6084946197271346,0.07186974012888768,0.6381720435619355,0.06746401733154651,0.6591397798061371,0.07151952074857618,0.6752688109874725,0.0807207962072753,0.6869892418384552,0.08017697879035743,0.6987096750736237,0.0853450152279339,0.7066666638851166,0.0834006402697275,0.7154838705062867,0.08663935593173706,0.7223655951023102,0.08683722917638527,0.72881720662117,0.08920599166454786,0.7352688217163086,0.08631788968409722,0.7377419376373291,0.08532189956352684,0.7420430123806,0.0826247675209093,0.7504301106929779,0.08462797845629966
False,0.2226713758956,160,0.0006339167217,1,gelu,CBF,32fc2098a950241483da220ef17d167c,3,0.32455981262028216,0.04457294054138691,0.6915053725242615,0.0488993254697196,0.7684946215152741,0.06467930364273956,0.8199999976158143,0.06072534830997556,0.8387096816301346,0.07368533963363454,0.8811827969551086,0.044807889779221885,0.9130107510089875,0.037913116993632597,0.9377419412136078,0.0271808942780123,0.9578494668006897,0.022746730583811638,0.9645161318778991,0.018686175604401674,0.9702150523662567,0.015400094791623978,0.9755913996696473,0.022503996086633952,0.9826881766319275,0.013774358879725475,0.9874193584918978,0.009429315249402033,0.9832258117198945,0.016348171016017855,0.9821505403518677,0.01411294684702068,0.9806451654434204,0.03805702365287599,0.9886021530628204,0.02224071483901902,0.9874193572998047,0.028258869270040156,0.9903225815296173,0.023011758111448878
False,0.2490646550231,193,0.0008517557891,2,gelu,CBF,714d9019ec0c862dac1b621254f49dfb,4,0.3406989267468453,0.056713591693641485,0.661827955842018,0.063648584865517,0.7596774154901504,0.07566247645685699,0.8277419316768647,0.064350242908936,0.8659139811992643,0.04137589211939709,0.9089247345924377,0.03141899253224747,0.9274193537235259,0.025157360561031756,0.9543010795116423,0.02358112461811722,0.9607526922225953,0.020302373891379056,0.9703225827217101,0.02121791422276044,0.9705376398563385,0.02408217989268772,0.9747311842441558,0.01744345556605193,0.9779569935798647,0.021320894807993925,0.9879569935798646,0.011079852299499551,0.9892473173141478,0.011580999732019771,0.9884946250915527,0.007967155091647152,0.9912903261184691,0.00784364969020974,0.9946236586570739,0.00536438168584261,0.9948387122154235,0.0056398952914671644,0.9944086050987243,0.005012797855893527
False,0.2213782285987,211,1.52242906e-05,2,relu,CBF,35da783c1676d76f33401cb9392421ba,5,0.32441532172262666,0.06482454740243615,0.5183870992064475,0.09823986511866281,0.6211827939748764,0.05749544127668899,0.684301074743271,0.04829594291749038,0.7033333325386046,0.05239218797181053,0.7191397893428803,0.0661575321989165,0.7344086003303528,0.07094058212460619,0.7451612901687622,0.07171862782201843,0.7613978433609009,0.07860738997885987,0.7754838681221009,0.07683604977903251,0.7865591442584992,0.07635712618254244,0.8007526898384094,0.0711179223229842,0.8149462389945983,0.06681959271150797,0.8308602130413055,0.061782075466643306,0.8451612889766693,0.05787837127395644,0.8626881742477417,0.05227829195166807,0.8749462401866914,0.04864804208028989,0.8870967745780944,0.04585572966796452,0.8967741930484772,0.04292105452915494,0.9029032242298125,0.038473494896502355
False,0.2910569764067,191,0.000569434657,2,gelu,CBF,5233d3395ed608f90951840948ea2fdd,6,0.3458064541220665,0.08066165064743902,0.7021505308151246,0.023323663709106348,0.7999999999999999,0.0288524919490526,0.8526881742477418,0.03207835033051291,0.9038709688186646,0.022830164969382415,0.9307526874542237,0.023107020397230508,0.9550537610054016,0.012777164019512718,0.9784946250915528,0.010115534058338828,0.9763440918922424,0.013937071067026461,0.9774193596839904,0.013451613644240091,0.9875268864631653,0.009725092336610596,0.9913978528976439,0.007828073415459718,0.9920430159568786,0.0030030644196951768,0.9959139823913574,0.0028852462516376644,0.9933333349227904,0.006514034924251696,0.9959139823913574,0.002567166667092947,0.9907526922225951,0.004662253345148713,0.9931182813644408,0.0025895929597667885,0.9952688217163086,0.0014426231258188322,0.9963440895080566,0.0028039553496803232
False,0.0624603498817,227,1.03991551e-05,1,relu,CBF,207c8fd3c96443b2c2772c4f7ff2a173,7,0.3469422030448913,0.05040831533516285,0.4548387095332146,0.07895561641717988,0.5189247280359268,0.06078878771317982,0.5697849434614182,0.058145102205325885,0.5972042971849442,0.05367304276433182,0.6136559146642684,0.05261875773105782,0.6268817210197448,0.05264548560177513,0.6399999988079073,0.05206097841256407,0.6498924714326858,0.0554460696999783,0.6607526862621307,0.05604536234367927,0.674193547964096,0.06939534535391302,0.6856989228725434,0.07338318686345761,0.6930107533931732,0.07604185994974519,0.7012903261184692,0.08538864982676013,0.708387097120285,0.08857877226058507,0.713225804567337,0.08777198665376973,0.7215053808689118,0.09054277360103584,0.7244086003303527,0.08920059532876666,0.7289247334003448,0.09123177036795267,0.7347311854362488,0.08876024097612328
False,0.2912006626045,128,1.54970938e-05,2,gelu,CBF,88c40e67b7d131b9489d2fc3c201d40a,8,0.35139784656465056,0.09874164777976142,0.46129032313823704,0.09194648887338518,0.5720430111885071,0.061600799666879376,0.6309677457809448,0.041348244344835035,0.6720430088043213,0.03934661160853732,0.693333330154419,0.02396425814347298,0.705806450843811,0.01871091246521483,0.712688171863556,0.0216046082910735,0.7227956962585449,0.023029339142465292,0.7301075267791749,0.02041595230331838,0.743440854549408,0.017776119256704484,0.753118281364441,0.01027429993021706,0.7640860199928283,0.007701508323163035,0.7765591430664063,0.005760475366508731,0.7866666626930237,0.005020483657342226,0.7974193525314331,0.008886432951680389,0.8094623684883118,0.010126959143578711,0.8182795739173889,0.011705132673908816,0.8281720471382142,0.011665556620789998,0.8397849512100221,0.013430099481581463
False,0.1862581186845,226,0.0005861217612,2,tanh,CBF,5e5d5b37304926a56f541f254aaae795,9,0.3580913954973221,0.044790760005754035,0.6838709712028502,0.05661948238417866,0.775268816947937,0.05937716765772527,0.8478494656085968,0.05355815254091699,0.908924733400345,0.01843736978932623,0.9386021518707276,0.024216503969364655,0.9617204320430754,0.01204002512527412,0.960537635087967,0.02444670548002639,0.9715053784847258,0.01959396898241175,0.9792473161220551,0.011658945022410033,0.9867741990089417,0.007415977501909986,0.9853763496875765,0.011313906467809791,0.9834408640861512,0.014230791637384109,0.9862365639209749,0.009747520604879625,0.9898924791812898,0.004216614933230696,0.9837634456157683,0.017902859681071415,0.9911827993392945,0.005752660515112955,0.9941935527324677,0.003965393695150896,0.9946236586570739,0.0038269109562827585,0.9958064544200897,0.0031837159810114385
