Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.4,0.0116,5
Moderate_Standard,0.4,0.01,5
Moderate_Aggressive,0.4,0.0084,4
Moderate_Gradual,0.2,0.016,5
Moderate_TwoStage,0.4,0.0132,4
Aggressive_Linear,0.2,0.016,4
Aggressive_Standard,0.4,0.0132,4
Aggressive_Aggressive,0.2,0.0032,4
Aggressive_Gradual,0.2,0.022,4
Aggressive_TwoStage,0.4,0.0132,4
Conservative_Linear,0.2,0.0108,6
Conservative_Standard,0.4,0.0036,6
Conservative_Aggressive,0.6,0.0016,4
Conservative_Gradual,0.2,0.0176,6
Conservative_TwoStage,0.4,0.0108,4
VeryAggressive_Linear,0.2,0.0176,4
VeryAggressive_Standard,0.2,0.0104,4
VeryAggressive_Aggressive,0.2,0.008,4
VeryAggressive_Gradual,0.2,0.0144,4
VeryAggressive_TwoStage,0.2,0.0104,4
Standard_Linear,0.2,0.006,6
Standard_Standard,0.4,0.0016,7
Standard_Aggressive,0.4,0.006,4
Standard_Gradual,0.2,0.0108,8
Standard_TwoStage,0.0,0.0116,4
