Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.4,0.04,5
Moderate_Standard,0.4,0.025,5
Moderate_Aggressive,0.4,0.022,4
Moderate_Gradual,0.4,0.059,5
Moderate_TwoStage,0.4,0.025,4
Aggressive_Linear,0.4,0.059,4
Aggressive_Standard,0.2,0.037,4
Aggressive_Aggressive,0.6,0.012,4
Aggressive_Gradual,0.4,0.059,4
Aggressive_TwoStage,0.2,0.037,4
Conservative_Linear,0.4,0.04,6
Conservative_Standard,0.6,0.015,6
Conservative_Aggressive,0.2,0.036,4
Conservative_Gradual,0.4,0.04,6
Conservative_TwoStage,0.4,0.022,4
VeryAggressive_Linear,0.4,0.059,4
VeryAggressive_Standard,0.4,0.04,4
VeryAggressive_Aggressive,0.6,0.012,4
VeryAggressive_Gradual,0.4,0.059,4
VeryAggressive_TwoStage,0.4,0.04,4
Standard_Linear,0.4,0.029,6
Standard_Standard,0.6,0.014,7
Standard_Aggressive,0.2,0.017,4
Standard_Gradual,0.4,0.04,8
Standard_TwoStage,0.2,0.029,4
