Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.4,0.011,5
Moderate_Standard,0.0,0.02375,5
Moderate_Aggressive,0.4,0.022,4
Moderate_Gradual,0.4,0.011,5
Moderate_TwoStage,0.2,0.023,4
Aggressive_Linear,0.4,0.0155,4
Aggressive_Standard,0.4,0.015,4
Aggressive_Aggressive,0.0,0.007,4
Aggressive_Gradual,0.4,0.011,4
Aggressive_TwoStage,0.4,0.015,4
Conservative_Linear,0.4,0.0155,6
Conservative_Standard,0.0,0.007,6
Conservative_Aggressive,0.2,0.009,4
Conservative_Gradual,0.4,0.0155,6
Conservative_TwoStage,0.2,0.012,4
VeryAggressive_Linear,0.4,0.0155,4
VeryAggressive_Standard,0.4,0.011,4
VeryAggressive_Aggressive,0.4,0.003,4
VeryAggressive_Gradual,0.4,0.011,4
VeryAggressive_TwoStage,0.4,0.011,4
Standard_Linear,0.0,0.018,6
Standard_Standard,0.0,0.00975,7
Standard_Aggressive,0.8,0.003,4
Standard_Gradual,0.4,0.015,8
Standard_TwoStage,0.0,0.03425,4
