activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20
tanh,0.3506040459593,3,0.0017373662782,125,4,average,1,BeetleFly,0.525,0.5,0.525,0.475,0.475,0.5,0.475,0.475,0.5,0.525,0.55,0.525,0.525,0.525,0.525,0.55,0.55,0.525,0.5,0.525
elu,0.0179904838293,5,0.0001699441542,67,3,average,2,BeetleFly,0.6,0.575,0.5,0.5,0.45,0.45,0.475,0.475,0.45,0.425,0.425,0.425,0.45,0.425,0.475,0.475,0.475,0.45,0.45,0.475
sigmoid,0.2924977205317,7,0.0010179838759,133,2,average,2,BeetleFly,0.525,0.525,0.55,0.525,0.525,0.55,0.55,0.5,0.5,0.5,0.525,0.55,0.575,0.55,0.55,0.575,0.55,0.575,0.575,0.55
gelu,0.3663849266307,3,0.0043888822554,229,1,average,2,BeetleFly,0.45,0.65,0.625,0.625,0.6,0.6,0.625,0.575,0.625,0.675,0.675,0.675,0.675,0.675,0.7,0.7,0.7,0.7,0.7,0.675
elu,0.2395499542143,4,0.0056554274155,163,4,average,2,BeetleFly,0.475,0.55,0.6,0.65,0.575,0.7,0.675,0.65,0.525,0.625,0.6,0.6,0.625,0.625,0.6,0.6,0.65,0.65,0.65,0.65
sigmoid,0.4398610717507,4,0.0014047716638,131,4,average,1,BeetleFly,0.475,0.475,0.475,0.475,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.575,0.625,0.65,0.625,0.575,0.575,0.575,0.575,0.575
tanh,0.4730523147835,3,0.0012784622208,78,3,average,1,BeetleFly,0.475,0.475,0.6,0.625,0.675,0.7,0.7,0.7,0.75,0.75,0.775,0.8,0.8,0.775,0.775,0.75,0.725,0.75,0.75,0.75
relu,0.0668866210245,7,0.0048811259055,136,2,max,1,BeetleFly,0.525,0.525,0.575,0.575,0.575,0.55,0.55,0.55,0.55,0.575,0.6,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575
sigmoid,0.372660755112,6,0.0049611226613,194,4,max,1,BeetleFly,0.475,0.525,0.575,0.575,0.625,0.65,0.55,0.625,0.675,0.7,0.625,0.65,0.6,0.575,0.575,0.575,0.6,0.625,0.6,0.575
gelu,0.3161516587151,6,0.0012825204594,160,1,max,2,BeetleFly,0.575,0.625,0.725,0.75,0.725,0.775,0.725,0.725,0.725,0.725,0.7,0.7,0.725,0.725,0.725,0.7,0.7,0.725,0.7,0.7
tanh,0.3096670955022,7,0.0052372528529,101,2,max,2,BeetleFly,0.525,0.7,0.7,0.725,0.75,0.725,0.7,0.7,0.7,0.7,0.7,0.675,0.675,0.675,0.675,0.675,0.65,0.65,0.65,0.675
elu,0.1566618065061,6,0.007944442522,252,4,average,2,BeetleFly,0.55,0.575,0.5,0.525,0.55,0.55,0.55,0.5,0.5,0.575,0.625,0.625,0.65,0.7,0.675,0.625,0.6,0.575,0.6,0.6
elu,0.2496015182267,4,0.0003936855102,180,3,max,2,BeetleFly,0.55,0.575,0.55,0.625,0.575,0.575,0.525,0.55,0.5,0.525,0.525,0.55,0.55,0.5,0.475,0.5,0.525,0.525,0.525,0.55
sigmoid,0.0666035568756,4,0.0006389916847,111,1,max,1,BeetleFly,0.55,0.55,0.55,0.525,0.525,0.5,0.5,0.525,0.525,0.55,0.525,0.55,0.55,0.55,0.525,0.525,0.525,0.525,0.525,0.525
relu,0.4890716569931,6,0.0026115694706,191,4,max,2,BeetleFly,0.5,0.5,0.475,0.525,0.525,0.475,0.525,0.575,0.55,0.55,0.55,0.525,0.55,0.575,0.525,0.55,0.575,0.55,0.55,0.55
elu,0.3520153477682,3,0.005825381532,210,1,max,2,BeetleFly,0.575,0.5,0.45,0.45,0.575,0.575,0.575,0.5,0.525,0.525,0.525,0.525,0.525,0.5,0.5,0.525,0.525,0.525,0.525,0.525
relu,0.3791936432688,5,0.0019169244138,64,3,average,2,BeetleFly,0.55,0.475,0.475,0.45,0.425,0.425,0.475,0.45,0.55,0.5,0.5,0.525,0.525,0.525,0.525,0.525,0.55,0.55,0.55,0.55
gelu,0.4967077720736,4,0.0002032480355,75,5,max,2,BeetleFly,0.475,0.475,0.425,0.475,0.45,0.5,0.475,0.475,0.475,0.475,0.475,0.475,0.55,0.55,0.55,0.525,0.525,0.525,0.525,0.525
tanh,0.2867077276335,3,0.0001430397104,67,2,max,1,BeetleFly,0.45,0.45,0.45,0.425,0.45,0.375,0.425,0.4,0.5,0.475,0.475,0.45,0.45,0.475,0.5,0.5,0.475,0.5,0.5,0.5
sigmoid,0.1363161405363,6,0.0001009083932,132,4,average,2,BeetleFly,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.5
relu,0.4535545276102,7,0.0017894055959,124,1,average,1,BeetleFly,0.5,0.65,0.65,0.65,0.625,0.6,0.625,0.675,0.625,0.625,0.625,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
elu,0.4157204051192,4,0.0024809387277,75,4,average,1,BeetleFly,0.525,0.475,0.45,0.55,0.55,0.6,0.575,0.55,0.55,0.55,0.6,0.575,0.55,0.525,0.55,0.525,0.525,0.525,0.5,0.525
