bidirectional,dropout_rate,hidden_units,learning_rate,num_layers,output_activation,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
True,0.236473043168,33,0.0005981827008,1,linear,BeetleFly,0.4949999999999999,0.54,0.58,0.61,0.61,0.635,0.6299999999999999,0.635,0.645,0.65,0.65,0.655,0.655,0.655,0.675,0.6649999999999999,0.67,0.6699999999999999,0.6699999999999999,0.6699999999999999
True,0.0812603424333,57,0.0003577042202,3,sigmoid,BeetleFly,0.505,0.5800000000000001,0.595,0.62,0.66,0.655,0.63,0.65,0.655,0.655,0.65,0.655,0.65,0.655,0.665,0.665,0.6699999999999999,0.6699999999999999,0.6649999999999999,0.6649999999999999
True,0.4229350069175,101,8.38074631e-05,2,relu,BeetleFly,0.55,0.5449999999999999,0.575,0.6,0.63,0.665,0.6799999999999999,0.6799999999999999,0.6900000000000001,0.6900000000000001,0.6849999999999999,0.6900000000000001,0.6849999999999999,0.6799999999999999,0.675,0.665,0.6649999999999999,0.675,0.675,0.675
True,0.1435248823406,55,3.61900509e-05,3,gelu,BeetleFly,0.475,0.475,0.485,0.465,0.51,0.53,0.53,0.545,0.56,0.5650000000000001,0.5700000000000001,0.57,0.5900000000000001,0.6299999999999999,0.625,0.6299999999999999,0.6299999999999999,0.65,0.67,0.665
True,0.2195517300243,109,0.0001053264129,1,relu,BeetleFly,0.53,0.5450000000000002,0.57,0.5900000000000001,0.595,0.625,0.64,0.6599999999999999,0.665,0.66,0.6650000000000001,0.6650000000000001,0.6649999999999999,0.6900000000000001,0.6849999999999999,0.675,0.675,0.675,0.67,0.67
False,0.0115676310388,66,0.0003375605375,3,sigmoid,BeetleFly,0.54,0.5650000000000001,0.615,0.6499999999999999,0.6599999999999999,0.6849999999999999,0.695,0.725,0.71,0.71,0.72,0.71,0.685,0.685,0.6849999999999999,0.6849999999999999,0.69,0.6849999999999999,0.6900000000000001,0.7050000000000001
False,0.2754890893473,36,0.0009511445804,1,sigmoid,BeetleFly,0.495,0.5,0.5549999999999999,0.5549999999999999,0.5700000000000001,0.595,0.6100000000000001,0.61,0.625,0.64,0.6699999999999999,0.675,0.6599999999999999,0.665,0.6699999999999999,0.6699999999999999,0.6699999999999999,0.675,0.675,0.675
False,0.3720208567669,65,7.08322238e-05,3,gelu,BeetleFly,0.53,0.5349999999999999,0.5599999999999999,0.5800000000000001,0.5800000000000001,0.5900000000000001,0.635,0.63,0.635,0.635,0.64,0.65,0.6599999999999999,0.665,0.675,0.675,0.675,0.6849999999999999,0.6900000000000001,0.6950000000000001
False,0.2768772823227,35,1.45105635e-05,3,relu,BeetleFly,0.52,0.515,0.515,0.52,0.525,0.525,0.525,0.5349999999999999,0.53,0.5349999999999999,0.5349999999999999,0.5349999999999999,0.5399999999999999,0.545,0.5399999999999999,0.5399999999999999,0.5399999999999999,0.5399999999999999,0.5449999999999999,0.5449999999999999
True,0.409599375992,105,0.0002736573589,2,tanh,BeetleFly,0.5,0.64,0.62,0.63,0.66,0.66,0.655,0.665,0.655,0.65,0.6599999999999999,0.6649999999999998,0.65,0.65,0.655,0.665,0.65,0.655,0.655,0.6699999999999999
True,0.0968034318199,118,0.0001536644566,3,relu,BeetleFly,0.4549999999999999,0.62,0.6950000000000001,0.69,0.695,0.7050000000000001,0.705,0.7,0.7150000000000001,0.675,0.6649999999999999,0.67,0.6799999999999999,0.6799999999999999,0.6799999999999999,0.69,0.7,0.705,0.71,0.71
True,0.2965258543734,126,0.0004310952142,2,linear,BeetleFly,0.51,0.6699999999999999,0.675,0.665,0.68,0.7050000000000001,0.6849999999999999,0.685,0.6699999999999999,0.645,0.6799999999999999,0.695,0.71,0.71,0.71,0.725,0.7100000000000001,0.6950000000000001,0.69,0.6950000000000001
True,0.0606642906026,53,1.95317109e-05,1,tanh,BeetleFly,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.505,0.505,0.505,0.505,0.51,0.505,0.505,0.505,0.5,0.51,0.51,0.51
True,0.4578039196473,92,0.0003688740697,3,tanh,BeetleFly,0.42,0.6500000000000001,0.6799999999999999,0.675,0.675,0.6950000000000001,0.7,0.715,0.72,0.7100000000000001,0.6900000000000001,0.6950000000000001,0.6849999999999999,0.6849999999999999,0.6799999999999999,0.6799999999999999,0.6950000000000001,0.7,0.7,0.6950000000000001
True,0.447785164071,36,4.12446341e-05,3,tanh,BeetleFly,0.4049999999999999,0.415,0.425,0.425,0.43,0.455,0.4599999999999999,0.4549999999999999,0.4549999999999999,0.45,0.4699999999999999,0.49,0.515,0.52,0.5349999999999999,0.54,0.555,0.555,0.565,0.575
True,0.4051094331584,57,9.33990403e-05,1,gelu,BeetleFly,0.5050000000000001,0.51,0.5200000000000001,0.535,0.55,0.5700000000000001,0.5900000000000001,0.595,0.595,0.615,0.62,0.625,0.625,0.635,0.635,0.6399999999999999,0.6399999999999999,0.655,0.65,0.65
False,0.0781312118356,125,3.69299649e-05,3,elu,BeetleFly,0.525,0.5599999999999999,0.595,0.6199999999999999,0.6449999999999999,0.6599999999999999,0.67,0.6649999999999999,0.675,0.6950000000000001,0.6950000000000001,0.6799999999999999,0.675,0.67,0.67,0.67,0.67,0.6799999999999999,0.6849999999999999,0.6849999999999999
