activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
tanh,0.3633583992103,50,0.0002010646935,1,6.709385e-05,Adiac,0.026875,0.0405095547437667,0.081783440709114,0.1192356705665588,0.1447133779525757,0.1554140150547027,0.1727388554811477,0.1900636965036392,0.2086624228954315,0.2086624228954315,0.2315923589468002,0.2295541423559188,0.2481528675556183,0.248917196393013,0.261910827755928,0.2715923541784287,0.2657324826717377,0.2878980857133865,0.2896815276145935,0.2937579602003097
gelu,0.1729053303171,24,1.38845551e-05,3,0.0001357952827,Adiac,0.02,0.0264968156814575,0.0267515927553176,0.028789809346199,0.0300636947154998,0.0351592361927032,0.036433121562004,0.034904459118843,0.0361783444881439,0.0366878986358642,0.0415286630392074,0.0415286630392074,0.0428025484085083,0.0425477713346481,0.046878981590271,0.0507006376981735,0.0489171981811523,0.0473885357379913,0.0496815294027328,0.0507006376981735
gelu,0.4877392393243,65,0.0001168172668,4,0.0002461600762,Adiac,0.0249999999999999,0.0275159239768981,0.0236942678689956,0.0321019113063812,0.033375796675682,0.0412738859653472,0.0461146503686904,0.0478980898857116,0.0519745230674743,0.0557961791753768,0.0578343957662582,0.0642038226127624,0.0759235680103302,0.0736305743455886,0.0769426763057708,0.0815286636352539,0.0924840778112411,0.0942675173282623,0.098343950510025,0.1054777085781097
gelu,0.5270725066208,83,1.6405107e-05,4,0.0005345189815,Adiac,0.02625,0.0341401278972625,0.0292993634939193,0.028789809346199,0.0259872615337371,0.0290445864200592,0.0305732488632202,0.0305732488632202,0.0313375800848007,0.031847134232521,0.033375796675682,0.03031847178936,0.0321019113063812,0.0323566883802413,0.0328662425279617,0.0338853508234024,0.0321019113063812,0.031847134232521,0.0354140132665634,0.0343949049711227
relu,0.3619822498371,14,0.0002107947679,3,1.07418377e-05,Adiac,0.0296875,0.0251592360436916,0.0248407647013664,0.0401273891329765,0.0436305738985538,0.048407644033432,0.0490445867180824,0.0525477714836597,0.0538216568529605,0.0541401281952858,0.062101911753416,0.0684713385999202,0.0767515935003757,0.0796178355813026,0.0808917209506034,0.0732484087347984,0.0748407654464244,0.0834394916892051,0.0961783453822135,0.0952229313552379
relu,0.5536549140244,104,1.07099908e-05,3,0.0004753660264,Adiac,0.021875,0.0270063698291778,0.0247133761644363,0.0275159239768981,0.0275159239768981,0.0292993634939193,0.0267515927553176,0.0290445864200592,0.0313375800848007,0.031847134232521,0.0359235674142837,0.033375796675682,0.0310828030109405,0.0336305737495422,0.0351592361927032,0.0341401278972625,0.0369426757097244,0.0361783444881439,0.0369426757097244,0.0389808923006057
relu,0.3473123598305,63,2.85415706e-05,1,0.001640519068,Adiac,0.025625,0.0313375800848007,0.0331210196018219,0.0410191088914871,0.0507006376981735,0.0601273894309997,0.0670063704252243,0.0721019119024276,0.0825477719306945,0.0907006382942199,0.0980891734361648,0.1077707022428512,0.1133757978677749,0.1151592373847961,0.1258598744869232,0.1299363076686859,0.1340127408504486,0.1363057345151901,0.1454777091741562,0.15133758187294
relu,0.5511423928914,92,3.56194596e-05,3,0.0030315754747,Adiac,0.033125,0.0270063698291778,0.0264968156814575,0.0280254781246185,0.0300636947154998,0.0336305737495422,0.0366878986358642,0.0397452235221862,0.0448407649993896,0.0512101918458938,0.0486624211072921,0.0573248416185379,0.0598726123571395,0.0652229309082031,0.0698089182376861,0.0685350328683853,0.0733757972717285,0.0782165616750717,0.0769426763057708,0.0853503197431564
gelu,0.1321503402253,105,9.18214799e-05,4,0.0006132819977,Adiac,0.02625,0.027261146903038,0.0614012748003005,0.1340127408504486,0.1910828053951263,0.2326114672422408,0.2621656054258346,0.2927388507127761,0.3225477683544159,0.3284076416492462,0.3587261152267456,0.3839490461349487,0.396178343296051,0.4104458594322205,0.4198726117610932,0.4387261140346526,0.4606369423866271,0.4557961773872375,0.4705732500553131,0.4822929930686951
tanh,0.5158026504679,80,1.54230528e-05,4,0.007542302998,Adiac,0.028125,0.0270063698291778,0.0321019113063812,0.0300636947154998,0.027261146903038,0.03031847178936,0.0275159239768981,0.027261146903038,0.028789809346199,0.0292993634939193,0.0290445864200592,0.0252229303121566,0.0315923571586608,0.0298089176416397,0.0308280259370803,0.0305732488632202,0.033375796675682,0.0315923571586608,0.0313375800848007,0.0359235674142837
gelu,0.2832765322529,28,0.0002283784877,1,1.65950009e-05,Adiac,0.029375,0.0371974527835845,0.0601273894309997,0.0866242051124572,0.1087898105382919,0.122547772526741,0.1250955432653427,0.1378343969583511,0.1426751613616943,0.1602547794580459,0.1714649707078933,0.1773248428106308,0.1801273906230926,0.1931210213899612,0.1987261164188384,0.2107006400823593,0.2145222955942153,0.2247133773565292,0.2338853526115417,0.2236942684650421
tanh,0.5418824269471,53,3.31280424e-05,4,1.88153436e-05,Adiac,0.026875,0.0275159239768981,0.0295541405677795,0.0305732488632202,0.0310828030109405,0.0341401278972625,0.033375796675682,0.0328662425279617,0.0336305737495422,0.0369426757097244,0.0356687903404235,0.0343949049711227,0.0379617840051651,0.0374522298574447,0.0392356693744659,0.0356687903404235,0.0400000005960464,0.0369426757097244,0.0402547776699066,0.0387261152267456
gelu,0.5897224995807,84,0.0002998338024,2,0.0003724138885,Adiac,0.028125,0.0328662425279617,0.0677707016468048,0.1169426769018173,0.1543949067592621,0.175541403889656,0.1831847161054611,0.2089171999692916,0.2203821665048599,0.2415286630392074,0.2529936307668686,0.2761783409118652,0.2894267493486404,0.2957961785793305,0.3159235650300979,0.3355413973331451,0.3337579584121704,0.3592356693744659,0.3638216543197631,0.3707006353139877
gelu,0.139269492333,19,0.0007898021665,3,0.0096102073728,Adiac,0.026875,0.0321019113063812,0.0578343957662582,0.0907006382942199,0.1052229315042495,0.1228025496006011,0.1447133779525757,0.16636942923069,0.1643312126398086,0.1645859891176223,0.1788535052537918,0.1892993652820587,0.1847133779525756,0.2140127390623092,0.2155414021015167,0.2489171975851059,0.2349044603109359,0.2412738871574402,0.2682802551984787,0.2698089164495468
tanh,0.4507764162907,122,0.000180558342,2,1.7997467e-05,Adiac,0.025,0.0392356693744659,0.093757963180542,0.1681528687477111,0.2066242063045501,0.2435668814182281,0.2626751613616943,0.2840764337778091,0.3075159215927123,0.3222929894924163,0.3492993628978729,0.3729936254024505,0.3775796169042588,0.393375791311264,0.4165605103969574,0.415286625623703,0.4221656024456024,0.4471337580680847,0.4535031819343566,0.4675159227848053
tanh,0.4015135203542,33,0.0004842848408,2,0.0001293803392,Adiac,0.0275,0.0366878986358642,0.0644585996866226,0.0950318485498428,0.1149044603109359,0.1388535052537918,0.1429299384355545,0.1745222949981689,0.1844586014747619,0.1982165616750717,0.2175796192884445,0.2196178358793258,0.2313375812768935,0.2290445870161056,0.2698089158535004,0.2891719752550125,0.2766878968477249,0.2968152844905853,0.3098089170455932,0.2881528651714325
gelu,0.471118959826,104,0.0002537691519,2,2.56708519e-05,Adiac,0.029375,0.0382165610790252,0.1021656066179275,0.1707006394863128,0.2129936325550079,0.22598726272583,0.2540127384662628,0.2825477683544159,0.2912101882696151,0.3199999958276748,0.3452229279279709,0.3612738829851151,0.3398726099729537,0.3864968186616897,0.4050955432653427,0.4017834389209748,0.4300636959075927,0.4369426757097244,0.4611464953422546,0.4761783456802368
tanh,0.5654320092304,87,0.0001158055464,3,1.84467359e-05,Adiac,0.035625,0.0295541405677795,0.0351592361927032,0.0481528669595718,0.0649681538343429,0.0677707016468048,0.0769426763057708,0.0828025490045547,0.098343950510025,0.1049681544303894,0.1067515939474105,0.1136305749416351,0.1222929954528808,0.1332484096288681,0.143694269657135,0.145222932100296,0.1508280277252197,0.1531210213899612,0.1587261170148849,0.1625477731227874
tanh,0.228598639845,63,0.0002070251449,4,0.0007022902394,Adiac,0.018125,0.0270063698291778,0.0476433128118515,0.0950318485498428,0.1248407661914825,0.1656050980091095,0.1984713393449783,0.2104458618164062,0.2338853520154953,0.2552866238355636,0.2552866238355636,0.2741401267051697,0.2878980869054794,0.3039490431547165,0.321783436536789,0.3177070021629333,0.3523566901683807,0.358216558098793,0.3490445858240127,0.3724840760231018
relu,0.2116593749515,74,0.0003267675617,2,0.0032315068373,Adiac,0.02375,0.0557961791753768,0.1350318491458892,0.2056050986051559,0.2443312114477157,0.2570700651407241,0.2904458588361739,0.3159235644340515,0.3464968127012253,0.3699363005161285,0.3824203777313232,0.4020382159948349,0.3877706986665726,0.4242038202285766,0.4481528687477112,0.4318471336364745,0.452229300737381,0.4805095541477203,0.4764331221580505,0.502165607213974
relu,0.237058174095,45,0.000921830222,2,0.0002078255787,Adiac,0.03,0.0596178352832794,0.1273885369300842,0.1681528687477111,0.1892993658781051,0.2338853514194488,0.22496815264225,0.251210189461708,0.2542675173282623,0.2924840760231018,0.2636942666769027,0.2682802557945251,0.3434394884109496,0.3658598715066909,0.3770700627565384,0.3791082799434662,0.3775796163082123,0.3638216549158096,0.4068789827823639,0.369426754117012
relu,0.2751696398672,62,0.0007771786562,3,4.05281379e-05,Adiac,0.030625,0.0438216567039489,0.1289171993732452,0.1808917218446731,0.204076434969902,0.2124840778112411,0.2603821647167205,0.2805095553398132,0.330445858836174,0.3566878962516785,0.3082802551984787,0.3663694262504577,0.3579617828130722,0.3892993646860123,0.3521019083261489,0.3836942672729492,0.3543949037790298,0.4048407638072968,0.4400000017881393,0.460127387046814
relu,0.3855350201478,36,0.0001148376201,4,1.92851743e-05,Adiac,0.030625,0.0280254781246185,0.0264968156814575,0.0285350322723388,0.0351592361927032,0.0371974527835845,0.0377070069313049,0.0433121025562286,0.0445859879255294,0.0478980898857116,0.0540127396583557,0.054522293806076,0.059108281135559,0.0585987269878387,0.0690445870161056,0.069554141163826,0.0723566889762878,0.0777070075273513,0.0743949055671691,0.0820382177829742
gelu,0.1643375203836,121,0.0001047384386,2,0.0006227351117,Adiac,0.0275,0.0453503191471099,0.0950318485498428,0.1791082829236984,0.2275159245729446,0.2580891728401184,0.28433120906353,0.3136305719614028,0.3424203813076019,0.3678980863094329,0.3905732488632202,0.3966878974437714,0.416305730342865,0.4394904458522796,0.4486624205112456,0.4619108283519744,0.4787261176109313,0.4991082847118377,0.4973248398303985,0.5062420392036439
tanh,0.5624341486215,95,0.0003002869756,3,3.2756894e-05,Adiac,0.023125,0.0321019113063812,0.0491719752550125,0.0830573260784149,0.1115923583507537,0.1202547788619995,0.1345222949981689,0.1454777091741562,0.1719745242595672,0.1806369453668594,0.1831847155094146,0.2033121043443679,0.1987261176109314,0.2341401296854019,0.2512101906538009,0.2443312114477157,0.2654777073860168,0.2685350298881531,0.2708280271291733,0.2843312078714371
tanh,0.3440526606443,54,6.61821282e-05,3,1.48257375e-05,Adiac,0.0287499999999999,0.0262420386075973,0.0343949049711227,0.0481528669595718,0.06063694357872,0.0647133767604827,0.069554141163826,0.0820382177829742,0.0914649695158004,0.0924840778112411,0.0988535046577453,0.1019108295440673,0.1159235686063766,0.1245859891176223,0.1332484096288681,0.139108282327652,0.142165607213974,0.1536305755376815,0.1574522316455841,0.1617834419012069
gelu,0.3564659077042,84,4.98572845e-05,1,8.34725661e-05,Adiac,0.026875,0.0315923571586608,0.0507006376981735,0.0685350328683853,0.0922293007373809,0.1057324856519699,0.1217834413051605,0.1375796198844909,0.1408917218446731,0.15133758187294,0.1635668814182281,0.1719745248556137,0.1862420409917831,0.1872611486911773,0.1923566907644271,0.2000000029802322,0.2068789827823638,0.2160509580373764,0.2277707010507583,0.2282802563905716
tanh,0.4141413345385,115,0.0004864460896,2,1.55767178e-05,Adiac,0.025625,0.0690445870161056,0.1750318497419357,0.2366878998279571,0.2825477713346481,0.2733757954835892,0.3243312060832977,0.3709554123878479,0.3582165586948395,0.359745220541954,0.3788535034656524,0.4282802546024323,0.4568152832984924,0.4244586002826691,0.4662420386075973,0.4035668808221817,0.4259872591495514,0.5256050956249237,0.5210191106796265,0.4828025448322296
gelu,0.4526099750305,39,2.42616205e-05,1,0.0099989303323,Adiac,0.02375,0.0377070069313049,0.0461146503686904,0.0496815294027328,0.052993631362915,0.0547770708799362,0.0583439499139785,0.0614012748003005,0.0672611474990844,0.0685350328683853,0.0672611474990844,0.0733757972717285,0.0764331221580505,0.0805095553398132,0.0856050968170166,0.0886624217033386,0.0914649695158004,0.0988535046577453,0.1034394919872283,0.10598726272583
gelu,0.2780573070811,48,0.0003252047885,1,0.0009302168281,Adiac,0.025625,0.052993631362915,0.1006369441747665,0.1408917218446731,0.1610191106796264,0.1808917224407196,0.192866244316101,0.2038216590881347,0.2234394907951355,0.2270063722133636,0.2392356699705124,0.2619108289480209,0.2833121007680893,0.2817834401130676,0.2929936283826828,0.2988535010814667,0.2973248380422592,0.3233120983839034,0.3314649665355683,0.3464968138933182
gelu,0.3069765786903,87,1.41157704e-05,1,3.82145799e-05,Adiac,0.026875,0.0280254781246185,0.0310828030109405,0.031847134232521,0.0392356693744659,0.0443312108516693,0.0463694274425506,0.0496815294027328,0.0563057333230972,0.0601273894309997,0.0636942684650421,0.072611466050148,0.0789808928966522,0.0789808928966522,0.0856050968170166,0.0914649695158004,0.095286625623703,0.096815288066864,0.1021656066179275,0.1087898105382919
relu,0.2878640975281,10,0.0005056631383,2,1.21442474e-05,Adiac,0.026875,0.0326114654541015,0.0433121025562286,0.0519745230674743,0.0634394913911819,0.0700636953115463,0.0705732494592666,0.0769426763057708,0.0822929948568344,0.0945222944021225,0.1024203836917877,0.1113375812768936,0.1189808934926986,0.1205095559358596,0.1174522310495376,0.1222929954528808,0.1192356705665588,0.1337579637765884,0.1352866262197494,0.1444586008787155
gelu,0.3275022767039,17,1.26450106e-05,3,3.97007272e-05,Adiac,0.024375,0.0234394907951355,0.0239490449428558,0.0280254781246185,0.0262420386075973,0.0275159239768981,0.0277707010507583,0.0277707010507583,0.0285350322723388,0.0308280259370803,0.0292993634939193,0.0295541405677795,0.0298089176416397,0.0315923571586608,0.0298089176416397,0.0292993634939193,0.0323566883802413,0.0336305737495422,0.0315923571586608,0.0356687903404235
tanh,0.5878285953449,24,9.31625175e-05,3,0.0003456764945,Adiac,0.023125,0.0282802551984787,0.0298089176416397,0.0310828030109405,0.0313375800848007,0.0351592361927032,0.0387261152267456,0.0405095547437667,0.0405095547437667,0.0417834401130676,0.0453503191471099,0.0433121025562286,0.0438216567039489,0.0428025484085083,0.0473885357379913,0.0463694274425506,0.0512101918458938,0.0537579625844955,0.048407644033432,0.0509554147720336
