Model,Dataset,Schedule,Constraint_Key,Constraint_Value,Performance_At_Timeout,Performance_At_Convergence,Budget_Utilization,Early_Stopping
CNN,Adiac,Standard,max_time_hours_24,24,0.8000,0.8000,0.0064,False
CNN,Adiac,Standard,max_time_hours_72,72,0.8000,0.8000,0.0021,False
CNN,ArrowHead,Moderate,max_epochs_1000,1000,0.6000,1.0000,1.0000,True
CNN,ArrowHead,Moderate,max_epochs_2000,2000,0.4000,1.0000,1.0000,True
CNN,ArrowHead,Moderate,max_epochs_5000,5000,1.0000,1.0000,0.7200,False
CNN,ArrowHead,Moderate,max_time_hours_10,10,1.0000,1.0000,0.0050,False
CNN,ArrowHead,Moderate,max_time_hours_24,24,1.0000,1.0000,0.0021,False
CNN,ArrowHead,Moderate,max_time_hours_72,72,1.0000,1.0000,0.0007,False
CNN,ArrowHead,Aggressive,max_epochs_1000,1000,0.0000,1.0000,1.0000,True
CNN,ArrowHead,Aggressive,max_epochs_2000,2000,0.6000,1.0000,1.0000,True
CNN,ArrowHead,Aggressive,max_epochs_5000,5000,1.0000,1.0000,0.6200,False
CNN,ArrowHead,Aggressive,max_time_hours_10,10,1.0000,1.0000,0.0047,False
CNN,ArrowHead,Aggressive,max_time_hours_24,24,1.0000,1.0000,0.0019,False
CNN,ArrowHead,Aggressive,max_time_hours_72,72,1.0000,1.0000,0.0006,False
CNN,ArrowHead,Conservative,max_epochs_1000,1000,0.2000,1.0000,1.0000,True
CNN,ArrowHead,Conservative,max_epochs_2000,2000,1.0000,1.0000,1.0000,True
CNN,ArrowHead,Conservative,max_epochs_5000,5000,1.0000,1.0000,1.0000,True
CNN,ArrowHead,Conservative,max_time_hours_10,10,1.0000,1.0000,0.0181,False
CNN,ArrowHead,Conservative,max_time_hours_24,24,1.0000,1.0000,0.0075,False
CNN,ArrowHead,Conservative,max_time_hours_72,72,1.0000,1.0000,0.0025,False
CNN,ArrowHead,VeryAggressive,max_epochs_1000,1000,0.0000,1.0000,1.0000,True
CNN,ArrowHead,VeryAggressive,max_epochs_2000,2000,0.4000,1.0000,1.0000,True
CNN,ArrowHead,VeryAggressive,max_epochs_5000,5000,1.0000,1.0000,1.0000,True
CNN,ArrowHead,VeryAggressive,max_time_hours_10,10,1.0000,1.0000,0.0092,False
CNN,ArrowHead,VeryAggressive,max_time_hours_24,24,1.0000,1.0000,0.0038,False
CNN,ArrowHead,VeryAggressive,max_time_hours_72,72,1.0000,1.0000,0.0013,False
CNN,ArrowHead,Standard,max_epochs_1000,1000,0.2000,0.6000,1.0000,True
CNN,ArrowHead,Standard,max_epochs_2000,2000,1.0000,0.6000,1.0000,True
CNN,ArrowHead,Standard,max_epochs_5000,5000,0.6000,0.6000,0.6840,False
CNN,ArrowHead,Standard,max_time_hours_10,10,0.6000,0.6000,0.0043,False
CNN,ArrowHead,Standard,max_time_hours_24,24,0.6000,0.6000,0.0018,False
CNN,ArrowHead,Standard,max_time_hours_72,72,0.6000,0.6000,0.0006,False
CNN,Beef,Moderate,max_epochs_1000,1000,1.0000,1.0000,1.0000,True
CNN,Beef,Moderate,max_epochs_2000,2000,0.8000,1.0000,1.0000,True
CNN,Beef,Moderate,max_epochs_5000,5000,1.0000,1.0000,0.7200,False
CNN,Beef,Moderate,max_time_hours_10,10,1.0000,1.0000,0.0014,False
CNN,Beef,Moderate,max_time_hours_24,24,1.0000,1.0000,0.0006,False
CNN,Beef,Moderate,max_time_hours_72,72,1.0000,1.0000,0.0002,False
CNN,Beef,Aggressive,max_epochs_1000,1000,1.0000,1.0000,1.0000,True
CNN,Beef,Aggressive,max_epochs_2000,2000,1.0000,1.0000,1.0000,True
CNN,Beef,Aggressive,max_epochs_5000,5000,1.0000,1.0000,0.6200,False
CNN,Beef,Aggressive,max_time_hours_10,10,1.0000,1.0000,0.0012,False
CNN,Beef,Aggressive,max_time_hours_24,24,1.0000,1.0000,0.0005,False
CNN,Beef,Aggressive,max_time_hours_72,72,1.0000,1.0000,0.0002,False
CNN,Beef,Conservative,max_epochs_1000,1000,1.0000,1.0000,1.0000,True
CNN,Beef,Conservative,max_epochs_2000,2000,1.0000,1.0000,1.0000,True
CNN,Beef,Conservative,max_epochs_5000,5000,1.0000,1.0000,1.0000,True
CNN,Beef,Conservative,max_time_hours_10,10,1.0000,1.0000,0.0048,False
CNN,Beef,Conservative,max_time_hours_24,24,1.0000,1.0000,0.0020,False
CNN,Beef,Conservative,max_time_hours_72,72,1.0000,1.0000,0.0007,False
CNN,Beef,VeryAggressive,max_epochs_1000,1000,0.4000,0.8000,1.0000,True
CNN,Beef,VeryAggressive,max_epochs_2000,2000,0.6000,0.8000,1.0000,True
CNN,Beef,VeryAggressive,max_epochs_5000,5000,0.8000,0.8000,1.0000,True
CNN,Beef,VeryAggressive,max_time_hours_10,10,0.8000,0.8000,0.0024,False
CNN,Beef,VeryAggressive,max_time_hours_24,24,0.8000,0.8000,0.0010,False
CNN,Beef,VeryAggressive,max_time_hours_72,72,0.8000,0.8000,0.0003,False
CNN,Beef,Standard,max_epochs_1000,1000,1.0000,1.0000,1.0000,True
CNN,Beef,Standard,max_epochs_2000,2000,1.0000,1.0000,1.0000,True
CNN,Beef,Standard,max_epochs_5000,5000,1.0000,1.0000,0.6840,False
CNN,Beef,Standard,max_time_hours_10,10,1.0000,1.0000,0.0012,False
CNN,Beef,Standard,max_time_hours_24,24,1.0000,1.0000,0.0005,False
CNN,Beef,Standard,max_time_hours_72,72,1.0000,1.0000,0.0002,False
CNN,BeetleFly,Moderate,max_epochs_1000,1000,0.6000,0.2000,1.0000,True
CNN,BeetleFly,Moderate,max_epochs_2000,2000,0.0000,0.2000,1.0000,True
CNN,BeetleFly,Moderate,max_epochs_5000,5000,0.2000,0.2000,0.7200,False
CNN,BeetleFly,Moderate,max_time_hours_10,10,0.2000,0.2000,0.0015,False
CNN,BeetleFly,Moderate,max_time_hours_24,24,0.2000,0.2000,0.0006,False
