Model,Dataset,Schedule,Total_Epochs,Total_Time_Hours,Total_Time_Days,Computational_Savings_%,Rounds_Completed
CNN,FaultDetectionB,VeryAggressive,5600,0.09,0.00,44.00,3
CNN,FaultDetectionB,Standard,3420,0.04,0.00,65.80,7
CNN,FiftyWords,Moderate,3600,0.22,0.01,64.00,4
CNN,FiftyWords,Aggressive,3100,0.20,0.01,69.00,3
CNN,FiftyWords,Conservative,12500,0.78,0.03,-25.00,5
CNN,FiftyWords,VeryAggressive,5600,0.40,0.02,44.00,3
CNN,FiftyWords,Standard,3420,0.18,0.01,65.80,7
CNN,HouseTwenty,Moderate,3600,0.03,0.00,64.00,4
CNN,HouseTwenty,Aggressive,3100,0.03,0.00,69.00,3
CNN,HouseTwenty,Conservative,12500,0.12,0.01,-25.00,5
CNN,HouseTwenty,VeryAggressive,5600,0.06,0.00,44.00,3
CNN,HouseTwenty,Standard,3420,0.03,0.00,65.80,7
CNN,KeplerLightCurves,Moderate,3600,0.28,0.01,64.00,4
CNN,KeplerLightCurves,Aggressive,3100,0.26,0.01,69.00,3
CNN,KeplerLightCurves,Conservative,12500,1.00,0.04,-25.00,5
CNN,KeplerLightCurves,VeryAggressive,5600,0.50,0.02,44.00,3
CNN,KeplerLightCurves,Standard,3420,0.24,0.01,65.80,7
CNN,RightWhaleCalls,Moderate,3600,1.63,0.07,64.00,4
CNN,RightWhaleCalls,Aggressive,3100,1.47,0.06,69.00,3
CNN,RightWhaleCalls,Conservative,12500,5.78,0.24,-25.00,5
CNN,RightWhaleCalls,VeryAggressive,5600,2.80,0.12,44.00,3
CNN,RightWhaleCalls,Standard,3420,1.46,0.06,65.80,7
CNN,classification_ozone,Moderate,3600,0.03,0.00,64.00,4
CNN,classification_ozone,Aggressive,3100,0.03,0.00,69.00,3
CNN,classification_ozone,Conservative,12500,0.12,0.00,-25.00,5
CNN,classification_ozone,VeryAggressive,5600,0.06,0.00,44.00,3
CNN,classification_ozone,Standard,3420,0.03,0.00,65.80,7
FCNN,AbnormalHeartbeat,Moderate,3600,0.18,0.01,64.00,4
FCNN,AbnormalHeartbeat,Aggressive,3100,0.16,0.01,69.00,3
FCNN,AbnormalHeartbeat,Conservative,12500,0.63,0.03,-25.00,5
FCNN,AbnormalHeartbeat,VeryAggressive,5600,0.28,0.01,44.00,3
FCNN,AbnormalHeartbeat,Standard,3420,0.17,0.01,65.80,7
