Model,Dataset,Schedule,Total_Epochs,Total_Time_Hours,Total_Time_Days,Computational_Savings_%,Rounds_Completed
LSTM,EigenWorms,Aggressive,3100,1.17,0.05,69.00,3
LSTM,EigenWorms,Conservative,12500,4.66,0.19,-25.00,5
LSTM,EigenWorms,VeryAggressive,5600,2.15,0.09,44.00,3
LSTM,EigenWorms,Standard,3420,1.25,0.05,65.80,7
LSTM,FaultDetectionB,Moderate,3600,0.57,0.02,64.00,4
LSTM,FaultDetectionB,Aggressive,3100,0.50,0.02,69.00,3
LSTM,FaultDetectionB,Conservative,12500,1.97,0.08,-25.00,5
LSTM,FaultDetectionB,VeryAggressive,5600,0.92,0.04,44.00,3
LSTM,FaultDetectionB,Standard,3420,0.53,0.02,65.80,7
LSTM,FiftyWords,Moderate,3600,0.56,0.02,64.00,4
LSTM,FiftyWords,Aggressive,3100,0.48,0.02,69.00,3
LSTM,FiftyWords,Conservative,12500,1.94,0.08,-25.00,5
LSTM,FiftyWords,VeryAggressive,5600,0.86,0.04,44.00,3
LSTM,FiftyWords,Standard,3420,0.53,0.02,65.80,7
LSTM,HouseTwenty,Moderate,3600,0.41,0.02,64.00,4
LSTM,HouseTwenty,Aggressive,3100,0.35,0.01,69.00,3
LSTM,HouseTwenty,Conservative,12500,1.44,0.06,-25.00,5
LSTM,HouseTwenty,VeryAggressive,5600,0.64,0.03,44.00,3
LSTM,HouseTwenty,Standard,3420,0.37,0.02,65.80,7
LSTM,KeplerLightCurves,Moderate,3600,6.65,0.28,64.00,4
