Model,Dataset,Regressor,R2,R2_std,RMSE,RMSE_std,MAE,MAE_std
CNN,HouseTwenty,LinearRegression,0.396,0.2031,0.0696,0.0102,0.0536,0.0078
CNN,CatsDogs,LinearRegression,0.1177,0.4533,0.0225,0.007,0.0172,0.0029
CNN,Car,LinearRegression,0.3883,0.1916,0.0794,0.0124,0.0639,0.0086
CNN,BeetleFly,LinearRegression,0.5665,0.1274,0.0652,0.0081,0.0528,0.0078
CNN,CBF,LinearRegression,-0.5201,2.2526,0.0492,0.0138,0.0375,0.0048
CNN,Adiac,LinearRegression,0.5523,0.0993,0.1096,0.0118,0.0896,0.0098
CNN,Beef,LinearRegression,0.5643,0.1411,0.0562,0.0056,0.0467,0.0046
CNN,CounterMovementJump,LinearRegression,-0.8692,2.1758,0.0807,0.0145,0.0629,0.0104
CNN,classification_ozone,LinearRegression,0.2533,0.2542,0.0255,0.0029,0.0203,0.0025
CNN,RightWhaleCalls,LinearRegression,0.2836,0.2025,0.0065,0.001,0.0052,0.0008
CNN,KeplerLightCurves,LinearRegression,0.4554,0.1833,0.093,0.0133,0.0759,0.012
CNN,FaultDetectionB,LinearRegression,-0.2601,1.0092,0.0671,0.0137,0.0473,0.007
CNN,EigenWorms,LinearRegression,0.3028,0.3239,0.1116,0.0166,0.089,0.0149
CNN,AbnormalHeartbeat,LinearRegression,0.4655,0.2293,0.0436,0.008,0.0345,0.0052
CNN,FiftyWords,LinearRegression,0.0508,0.454,0.0992,0.0201,0.0752,0.0097
CNN,ArrowHead,LinearRegression,0.331,0.2703,0.0597,0.0098,0.0482,0.0067
CNN,ChlorineConcentration,LinearRegression,-0.4934,1.359,0.0187,0.0082,0.0119,0.003
CNN,DucksAndGeese,LinearRegression,0.5673,0.1629,0.1059,0.0153,0.0818,0.012
CNN,BinaryHeartbeat,LinearRegression,0.4985,0.2032,0.0427,0.0054,0.0348,0.0044
CNN,BirdChicken,LinearRegression,0.5779,0.1475,0.0529,0.0069,0.0433,0.0068
CNN,CinCECGTorso,LinearRegression,0.0684,0.546,0.1223,0.0249,0.0907,0.0164
