Model,Dataset,Regressor,R2 ± std,RMSE ± std,MAE ± std
CNN,KeplerLightCurves,LinearRegression,0.46 ± 0.18,0.093 ± 0.013,0.076 ± 0.012
CNN,KeplerLightCurves,RandomForest,0.50 ± 0.14,0.089 ± 0.013,0.073 ± 0.011
CNN,KeplerLightCurves,XGBoost,0.37 ± 0.26,0.099 ± 0.016,0.080 ± 0.014
CNN,RightWhaleCalls,LinearRegression,0.28 ± 0.20,0.006 ± 0.001,0.005 ± 0.001
CNN,RightWhaleCalls,RandomForest,0.23 ± 0.20,0.007 ± 0.001,0.005 ± 0.001
CNN,RightWhaleCalls,XGBoost,0.15 ± 0.37,0.007 ± 0.002,0.006 ± 0.001
CNN,classification_ozone,LinearRegression,0.25 ± 0.25,0.025 ± 0.003,0.020 ± 0.003
CNN,classification_ozone,RandomForest,0.31 ± 0.17,0.025 ± 0.003,0.020 ± 0.003
CNN,classification_ozone,XGBoost,0.22 ± 0.19,0.026 ± 0.003,0.021 ± 0.002
FCNN,AbnormalHeartbeat,LinearRegression,0.30 ± 0.16,0.059 ± 0.009,0.049 ± 0.008
FCNN,AbnormalHeartbeat,RandomForest,0.62 ± 0.17,0.043 ± 0.010,0.030 ± 0.008
FCNN,AbnormalHeartbeat,XGBoost,0.53 ± 0.19,0.048 ± 0.011,0.035 ± 0.008
FCNN,Adiac,LinearRegression,0.32 ± 0.28,0.125 ± 0.020,0.097 ± 0.017
FCNN,Adiac,RandomForest,0.58 ± 0.15,0.099 ± 0.015,0.078 ± 0.012
FCNN,Adiac,XGBoost,0.55 ± 0.19,0.102 ± 0.017,0.079 ± 0.015
FCNN,ArrowHead,LinearRegression,0.40 ± 0.21,0.111 ± 0.011,0.094 ± 0.010
FCNN,ArrowHead,RandomForest,0.64 ± 0.17,0.086 ± 0.015,0.068 ± 0.010
FCNN,ArrowHead,XGBoost,0.58 ± 0.19,0.092 ± 0.015,0.070 ± 0.010
FCNN,Beef,LinearRegression,0.58 ± 0.16,0.077 ± 0.013,0.061 ± 0.012
FCNN,Beef,RandomForest,0.71 ± 0.11,0.064 ± 0.009,0.051 ± 0.008
FCNN,Beef,XGBoost,0.67 ± 0.11,0.069 ± 0.011,0.054 ± 0.009
FCNN,BeetleFly,LinearRegression,0.58 ± 0.15,0.062 ± 0.009,0.051 ± 0.008
FCNN,BeetleFly,RandomForest,0.74 ± 0.11,0.049 ± 0.009,0.037 ± 0.006
FCNN,BeetleFly,XGBoost,0.71 ± 0.12,0.051 ± 0.009,0.039 ± 0.006
FCNN,BinaryHeartbeat,LinearRegression,0.31 ± 0.15,0.059 ± 0.008,0.050 ± 0.008
FCNN,BinaryHeartbeat,RandomForest,0.62 ± 0.17,0.043 ± 0.011,0.032 ± 0.009
FCNN,BinaryHeartbeat,XGBoost,0.46 ± 0.20,0.052 ± 0.010,0.036 ± 0.009
FCNN,BirdChicken,LinearRegression,0.63 ± 0.10,0.058 ± 0.008,0.046 ± 0.007
FCNN,BirdChicken,RandomForest,0.72 ± 0.09,0.049 ± 0.007,0.040 ± 0.006
FCNN,BirdChicken,XGBoost,0.68 ± 0.11,0.052 ± 0.006,0.042 ± 0.006
FCNN,CBF,LinearRegression,0.29 ± 0.24,0.140 ± 0.018,0.118 ± 0.015
FCNN,CBF,RandomForest,0.59 ± 0.19,0.104 ± 0.021,0.074 ± 0.016
FCNN,CBF,XGBoost,0.52 ± 0.22,0.114 ± 0.024,0.078 ± 0.018
FCNN,Car,LinearRegression,0.49 ± 0.18,0.113 ± 0.014,0.096 ± 0.012
FCNN,Car,RandomForest,0.66 ± 0.11,0.093 ± 0.013,0.079 ± 0.012
FCNN,Car,XGBoost,0.60 ± 0.14,0.101 ± 0.015,0.081 ± 0.014
FCNN,CatsDogs,LinearRegression,0.46 ± 0.18,0.050 ± 0.005,0.042 ± 0.005
