Model,Dataset,Regressor,R2 ± std,RMSE ± std,MAE ± std
Transformer,Beef,XGBoost,0.53 ± 0.24,0.039 ± 0.008,0.030 ± 0.006
Transformer,BeetleFly,LinearRegression,0.03 ± 0.47,0.036 ± 0.006,0.028 ± 0.004
Transformer,BeetleFly,RandomForest,0.21 ± 0.51,0.032 ± 0.006,0.025 ± 0.004
Transformer,BeetleFly,XGBoost,-0.07 ± 0.87,0.036 ± 0.008,0.028 ± 0.005
Transformer,BinaryHeartbeat,LinearRegression,0.04 ± 0.46,0.009 ± 0.002,0.007 ± 0.001
Transformer,BinaryHeartbeat,RandomForest,0.09 ± 0.40,0.009 ± 0.001,0.006 ± 0.001
Transformer,BinaryHeartbeat,XGBoost,-0.12 ± 0.58,0.009 ± 0.002,0.007 ± 0.001
Transformer,BirdChicken,LinearRegression,0.34 ± 0.15,0.068 ± 0.006,0.055 ± 0.006
Transformer,BirdChicken,RandomForest,0.64 ± 0.12,0.050 ± 0.007,0.039 ± 0.004
Transformer,BirdChicken,XGBoost,0.57 ± 0.16,0.054 ± 0.009,0.041 ± 0.006
Transformer,CBF,LinearRegression,0.16 ± 0.31,0.048 ± 0.011,0.038 ± 0.006
Transformer,CBF,RandomForest,0.57 ± 0.15,0.035 ± 0.008,0.024 ± 0.005
Transformer,CBF,XGBoost,0.52 ± 0.20,0.037 ± 0.009,0.024 ± 0.005
Transformer,Car,LinearRegression,0.01 ± 0.14,0.063 ± 0.005,0.054 ± 0.004
Transformer,Car,RandomForest,0.40 ± 0.16,0.049 ± 0.007,0.039 ± 0.005
Transformer,Car,XGBoost,0.32 ± 0.21,0.052 ± 0.007,0.042 ± 0.006
Transformer,CatsDogs,LinearRegression,0.48 ± 0.12,0.029 ± 0.004,0.024 ± 0.004
Transformer,CatsDogs,RandomForest,0.75 ± 0.08,0.020 ± 0.003,0.016 ± 0.003
Transformer,CatsDogs,XGBoost,0.67 ± 0.10,0.023 ± 0.003,0.019 ± 0.003
Transformer,ChlorineConcentration,LinearRegression,0.13 ± 0.30,0.010 ± 0.003,0.008 ± 0.001
Transformer,ChlorineConcentration,RandomForest,0.26 ± 0.20,0.009 ± 0.002,0.007 ± 0.001
Transformer,ChlorineConcentration,XGBoost,0.24 ± 0.25,0.010 ± 0.003,0.007 ± 0.001
Transformer,CinCECGTorso,LinearRegression,0.36 ± 0.16,0.129 ± 0.011,0.108 ± 0.012
Transformer,CinCECGTorso,RandomForest,0.70 ± 0.10,0.087 ± 0.013,0.071 ± 0.011
Transformer,CinCECGTorso,XGBoost,0.63 ± 0.17,0.095 ± 0.016,0.077 ± 0.014
Transformer,CounterMovementJump,LinearRegression,0.52 ± 0.13,0.063 ± 0.008,0.050 ± 0.007
Transformer,CounterMovementJump,RandomForest,0.77 ± 0.09,0.043 ± 0.006,0.034 ± 0.004
Transformer,CounterMovementJump,XGBoost,0.73 ± 0.10,0.047 ± 0.007,0.037 ± 0.005
Transformer,DucksAndGeese,LinearRegression,0.14 ± 0.24,0.048 ± 0.009,0.033 ± 0.006
Transformer,DucksAndGeese,RandomForest,0.20 ± 0.50,0.044 ± 0.009,0.029 ± 0.006
Transformer,DucksAndGeese,XGBoost,0.31 ± 0.45,0.040 ± 0.011,0.028 ± 0.006
Transformer,EigenWorms,LinearRegression,0.29 ± 0.12,0.137 ± 0.013,0.118 ± 0.013
Transformer,EigenWorms,RandomForest,0.65 ± 0.11,0.095 ± 0.012,0.075 ± 0.010
Transformer,EigenWorms,XGBoost,0.58 ± 0.13,0.103 ± 0.014,0.079 ± 0.011
Transformer,FaultDetectionB,LinearRegression,0.20 ± 0.50,0.057 ± 0.010,0.042 ± 0.007
Transformer,FaultDetectionB,RandomForest,0.52 ± 0.20,0.047 ± 0.014,0.033 ± 0.009
Transformer,FaultDetectionB,XGBoost,0.34 ± 0.34,0.054 ± 0.015,0.037 ± 0.009
Transformer,FiftyWords,LinearRegression,0.64 ± 0.09,0.085 ± 0.008,0.072 ± 0.007
Transformer,FiftyWords,RandomForest,0.77 ± 0.08,0.068 ± 0.006,0.057 ± 0.007
Transformer,FiftyWords,XGBoost,0.75 ± 0.11,0.070 ± 0.009,0.058 ± 0.009
Transformer,HouseTwenty,LinearRegression,0.52 ± 0.14,0.014 ± 0.002,0.011 ± 0.002
Transformer,HouseTwenty,RandomForest,0.57 ± 0.11,0.013 ± 0.002,0.010 ± 0.001
Transformer,HouseTwenty,XGBoost,0.44 ± 0.21,0.015 ± 0.002,0.012 ± 0.002
Transformer,KeplerLightCurves,LinearRegression,0.45 ± 0.19,0.028 ± 0.004,0.023 ± 0.003
Transformer,KeplerLightCurves,RandomForest,0.64 ± 0.12,0.023 ± 0.004,0.018 ± 0.003
Transformer,KeplerLightCurves,XGBoost,0.59 ± 0.15,0.025 ± 0.004,0.019 ± 0.004
Transformer,RightWhaleCalls,LinearRegression,-0.19 ± 0.28,0.017 ± 0.003,0.014 ± 0.002
Transformer,RightWhaleCalls,RandomForest,0.47 ± 0.25,0.011 ± 0.002,0.009 ± 0.002
Transformer,RightWhaleCalls,XGBoost,0.28 ± 0.27,0.013 ± 0.003,0.010 ± 0.002
Transformer,classification_ozone,LinearRegression,0.03 ± 0.32,0.011 ± 0.002,0.008 ± 0.001
Transformer,classification_ozone,RandomForest,0.13 ± 0.27,0.010 ± 0.001,0.008 ± 0.001
Transformer,classification_ozone,XGBoost,-0.10 ± 0.41,0.011 ± 0.002,0.009 ± 0.001
