bidirectional,dropout_rate,hidden_units,learning_rate,num_layers,output_activation,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
True,0.236473043168,33,0.0005981827008,1,linear,FaultDetectionB,0.3430303120613097,0.3866666722297668,0.4230303132534027,0.4654545557498932,0.4569697070121765,0.4751515245437622,0.4557575833797455,0.4896969771385193,0.5018181848526002,0.5248484897613526,0.5224242520332337,0.5454545521736145,0.5454545497894288,0.5381818234920501,0.5454545533657074,0.5551515233516693,0.5551515221595764,0.5527272784709931,0.5757575845718385,0.5842424368858337
True,0.0812603424333,57,0.0003577042202,3,sigmoid,FaultDetectionB,0.3600000095367431,0.4715151572227478,0.5393939471244812,0.5806060659885406,0.6000000035762787,0.5927272772789002,0.6012121272087098,0.6157575833797455,0.6133333420753478,0.6339393997192383,0.6375757670402527,0.6327272820472717,0.6424242544174195,0.6400000143051147,0.635151526927948,0.6315151643753051,0.6303030395507813,0.6303030443191527,0.6363636541366577,0.6327272891998291
True,0.4229350069175,101,8.38074631e-05,2,relu,FaultDetectionB,0.298181824684143,0.5115151607990265,0.5624242556095124,0.578181824684143,0.5781818246841431,0.5915151524543762,0.5866666746139526,0.5903030371665954,0.5854545545578003,0.5866666758060456,0.5830303144454956,0.5842424321174622,0.5866666722297669,0.5927272820472717,0.5951515221595765,0.5939393997192383,0.5927272772789001,0.5987878823280335,0.6060606122016907,0.6048484945297241
True,0.1435248823406,55,3.61900509e-05,3,gelu,FaultDetectionB,0.3127272796630859,0.4690909171104431,0.5260606181621552,0.5636363685131073,0.5757575809955597,0.5818181896209718,0.5939394009113312,0.6000000095367432,0.6084848546981811,0.6133333456516266,0.6193939554691316,0.6193939471244813,0.6181818294525147,0.624242434501648,0.6327272868156433,0.6327272844314574,0.6290909266471862,0.635151526927948,0.635151526927948,0.6327272820472718
True,0.2195517300243,109,0.0001053264129,1,relu,FaultDetectionB,0.3515151619911194,0.4266666793823243,0.4557575857639312,0.4921212220191956,0.4993939495086669,0.5042424368858338,0.5139394032955169,0.5103030383586884,0.5054545533657074,0.5139394032955169,0.527272732257843,0.547878793478012,0.546666671037674,0.5503030359745026,0.5478787934780122,0.5612121272087098,0.569696980714798,0.5672727358341217,0.5733333432674408,0.5757575821876526
False,0.0115676310388,66,0.0003375605375,3,sigmoid,FaultDetectionB,0.3466666758060455,0.4775757658481597,0.5830303120613098,0.6060606145858765,0.625454556941986,0.6230303120613099,0.6278788018226623,0.6278787994384765,0.6218181920051575,0.6206060671806336,0.6315151619911193,0.6315151596069335,0.6242424368858337,0.6206060719490051,0.6266666746139526,0.6278787994384766,0.6230303096771241,0.6230303120613099,0.6266666769981384,0.6290909218788148
False,0.2754890893473,36,0.0009511445804,1,sigmoid,FaultDetectionB,0.3284848570823669,0.3587878882884979,0.4121212184429169,0.4181818282604218,0.4315151619911194,0.4460606133937835,0.454545464515686,0.4703030383586884,0.4812121284008026,0.5030303084850312,0.5175757670402528,0.5236363697052002,0.5418181920051575,0.5490909206867218,0.5575757682323454,0.5624242532253265,0.5624242544174194,0.5721212232112884,0.5781818318367005,0.5890909218788147
False,0.3720208567669,65,7.08322238e-05,3,gelu,FaultDetectionB,0.3284848582744598,0.5200000071525573,0.5903030383586884,0.6036363708972932,0.6181818270683288,0.6327272820472717,0.6351515221595764,0.6290909147262573,0.6327272748947144,0.6266666722297669,0.6290909171104431,0.6303030419349671,0.6327272820472718,0.627878794670105,0.6290909171104431,0.6315151596069335,0.6375757694244385,0.6375757718086242,0.6351515269279481,0.6375757670402527
False,0.2768772823227,35,1.45105635e-05,3,relu,FaultDetectionB,0.3478787982463837,0.3818181896209716,0.4084848546981812,0.4351515209674835,0.4836363732814789,0.5127272808551788,0.5296969759464264,0.5418181872367859,0.5551515221595764,0.5563636422157288,0.5600000035762788,0.567272733449936,0.5733333420753479,0.5830303120613097,0.5854545545578003,0.5842424321174622,0.587878794670105,0.5939394021034241,0.5975757694244385,0.5987878894805908
True,0.409599375992,105,0.0002736573589,2,tanh,FaultDetectionB,0.3224242496490478,0.5321212232112884,0.5175757646560669,0.5684848535060881,0.5806060731410981,0.5769696998596191,0.5903030359745025,0.5890909206867218,0.5915151584148407,0.5963636386394502,0.5866666758060456,0.5915151607990266,0.6096969723701477,0.5927272820472718,0.610909104347229,0.6181818306446075,0.6157575869560241,0.6096969771385193,0.6096969795227051,0.6121212208271027
