activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
tanh,0.228598639845,63,0.0002070251449,4,0.0007022902394,BeetleFly,0.515,0.505,0.525,0.515,0.47,0.485,0.5050000000000001,0.51,0.505,0.525,0.53,0.53,0.53,0.515,0.52,0.545,0.535,0.54,0.545,0.5650000000000001
relu,0.2116593749515,74,0.0003267675617,2,0.0032315068373,BeetleFly,0.525,0.5549999999999999,0.5850000000000001,0.615,0.645,0.68,0.6900000000000001,0.7150000000000001,0.72,0.7150000000000001,0.72,0.7350000000000001,0.74,0.7550000000000001,0.74,0.7550000000000001,0.765,0.77,0.77,0.765
relu,0.237058174095,45,0.000921830222,2,0.0002078255787,BeetleFly,0.5,0.5650000000000001,0.575,0.6050000000000001,0.64,0.6799999999999999,0.7100000000000001,0.7350000000000001,0.75,0.76,0.7699999999999999,0.785,0.7899999999999999,0.79,0.795,0.795,0.79,0.8,0.8,0.7949999999999999
relu,0.2751696398672,62,0.0007771786562,3,4.05281379e-05,BeetleFly,0.5050000000000001,0.5,0.535,0.54,0.5549999999999999,0.5950000000000001,0.6050000000000001,0.64,0.645,0.645,0.6599999999999999,0.6799999999999999,0.6950000000000001,0.69,0.71,0.725,0.73,0.73,0.7249999999999999,0.74
relu,0.3855350201478,36,0.0001148376201,4,1.92851743e-05,BeetleFly,0.495,0.4599999999999999,0.5,0.5,0.51,0.505,0.51,0.5,0.495,0.51,0.515,0.5200000000000001,0.5349999999999999,0.53,0.525,0.53,0.5200000000000001,0.515,0.51,0.515
gelu,0.1643375203836,121,0.0001047384386,2,0.0006227351117,BeetleFly,0.51,0.52,0.52,0.55,0.55,0.5700000000000001,0.57,0.575,0.585,0.615,0.6300000000000001,0.6599999999999999,0.655,0.67,0.6849999999999999,0.6849999999999999,0.7,0.7,0.7050000000000001,0.7150000000000001
tanh,0.5624341486215,95,0.0003002869756,3,3.2756894e-05,BeetleFly,0.475,0.475,0.465,0.485,0.495,0.49,0.5,0.51,0.54,0.5349999999999999,0.57,0.55,0.565,0.585,0.585,0.5900000000000001,0.615,0.61,0.61,0.6199999999999999
tanh,0.3440526606443,54,6.61821282e-05,3,1.48257375e-05,BeetleFly,0.4899999999999999,0.495,0.48,0.51,0.515,0.5349999999999999,0.5349999999999999,0.525,0.52,0.53,0.525,0.53,0.525,0.53,0.525,0.525,0.5200000000000001,0.5349999999999999,0.54,0.535
gelu,0.3564659077042,84,4.98572845e-05,1,8.34725661e-05,BeetleFly,0.4599999999999999,0.4599999999999999,0.4599999999999999,0.475,0.47,0.485,0.4899999999999999,0.49,0.4899999999999999,0.485,0.495,0.49,0.495,0.51,0.525,0.55,0.5549999999999999,0.5549999999999999,0.5650000000000001,0.585
tanh,0.4141413345385,115,0.0004864460896,2,1.55767178e-05,BeetleFly,0.525,0.5650000000000001,0.595,0.65,0.6849999999999999,0.7299999999999999,0.75,0.75,0.74,0.7200000000000001,0.735,0.735,0.735,0.74,0.75,0.745,0.75,0.765,0.76,0.7699999999999999
gelu,0.4526099750305,39,2.42616205e-05,1,0.0099989303323,BeetleFly,0.5049999999999999,0.505,0.5050000000000001,0.495,0.495,0.485,0.49,0.515,0.51,0.51,0.5200000000000001,0.52,0.52,0.5149999999999999,0.5149999999999999,0.5149999999999999,0.51,0.51,0.52,0.515
gelu,0.2780573070811,48,0.0003252047885,1,0.0009302168281,BeetleFly,0.47,0.505,0.525,0.5449999999999999,0.595,0.645,0.65,0.6849999999999999,0.7,0.6900000000000001,0.6799999999999999,0.6799999999999999,0.6900000000000001,0.7150000000000001,0.725,0.73,0.74,0.75,0.75,0.75
gelu,0.3069765786903,87,1.41157704e-05,1,3.82145799e-05,BeetleFly,0.53,0.53,0.525,0.5199999999999999,0.5199999999999999,0.5349999999999999,0.525,0.525,0.53,0.51,0.5349999999999999,0.5299999999999999,0.525,0.5299999999999999,0.5349999999999999,0.54,0.545,0.545,0.5549999999999999,0.5650000000000001
relu,0.2878640975281,10,0.0005056631383,2,1.21442474e-05,BeetleFly,0.495,0.485,0.48,0.4749999999999999,0.51,0.5250000000000001,0.535,0.5449999999999999,0.555,0.5599999999999999,0.5900000000000001,0.6,0.59,0.61,0.615,0.61,0.605,0.6300000000000001,0.62,0.625
gelu,0.3275022767039,17,1.26450106e-05,3,3.97007272e-05,BeetleFly,0.5149999999999999,0.5149999999999999,0.5,0.5,0.495,0.495,0.5,0.495,0.49,0.49,0.475,0.475,0.47,0.4599999999999999,0.475,0.475,0.475,0.48,0.475,0.48
tanh,0.5878285953449,24,9.31625175e-05,3,0.0003456764945,BeetleFly,0.475,0.4800000000000001,0.49,0.48,0.475,0.465,0.485,0.4899999999999999,0.475,0.48,0.48,0.49,0.485,0.475,0.485,0.49,0.495,0.5,0.515,0.5199999999999999
tanh,0.1785005305243,33,7.10048516e-05,1,0.000229559909,BeetleFly,0.5050000000000001,0.515,0.535,0.535,0.54,0.5349999999999999,0.55,0.5499999999999999,0.5549999999999999,0.5599999999999999,0.5700000000000001,0.5599999999999999,0.5700000000000001,0.575,0.575,0.58,0.58,0.59,0.59,0.6
gelu,0.59338668424,71,0.0007431084002,1,2.57853995e-05,BeetleFly,0.545,0.585,0.6500000000000001,0.685,0.715,0.75,0.76,0.7649999999999999,0.7749999999999999,0.755,0.77,0.7699999999999999,0.775,0.7849999999999999,0.7849999999999999,0.7849999999999999,0.79,0.79,0.7949999999999999,0.8
relu,0.5637841742458,123,0.000411966636,1,6.64670885e-05,BeetleFly,0.5599999999999999,0.6,0.64,0.6849999999999999,0.705,0.745,0.76,0.775,0.775,0.79,0.79,0.7949999999999999,0.8049999999999999,0.8049999999999999,0.8099999999999999,0.8,0.79,0.7849999999999999,0.7799999999999999,0.7799999999999999
gelu,0.4894151529872,10,1.92520411e-05,1,0.0012648926721,BeetleFly,0.485,0.48,0.495,0.51,0.51,0.515,0.525,0.525,0.5349999999999999,0.54,0.545,0.55,0.55,0.55,0.5549999999999999,0.56,0.5599999999999999,0.5549999999999999,0.5650000000000001,0.5650000000000001
gelu,0.3750953901074,25,0.0003505335505,4,0.0076071881758,BeetleFly,0.5,0.505,0.5,0.51,0.51,0.525,0.515,0.51,0.51,0.51,0.505,0.52,0.53,0.525,0.5349999999999999,0.5349999999999999,0.5449999999999999,0.5349999999999999,0.55,0.5650000000000001
gelu,0.5020038223739,70,0.0004837533296,4,0.000372702002,BeetleFly,0.495,0.4899999999999999,0.49,0.495,0.5149999999999999,0.53,0.5399999999999999,0.535,0.545,0.515,0.515,0.515,0.5349999999999999,0.5349999999999999,0.5349999999999999,0.5449999999999999,0.55,0.5599999999999999,0.575,0.5650000000000001
tanh,0.4343112475221,47,1.57382527e-05,4,0.0098409009701,BeetleFly,0.5,0.485,0.495,0.5,0.5,0.49,0.5,0.485,0.485,0.485,0.475,0.475,0.485,0.485,0.495,0.4949999999999999,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4950000000000001
relu,0.3207370910633,92,2.448909e-05,2,2.46549457e-05,BeetleFly,0.5200000000000001,0.5050000000000001,0.495,0.5,0.495,0.48,0.5,0.505,0.5050000000000001,0.495,0.5050000000000001,0.5050000000000001,0.5,0.5050000000000001,0.51,0.505,0.51,0.505,0.505,0.5149999999999999
tanh,0.4549358731843,32,5.29102393e-05,2,1.77243426e-05,BeetleFly,0.4899999999999999,0.485,0.505,0.495,0.495,0.485,0.49,0.49,0.515,0.5199999999999999,0.515,0.515,0.5199999999999999,0.53,0.53,0.5349999999999999,0.525,0.53,0.535,0.54
relu,0.5540916404406,81,2.35267378e-05,4,5.14126446e-05,BeetleFly,0.5,0.51,0.52,0.5,0.4949999999999999,0.4949999999999999,0.51,0.52,0.52,0.54,0.53,0.52,0.53,0.5249999999999999,0.5299999999999999,0.525,0.5450000000000002,0.5450000000000002,0.54,0.55
tanh,0.591733849159,126,1.95685316e-05,2,0.0007410506811,BeetleFly,0.53,0.5,0.515,0.515,0.5199999999999999,0.51,0.51,0.5,0.5050000000000001,0.51,0.49,0.5049999999999999,0.5199999999999999,0.5199999999999999,0.5149999999999999,0.49,0.4949999999999999,0.495,0.495,0.495
gelu,0.2559366523452,10,2.03540342e-05,2,0.0002474843558,BeetleFly,0.505,0.5050000000000001,0.515,0.5349999999999999,0.525,0.53,0.5349999999999999,0.53,0.5149999999999999,0.51,0.5050000000000001,0.51,0.51,0.5050000000000001,0.51,0.5050000000000001,0.5,0.5050000000000001,0.5,0.505
tanh,0.5541919398612,50,1.28983022e-05,3,1.014646e-05,BeetleFly,0.445,0.42,0.44,0.48,0.49,0.495,0.485,0.49,0.49,0.495,0.485,0.485,0.49,0.49,0.5,0.495,0.49,0.5,0.51,0.51
tanh,0.1806455183283,52,0.0009180305894,1,0.0076059717874,BeetleFly,0.465,0.575,0.6300000000000001,0.6799999999999999,0.7150000000000001,0.7300000000000001,0.765,0.765,0.77,0.775,0.7699999999999999,0.78,0.7849999999999999,0.7849999999999999,0.7849999999999999,0.79,0.795,0.7950000000000002,0.79,0.79
tanh,0.265352201604,28,4.14090823e-05,4,0.0054910149603,BeetleFly,0.505,0.5,0.51,0.5,0.485,0.49,0.49,0.4649999999999999,0.475,0.485,0.48,0.475,0.45,0.4600000000000001,0.47,0.465,0.47,0.4599999999999999,0.445,0.445
relu,0.2880160089524,42,0.0004135991429,3,0.008162385886,BeetleFly,0.505,0.485,0.495,0.525,0.52,0.535,0.55,0.545,0.5549999999999999,0.5549999999999999,0.5650000000000001,0.58,0.59,0.6049999999999999,0.615,0.595,0.61,0.6049999999999999,0.63,0.64
relu,0.4384211751612,75,3.50664464e-05,3,6.02881569e-05,BeetleFly,0.515,0.51,0.51,0.4800000000000001,0.5,0.4800000000000001,0.47,0.4800000000000001,0.475,0.475,0.465,0.475,0.49,0.475,0.475,0.475,0.4800000000000001,0.485,0.4800000000000001,0.49
relu,0.3004777873109,114,0.0005299835702,2,9.92793269e-05,BeetleFly,0.4949999999999999,0.57,0.625,0.6849999999999999,0.68,0.7,0.7000000000000001,0.725,0.735,0.7449999999999999,0.75,0.755,0.755,0.765,0.7649999999999999,0.7699999999999999,0.7699999999999999,0.76,0.7699999999999999,0.76
relu,0.4326157535199,89,1.81895764e-05,4,0.0035791585303,BeetleFly,0.495,0.505,0.475,0.5,0.49,0.485,0.51,0.48,0.49,0.49,0.485,0.5,0.505,0.505,0.5050000000000001,0.505,0.51,0.5,0.5,0.51
tanh,0.1672731797265,43,0.000231379342,4,2.81083575e-05,BeetleFly,0.51,0.495,0.5,0.515,0.52,0.525,0.525,0.5349999999999999,0.54,0.5349999999999999,0.525,0.55,0.5650000000000001,0.5599999999999999,0.5700000000000001,0.575,0.575,0.5799999999999998,0.605,0.6100000000000001
gelu,0.445109547612,61,0.0002566094369,4,0.0009099554481,BeetleFly,0.5,0.51,0.515,0.5,0.51,0.5,0.49,0.49,0.505,0.505,0.505,0.515,0.5199999999999999,0.525,0.5199999999999999,0.51,0.525,0.54,0.5650000000000001,0.575
relu,0.3964911288382,73,0.0002507454786,1,8.13006293e-05,BeetleFly,0.505,0.55,0.59,0.62,0.65,0.6799999999999999,0.7050000000000001,0.7049999999999998,0.705,0.7150000000000001,0.735,0.7300000000000001,0.7449999999999999,0.74,0.7499999999999999,0.7499999999999999,0.76,0.76,0.7499999999999999,0.7449999999999999
gelu,0.1208251128893,17,3.45140225e-05,1,0.0002900142601,BeetleFly,0.47,0.485,0.485,0.4949999999999999,0.4949999999999999,0.515,0.5199999999999999,0.53,0.53,0.525,0.525,0.5449999999999999,0.55,0.5549999999999999,0.55,0.55,0.545,0.54,0.5400000000000001,0.545
tanh,0.3645404339902,12,5.59856902e-05,1,0.0060076435329,BeetleFly,0.47,0.465,0.4600000000000001,0.465,0.465,0.4600000000000001,0.4600000000000001,0.465,0.48,0.48,0.495,0.495,0.495,0.505,0.51,0.51,0.515,0.5199999999999999,0.5299999999999999,0.54
