bidirectional,dropout_rate,hidden_units,learning_rate,num_layers,output_activation,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
True,0.0186634673884,72,0.0002969130534,1,relu,Car,0.2533333328366279,0.2766666686534881,0.3016666701436042,0.3183333358168602,0.3358333377540111,0.3658333355188369,0.3841666692495346,0.3950000059604645,0.3958333373069763,0.3950000047683716,0.4041666719317436,0.4033333393931388,0.4008333390951157,0.4091666740179062,0.4075000047683715,0.409166669845581,0.4100000035762786,0.4066666686534882,0.4066666686534882,0.4041666686534881
False,0.0359307062275,74,2.75961503e-05,3,relu,Car,0.2316666682064533,0.2508333370834589,0.2716666687279939,0.2766666691750288,0.2883333365619183,0.3008333371579647,0.3125000047683716,0.3316666696965694,0.3383333379030228,0.3516666716337204,0.364166669845581,0.3750000029802322,0.3850000059604644,0.3866666722297668,0.3858333393931388,0.3933333387970924,0.3966666722297668,0.3975000047683715,0.3941666707396507,0.393333337008953
True,0.0139325051015,118,1.95733195e-05,1,relu,Car,0.2516666679084301,0.2466666691005229,0.2525000038743019,0.2591666698455811,0.2650000026822091,0.270000002682209,0.2741666692495346,0.2725000032782554,0.2716666705906391,0.2775000041723251,0.2916666695475579,0.3016666695475578,0.3075000038743019,0.3175000044703484,0.319166669845581,0.3216666689515114,0.3208333364129067,0.3266666713356971,0.3333333390951157,0.3433333370089531
False,0.2226713758956,160,0.0006339167217,1,gelu,Car,0.245,0.3216666680574417,0.3533333373069763,0.3383333376049995,0.3875000005960464,0.3808333390951157,0.3783333387970924,0.401666669845581,0.4075000014901161,0.4091666701436043,0.4233333384990693,0.4233333379030227,0.4066666734218597,0.4108333376049994,0.433333340883255,0.43166667252779,0.4391666722297668,0.4400000074505805,0.4400000071525573,0.4516666740179061
False,0.2490646550231,193,0.0008517557891,2,gelu,Car,0.253333335518837,0.3100000044703483,0.3150000023841858,0.3183333396911621,0.3283333364129066,0.3300000044703484,0.3716666680574417,0.3675000056624412,0.3833333402872085,0.3875000056624412,0.3966666716337203,0.4041666740179062,0.4050000047683716,0.4033333384990692,0.4108333376049995,0.4058333382010459,0.4216666734218597,0.4125000032782554,0.4300000050663947,0.4425000041723251
False,0.2213782285987,211,1.52242906e-05,2,relu,Car,0.250833336263895,0.2600000037252903,0.2833333386480808,0.292500005364418,0.3225000065565109,0.3350000038743019,0.341666671037674,0.3558333396911621,0.3758333355188369,0.390833335518837,0.4000000044703483,0.4066666686534881,0.4166666710376739,0.4300000041723251,0.4358333373069764,0.4375000029802322,0.4450000029802322,0.4475000047683715,0.451666671037674,0.4533333390951157
False,0.2910569764067,191,0.000569434657,2,gelu,Car,0.2566666702926158,0.2816666734218597,0.3300000029802323,0.3233333373069763,0.3800000023841858,0.4183333361148834,0.4016666722297669,0.3916666692495346,0.4116666728258132,0.4100000035762787,0.4316666710376739,0.4350000071525574,0.4100000029802322,0.4383333420753479,0.4316666758060455,0.4483333384990692,0.463333340883255,0.4466666722297668,0.4200000029802322,0.4516666758060455
False,0.0624603498817,227,1.03991551e-05,1,relu,Car,0.2583333355188369,0.264166669845581,0.2691666695475578,0.2758333358168602,0.2933333367109298,0.3000000041723251,0.3016666692495346,0.304166669845581,0.3100000029802322,0.3200000029802322,0.3233333373069763,0.3300000047683715,0.335000005364418,0.3416666713356972,0.3466666713356972,0.3525000044703484,0.3558333361148834,0.3558333373069763,0.3641666716337204,0.3675000035762786
False,0.2912006626045,128,1.54970938e-05,2,gelu,Car,0.2483333346247672,0.2516666677594185,0.2533333343267441,0.2683333337306976,0.2650000005960464,0.2683333373069763,0.2783333361148834,0.2866666716337204,0.2916666716337204,0.3050000017881394,0.3150000035762786,0.3133333379030227,0.3216666686534881,0.3300000029802322,0.3466666680574417,0.3500000011920929,0.3616666704416275,0.3733333379030227,0.371666669845581,0.3833333355188369
False,0.1862581186845,226,0.0005861217612,2,tanh,Car,0.2525000032037496,0.3116666704416275,0.3175000038743019,0.3275000029802322,0.3191666705906391,0.3558333396911621,0.3616666722297668,0.3733333367109298,0.3775000044703483,0.3875000044703484,0.4058333373069763,0.4100000047683716,0.4266666728258133,0.4166666695475579,0.420000005364418,0.4250000041723251,0.4375000047683716,0.4358333393931389,0.4425000059604645,0.4391666728258133
