Model,Dataset,Config_ID,Model_Size_Parameters,Performance_Val_Accuracy_Avg,Num_Seeds_Averaged,Is_Pareto_Optimal
FCNN,Car,34,111750,0.8167,5,No
FCNN,Car,33,79104,0.8483,5,No
FCNN,Car,11,17450,0.2850,5,No
FCNN,Car,29,22196,0.8033,5,No
FCNN,Car,16,113054,0.8067,5,No
FCNN,Car,20,29072,0.7883,5,No
FCNN,Car,18,5844,0.7583,5,No
FCNN,Car,27,26056,0.6367,5,No
FCNN,Car,73,63676,0.8200,5,No
FCNN,Car,87,55504,0.8117,5,No
FCNN,Car,80,25240,0.6667,5,No
FCNN,Car,74,73462,0.7900,5,No
FCNN,Car,42,17224,0.8150,5,No
FCNN,Car,89,32764,0.7933,5,No
FCNN,Car,45,25084,0.7883,5,No
FCNN,Car,19,36712,0.8250,5,No
FCNN,Car,26,33716,0.8017,5,No
FCNN,Car,21,105004,0.7817,5,No
FCNN,Car,28,9574,0.3650,5,No
FCNN,Car,17,76544,0.7233,5,No
FCNN,Car,10,74756,0.8483,5,No
FCNN,Car,44,69492,0.8383,5,No
FCNN,Car,43,89304,0.7817,5,No
FCNN,Car,88,12772,0.7917,5,No
FCNN,Car,75,109160,0.7733,5,No
FCNN,Car,81,119664,0.7133,5,No
FCNN,Car,86,32932,0.8300,5,No
FCNN,Car,72,21652,0.8133,5,No
FCNN,CatsDogs,36,246502,0.7503,5,No
FCNN,CatsDogs,9,119618,0.7448,5,No
FCNN,CatsDogs,31,333712,0.7491,5,No
FCNN,CatsDogs,7,430606,0.6370,5,No
FCNN,CatsDogs,38,69498,0.7679,5,No
FCNN,CatsDogs,54,534978,0.7533,5,No
FCNN,CatsDogs,98,310592,0.7418,5,No
FCNN,CatsDogs,53,471042,0.7703,5,No
FCNN,CatsDogs,91,551672,0.7497,5,No
FCNN,CatsDogs,65,414322,0.6691,5,No
FCNN,CatsDogs,62,138042,0.7618,5,No
FCNN,CatsDogs,96,270196,0.6376,5,No
FCNN,CatsDogs,1,421430,0.7479,5,No
FCNN,CatsDogs,39,94508,0.7521,5,No
FCNN,CatsDogs,6,616712,0.7442,5,No
FCNN,CatsDogs,30,163880,0.7509,5,No
FCNN,CatsDogs,8,523850,0.7515,5,No
FCNN,CatsDogs,37,444572,0.7539,5,No
FCNN,CatsDogs,97,323066,0.7564,5,No
FCNN,CatsDogs,63,370520,0.7552,5,No
FCNN,CatsDogs,64,224012,0.7582,5,No
FCNN,CatsDogs,90,313722,0.7539,5,No
FCNN,CatsDogs,99,181694,0.7515,5,No
FCNN,CatsDogs,52,611536,0.7545,5,No
FCNN,CatsDogs,55,486972,0.7582,5,No
FCNN,CatsDogs,83,272378,0.7533,5,No
FCNN,CatsDogs,77,414122,0.7455,5,No
FCNN,CatsDogs,48,580522,0.7503,5,No
FCNN,CatsDogs,70,192272,0.7624,5,No
FCNN,CatsDogs,84,236642,0.7497,5,No
FCNN,CatsDogs,46,428912,0.7467,5,No
FCNN,CatsDogs,79,49432,0.7655,5,No
FCNN,CatsDogs,41,84492,0.7303,5,No
FCNN,CatsDogs,15,119618,0.7345,5,No
FCNN,CatsDogs,12,162692,0.7473,5,No
FCNN,CatsDogs,24,350032,0.7570,5,No
FCNN,CatsDogs,23,606392,0.7455,5,No
FCNN,CatsDogs,40,49302,0.7527,5,No
FCNN,CatsDogs,47,125352,0.7600,5,No
FCNN,CatsDogs,78,360432,0.7533,5,No
FCNN,CatsDogs,85,238762,0.6685,5,No
FCNN,CatsDogs,71,462302,0.7552,5,No
FCNN,CatsDogs,100,158882,0.7618,5,No
FCNN,CatsDogs,76,419744,0.6800,5,No
FCNN,CatsDogs,82,637436,0.7503,5,No
FCNN,CatsDogs,49,49432,0.7691,5,No
FCNN,CatsDogs,22,251802,0.7455,5,No
FCNN,CatsDogs,25,256362,0.7600,5,No
FCNN,CatsDogs,13,140646,0.7533,5,No
FCNN,CatsDogs,14,210842,0.7594,5,No
FCNN,CatsDogs,50,381452,0.7527,5,No
FCNN,CatsDogs,68,575360,0.7558,5,No
FCNN,CatsDogs,57,463336,0.7485,5,No
FCNN,CatsDogs,61,217926,0.7527,5,No
FCNN,CatsDogs,95,312444,0.7479,5,No
FCNN,CatsDogs,59,359892,0.7479,5,No
FCNN,CatsDogs,92,83812,0.7412,5,No
FCNN,CatsDogs,66,59162,0.7788,5,No
FCNN,CatsDogs,32,487912,0.7527,5,No
FCNN,CatsDogs,35,304636,0.7588,5,No
FCNN,CatsDogs,3,256362,0.7479,5,No
FCNN,CatsDogs,4,295802,0.7424,5,No
FCNN,CatsDogs,58,583308,0.7564,5,No
FCNN,CatsDogs,67,497932,0.7594,5,No
FCNN,CatsDogs,93,488072,0.7497,5,No
FCNN,CatsDogs,94,384542,0.7485,5,No
FCNN,CatsDogs,60,175212,0.7491,5,No
FCNN,CatsDogs,69,492290,0.7673,5,No
FCNN,CatsDogs,56,428738,0.7606,5,No
FCNN,CatsDogs,51,549580,0.7527,5,No
FCNN,CatsDogs,5,385772,0.7515,5,No
FCNN,CatsDogs,2,135542,0.7545,5,No
FCNN,CatsDogs,34,624576,0.7533,5,No
FCNN,CatsDogs,33,570200,0.7594,5,No
FCNN,CatsDogs,11,130444,0.5158,5,No
FCNN,CatsDogs,29,187342,0.7436,5,No
FCNN,CatsDogs,16,630226,0.7533,5,No
FCNN,CatsDogs,20,215948,0.7448,5,No
FCNN,CatsDogs,18,49302,0.7727,5,No
FCNN,CatsDogs,27,195548,0.7527,5,No
FCNN,CatsDogs,73,428738,0.7545,5,No
FCNN,CatsDogs,87,381452,0.7479,5,No
FCNN,CatsDogs,80,181694,0.7618,5,No
FCNN,CatsDogs,74,534136,0.7582,5,No
FCNN,CatsDogs,42,138910,0.7558,5,No
FCNN,CatsDogs,89,228332,0.7594,5,No
FCNN,CatsDogs,45,198922,0.7576,5,No
FCNN,CatsDogs,19,284432,0.7491,5,No
FCNN,CatsDogs,26,246668,0.7515,5,No
FCNN,CatsDogs,21,648252,0.7588,5,No
FCNN,CatsDogs,28,74762,0.6358,5,No
FCNN,CatsDogs,17,463336,0.6703,5,No
FCNN,CatsDogs,10,631042,0.7448,5,No
FCNN,CatsDogs,44,508436,0.7503,5,No
FCNN,CatsDogs,43,523902,0.7564,5,No
FCNN,CatsDogs,88,104036,0.7606,5,No
FCNN,CatsDogs,75,613294,0.7600,5,No
FCNN,CatsDogs,81,658566,0.7503,5,No
FCNN,CatsDogs,86,241538,0.7630,5,No
FCNN,CatsDogs,72,165068,0.7533,5,No
FCNN,ChlorineConcentration,36,8603,0.4981,5,No
FCNN,ChlorineConcentration,9,5427,0.3460,5,No
FCNN,ChlorineConcentration,31,24443,0.4149,5,No
FCNN,ChlorineConcentration,7,35693,0.3615,5,No
FCNN,ChlorineConcentration,38,2887,0.4458,5,No
FCNN,ChlorineConcentration,54,40147,0.3495,5,No
FCNN,ChlorineConcentration,98,10839,0.4157,5,No
FCNN,ChlorineConcentration,53,33307,0.3735,5,No
FCNN,ChlorineConcentration,91,52083,0.5134,5,No
FCNN,ChlorineConcentration,65,33683,0.3530,5,No
FCNN,ChlorineConcentration,62,4819,0.4926,5,No
FCNN,ChlorineConcentration,96,18023,0.3541,5,No
FCNN,ChlorineConcentration,1,21759,0.5214,5,No
FCNN,ChlorineConcentration,39,4107,0.5505,5,No
FCNN,ChlorineConcentration,6,36237,0.5125,5,No
FCNN,ChlorineConcentration,30,6867,0.5387,5,No
FCNN,ChlorineConcentration,8,29019,0.5355,5,No
FCNN,ChlorineConcentration,37,30627,0.4406,5,No
FCNN,ChlorineConcentration,97,23313,0.5165,5,No
FCNN,ChlorineConcentration,63,18429,0.5415,5,No
FCNN,ChlorineConcentration,64,9903,0.5376,5,No
FCNN,ChlorineConcentration,90,18727,0.5593,5,No
FCNN,ChlorineConcentration,99,10407,0.4367,5,No
FCNN,ChlorineConcentration,52,35819,0.5480,5,No
FCNN,ChlorineConcentration,55,34963,0.5104,5,No
FCNN,ChlorineConcentration,83,15447,0.4266,5,No
FCNN,ChlorineConcentration,77,14451,0.4182,5,No
FCNN,ChlorineConcentration,48,33353,0.5641,5,No
FCNN,ChlorineConcentration,70,6711,0.3563,5,No
FCNN,ChlorineConcentration,84,8259,0.5288,5,No
FCNN,ChlorineConcentration,46,14967,0.3753,5,No
FCNN,ChlorineConcentration,79,1853,0.4980,5,No
FCNN,ChlorineConcentration,41,3607,0.3366,5,No
FCNN,ChlorineConcentration,15,5427,0.4056,5,No
FCNN,ChlorineConcentration,12,5679,0.4241,4,No
FCNN,ChlorineConcentration,24,12215,0.5384,5,No
FCNN,ChlorineConcentration,23,21159,0.5230,5,No
FCNN,ChlorineConcentration,40,1723,0.3400,5,No
FCNN,ChlorineConcentration,47,6403,0.4697,5,No
FCNN,ChlorineConcentration,78,27373,0.5362,5,No
FCNN,ChlorineConcentration,85,15137,0.3241,5,No
FCNN,ChlorineConcentration,71,24567,0.4045,5,No
FCNN,ChlorineConcentration,100,6627,0.3461,5,No
FCNN,ChlorineConcentration,76,34347,0.3072,5,No
FCNN,ChlorineConcentration,82,37929,0.3694,5,No
FCNN,ChlorineConcentration,49,1853,0.3520,5,No
FCNN,ChlorineConcentration,22,13903,0.3713,5,No
FCNN,ChlorineConcentration,25,8947,0.5354,5,No
FCNN,ChlorineConcentration,13,7423,0.3359,5,No
FCNN,ChlorineConcentration,14,11007,0.5485,5,No
FCNN,ChlorineConcentration,50,24603,0.4190,5,No
FCNN,ChlorineConcentration,68,32949,0.5741,5,No
FCNN,ChlorineConcentration,57,39875,0.3735,5,No
FCNN,ChlorineConcentration,61,13333,0.5099,5,No
FCNN,ChlorineConcentration,95,22207,0.5023,5,No
FCNN,ChlorineConcentration,59,12559,0.5140,5,No
FCNN,ChlorineConcentration,92,2927,0.3581,5,No
FCNN,ChlorineConcentration,66,2067,0.3804,5,No
FCNN,ChlorineConcentration,32,26387,0.5261,5,No
FCNN,ChlorineConcentration,35,14399,0.5428,5,No
FCNN,ChlorineConcentration,3,8947,0.3791,5,No
FCNN,ChlorineConcentration,4,10323,0.3545,5,No
FCNN,ChlorineConcentration,58,45655,0.4244,5,No
FCNN,ChlorineConcentration,67,17375,0.5466,5,No
FCNN,ChlorineConcentration,93,17031,0.5490,5,No
FCNN,ChlorineConcentration,94,13419,0.3597,5,No
FCNN,ChlorineConcentration,60,8683,0.5527,5,No
FCNN,ChlorineConcentration,69,35523,0.3640,5,No
FCNN,ChlorineConcentration,56,29067,0.3380,5,No
FCNN,ChlorineConcentration,51,30959,0.5706,5,No
FCNN,ChlorineConcentration,5,19407,0.5119,5,No
FCNN,ChlorineConcentration,2,7077,0.4720,5,No
FCNN,ChlorineConcentration,34,63133,0.4494,5,No
FCNN,ChlorineConcentration,33,32547,0.3805,5,No
FCNN,ChlorineConcentration,11,6737,0.3253,5,No
FCNN,ChlorineConcentration,29,6539,0.3752,5,No
FCNN,ChlorineConcentration,16,64025,0.5598,5,No
FCNN,ChlorineConcentration,20,11355,0.3663,5,No
FCNN,ChlorineConcentration,18,1723,0.3741,5,No
FCNN,ChlorineConcentration,27,9987,0.3479,5,No
FCNN,ChlorineConcentration,73,29067,0.3466,5,No
FCNN,ChlorineConcentration,87,24603,0.5483,5,No
FCNN,ChlorineConcentration,80,10407,0.3134,5,No
FCNN,ChlorineConcentration,74,29789,0.5721,5,No
FCNN,ChlorineConcentration,42,5687,0.3439,5,No
FCNN,ChlorineConcentration,89,14223,0.5193,5,No
FCNN,ChlorineConcentration,45,8603,0.3520,5,No
FCNN,ChlorineConcentration,19,13227,0.3972,5,No
FCNN,ChlorineConcentration,26,13527,0.5059,5,No
FCNN,ChlorineConcentration,21,53503,0.5808,5,No
FCNN,ChlorineConcentration,28,3393,0.3235,5,No
FCNN,ChlorineConcentration,17,39875,0.4683,5,No
FCNN,ChlorineConcentration,10,22019,0.4621,5,No
FCNN,ChlorineConcentration,44,27879,0.4791,5,No
FCNN,ChlorineConcentration,43,48103,0.3356,5,No
FCNN,ChlorineConcentration,88,4119,0.3588,5,No
FCNN,ChlorineConcentration,75,61367,0.3482,5,No
FCNN,ChlorineConcentration,81,68575,0.3375,5,No
FCNN,ChlorineConcentration,86,13155,0.4101,5,No
FCNN,ChlorineConcentration,72,8055,0.4766,5,No
FCNN,CinCECGTorso,36,82304,0.9766,5,No
FCNN,CinCECGTorso,9,40804,0.9516,5,No
FCNN,CinCECGTorso,31,120254,0.9764,5,No
FCNN,CinCECGTorso,7,158036,0.9146,5,No
FCNN,CinCECGTorso,38,23524,0.9364,5,No
FCNN,CinCECGTorso,54,193444,0.9714,5,No
FCNN,CinCECGTorso,98,103702,0.9787,5,No
FCNN,CinCECGTorso,53,168916,0.9800,5,No
FCNN,CinCECGTorso,91,206854,0.9853,5,No
FCNN,CinCECGTorso,65,151604,0.9063,5,No
FCNN,CinCECGTorso,62,46092,0.9658,5,No
FCNN,CinCECGTorso,96,96146,0.8631,5,No
FCNN,CinCECGTorso,1,145576,0.9797,5,No
FCNN,CinCECGTorso,39,32114,0.9679,5,No
FCNN,CinCECGTorso,6,216066,0.9858,5,No
FCNN,CinCECGTorso,30,55510,0.9737,5,No
FCNN,CinCECGTorso,8,182316,0.9826,5,No
FCNN,CinCECGTorso,37,158866,0.9793,5,No
FCNN,CinCECGTorso,97,116176,0.9799,5,No
FCNN,CinCECGTorso,63,127506,0.9825,5,No
FCNN,CinCECGTorso,64,76234,0.9748,5,No
FCNN,CinCECGTorso,90,110116,0.9782,5,No
FCNN,CinCECGTorso,99,63472,0.9689,5,No
FCNN,CinCECGTorso,52,214174,0.9874,5,No
FCNN,CinCECGTorso,55,174994,0.9776,5,No
FCNN,CinCECGTorso,83,95044,0.9810,5,No
FCNN,CinCECGTorso,77,138268,0.9822,5,No
FCNN,CinCECGTorso,48,202864,0.9837,5,No
FCNN,CinCECGTorso,70,64198,0.9658,5,No
FCNN,CinCECGTorso,84,79012,0.9785,5,No
FCNN,CinCECGTorso,46,143206,0.9842,5,No
FCNN,CinCECGTorso,79,16594,0.9286,5,No
FCNN,CinCECGTorso,41,28666,0.8036,5,No
FCNN,CinCECGTorso,15,40804,0.8990,5,No
FCNN,CinCECGTorso,12,54322,0.9566,5,No
FCNN,CinCECGTorso,24,116870,0.9813,5,No
FCNN,CinCECGTorso,23,202462,0.9852,5,No
FCNN,CinCECGTorso,40,16464,0.8288,5,No
FCNN,CinCECGTorso,47,43254,0.9624,5,No
FCNN,CinCECGTorso,78,130554,0.9701,5,No
FCNN,CinCECGTorso,85,84416,0.9002,5,No
FCNN,CinCECGTorso,71,160176,0.9863,5,No
FCNN,CinCECGTorso,100,53796,0.9645,5,No
FCNN,CinCECGTorso,76,153742,0.8963,5,No
FCNN,CinCECGTorso,82,223654,0.9835,5,No
FCNN,CinCECGTorso,49,16594,0.8455,5,No
FCNN,CinCECGTorso,22,87604,0.8875,5,No
FCNN,CinCECGTorso,25,85596,0.9785,5,No
FCNN,CinCECGTorso,13,48696,0.9626,5,No
FCNN,CinCECGTorso,14,72916,0.9776,5,No
FCNN,CinCECGTorso,50,135154,0.9815,5,No
FCNN,CinCECGTorso,68,200986,0.9840,5,No
FCNN,CinCECGTorso,57,171062,0.9696,5,No
FCNN,CinCECGTorso,61,76716,0.9791,5,No
FCNN,CinCECGTorso,95,112122,0.9734,5,No
FCNN,CinCECGTorso,59,120162,0.9831,5,No
FCNN,CinCECGTorso,92,27986,0.9160,5,No
FCNN,CinCECGTorso,66,19756,0.8815,5,No
FCNN,CinCECGTorso,32,169366,0.9867,5,No
FCNN,CinCECGTorso,35,104314,0.9831,5,No
FCNN,CinCECGTorso,3,85596,0.9760,5,No
FCNN,CinCECGTorso,4,98764,0.9786,5,No
FCNN,CinCECGTorso,58,212218,0.9858,5,No
FCNN,CinCECGTorso,67,166250,0.9801,5,No
FCNN,CinCECGTorso,93,162958,0.9839,5,No
FCNN,CinCECGTorso,94,128392,0.9815,5,No
FCNN,CinCECGTorso,60,60274,0.9744,5,No
FCNN,CinCECGTorso,69,177028,0.9785,5,No
FCNN,CinCECGTorso,56,152884,0.9824,5,No
FCNN,CinCECGTorso,51,191626,0.9832,5,No
FCNN,CinCECGTorso,5,132906,0.9853,5,No
FCNN,CinCECGTorso,2,46876,0.9702,5,No
FCNN,CinCECGTorso,34,237066,0.9853,5,No
FCNN,CinCECGTorso,33,199110,0.9881,5,No
FCNN,CinCECGTorso,11,45062,0.3949,5,No
FCNN,CinCECGTorso,29,62552,0.9643,5,No
FCNN,CinCECGTorso,16,239432,0.9831,5,No
FCNN,CinCECGTorso,20,74738,0.9774,5,No
FCNN,CinCECGTorso,18,16464,0.8350,5,No
FCNN,CinCECGTorso,27,67474,0.9625,5,No
FCNN,CinCECGTorso,73,152884,0.9831,5,No
FCNN,CinCECGTorso,87,135154,0.9815,5,No
FCNN,CinCECGTorso,80,63472,0.9649,5,No
FCNN,CinCECGTorso,74,186034,0.9844,5,No
FCNN,CinCECGTorso,42,46960,0.9665,5,No
FCNN,CinCECGTorso,89,80554,0.9771,5,No
FCNN,CinCECGTorso,45,67564,0.9767,5,No
FCNN,CinCECGTorso,19,97246,0.9823,5,No
FCNN,CinCECGTorso,26,85754,0.9814,5,No
FCNN,CinCECGTorso,21,237754,0.9865,5,No
FCNN,CinCECGTorso,28,25504,0.6764,5,No
FCNN,CinCECGTorso,17,171062,0.9761,5,No
FCNN,CinCECGTorso,10,210692,0.9870,5,No
FCNN,CinCECGTorso,44,176754,0.9836,5,No
FCNN,CinCECGTorso,43,195504,0.9843,5,No
FCNN,CinCECGTorso,88,35074,0.9631,5,No
FCNN,CinCECGTorso,75,232352,0.9856,5,No
FCNN,CinCECGTorso,81,251352,0.9797,5,No
FCNN,CinCECGTorso,86,83908,0.9805,5,No
FCNN,CinCECGTorso,72,56698,0.9718,5,No
FCNN,CounterMovementJump,36,212803,0.9033,5,No
FCNN,CounterMovementJump,9,103443,0.9088,5,No
FCNN,CounterMovementJump,31,289903,0.9157,5,No
FCNN,CounterMovementJump,7,374665,0.8233,5,No
FCNN,CounterMovementJump,38,60063,0.9052,5,No
FCNN,CounterMovementJump,54,464883,0.9069,5,No
FCNN,CounterMovementJump,98,268131,0.9029,5,No
FCNN,CounterMovementJump,53,409035,0.9076,5,No
FCNN,CounterMovementJump,91,480903,0.9086,5,No
FCNN,CounterMovementJump,65,360403,0.8224,5,No
FCNN,CounterMovementJump,62,119171,0.9043,5,No
FCNN,CounterMovementJump,96,234475,0.8290,5,No
FCNN,CounterMovementJump,1,364815,0.9093,5,No
FCNN,CounterMovementJump,39,81703,0.8924,5,No
FCNN,CounterMovementJump,6,534485,0.9081,5,No
FCNN,CounterMovementJump,30,141639,0.9081,5,No
FCNN,CounterMovementJump,8,453755,0.9086,5,No
FCNN,CounterMovementJump,37,385935,0.9076,5,No
FCNN,CounterMovementJump,97,280605,0.9095,5,No
FCNN,CounterMovementJump,63,320645,0.9055,5,No
FCNN,CounterMovementJump,64,193683,0.9055,5,No
FCNN,CounterMovementJump,90,271935,0.9148,5,No
FCNN,CounterMovementJump,99,157431,0.9045,5,No
FCNN,CounterMovementJump,52,529983,0.9105,5,No
FCNN,CounterMovementJump,55,422943,0.9110,5,No
FCNN,CounterMovementJump,83,235983,0.9048,5,No
FCNN,CounterMovementJump,77,357507,0.8990,5,No
FCNN,CounterMovementJump,48,503013,0.9148,5,No
FCNN,CounterMovementJump,70,165987,0.9005,5,No
FCNN,CounterMovementJump,84,204291,0.9029,5,No
FCNN,CounterMovementJump,46,370275,0.9038,5,No
FCNN,CounterMovementJump,79,42693,0.8988,5,No
FCNN,CounterMovementJump,41,73035,0.8740,5,No
FCNN,CounterMovementJump,15,103443,0.9000,5,No
FCNN,CounterMovementJump,12,140451,0.9007,5,No
FCNN,CounterMovementJump,24,302179,0.9010,5,No
FCNN,CounterMovementJump,23,523491,0.9048,5,No
FCNN,CounterMovementJump,40,42563,0.8705,5,No
FCNN,CounterMovementJump,47,108503,0.9067,5,No
FCNN,CounterMovementJump,78,313253,0.9121,5,No
FCNN,CounterMovementJump,85,207085,0.8121,5,No
FCNN,CounterMovementJump,71,400295,0.9071,5,No
FCNN,CounterMovementJump,100,137315,0.9052,5,No
FCNN,CounterMovementJump,76,365151,0.8362,5,No
FCNN,CounterMovementJump,82,552513,0.9029,5,No
FCNN,CounterMovementJump,49,42693,0.8824,5,No
FCNN,CounterMovementJump,22,218103,0.8764,5,No
FCNN,CounterMovementJump,25,221315,0.8924,5,No
FCNN,CounterMovementJump,13,121775,0.9019,5,No
FCNN,CounterMovementJump,14,182535,0.9040,5,No
FCNN,CounterMovementJump,50,330903,0.9040,5,No
FCNN,CounterMovementJump,68,498525,0.9138,5,No
FCNN,CounterMovementJump,57,403351,0.9002,5,No
FCNN,CounterMovementJump,61,188945,0.9133,5,No
FCNN,CounterMovementJump,95,271331,0.9088,5,No
FCNN,CounterMovementJump,59,310691,0.9048,5,No
FCNN,CounterMovementJump,92,72355,0.8986,5,No
FCNN,CounterMovementJump,66,51075,0.8969,5,No
FCNN,CounterMovementJump,32,422535,0.9105,5,No
FCNN,CounterMovementJump,35,263523,0.9114,5,No
FCNN,CounterMovementJump,3,221315,0.8976,5,No
FCNN,CounterMovementJump,4,255363,0.9062,5,No
FCNN,CounterMovementJump,58,507147,0.9143,5,No
FCNN,CounterMovementJump,67,429859,0.9019,5,No
FCNN,CounterMovementJump,93,421347,0.9033,5,No
FCNN,CounterMovementJump,94,331971,0.9019,5,No
FCNN,CounterMovementJump,60,151623,0.9074,5,No
FCNN,CounterMovementJump,69,427587,0.9062,5,No
FCNN,CounterMovementJump,56,372123,0.9076,5,No
FCNN,CounterMovementJump,51,476115,0.9105,5,No
FCNN,CounterMovementJump,5,333875,0.9105,5,No
FCNN,CounterMovementJump,2,117345,0.9100,5,No
FCNN,CounterMovementJump,34,545045,0.9107,5,No
FCNN,CounterMovementJump,33,494039,0.9029,5,No
FCNN,CounterMovementJump,11,112921,0.4524,5,No
FCNN,CounterMovementJump,29,161731,0.9014,5,No
FCNN,CounterMovementJump,16,550021,0.9183,5,No
FCNN,CounterMovementJump,20,186967,0.9074,5,No
FCNN,CounterMovementJump,18,42563,0.8836,5,No
FCNN,CounterMovementJump,27,169263,0.8938,5,No
FCNN,CounterMovementJump,73,372123,0.9021,5,No
FCNN,CounterMovementJump,87,330903,0.9186,5,No
FCNN,CounterMovementJump,80,157431,0.9010,5,No
FCNN,CounterMovementJump,74,462693,0.9102,5,No
FCNN,CounterMovementJump,42,120039,0.8971,5,No
FCNN,CounterMovementJump,89,198003,0.9098,5,No
FCNN,CounterMovementJump,45,171963,0.9002,5,No
FCNN,CounterMovementJump,19,246015,0.9005,5,No
FCNN,CounterMovementJump,26,213643,0.9079,5,No
FCNN,CounterMovementJump,21,564003,0.9198,5,No
FCNN,CounterMovementJump,28,64653,0.8548,5,No
FCNN,CounterMovementJump,17,403351,0.9129,5,No
FCNN,CounterMovementJump,10,544771,0.9038,5,No
FCNN,CounterMovementJump,44,440363,0.9076,5,No
FCNN,CounterMovementJump,43,456503,0.8981,5,No
FCNN,CounterMovementJump,88,89883,0.8957,5,No
FCNN,CounterMovementJump,75,535111,0.9090,5,No
FCNN,CounterMovementJump,81,574991,0.9083,5,No
FCNN,CounterMovementJump,86,209187,0.9098,5,No
FCNN,CounterMovementJump,72,142827,0.9029,5,No
FCNN,DucksAndGeese,36,247055,0.8920,5,No
FCNN,DucksAndGeese,9,119885,0.7000,5,No
FCNN,DucksAndGeese,31,334430,0.7300,5,No
FCNN,DucksAndGeese,7,431522,0.3280,5,No
FCNN,DucksAndGeese,38,69655,0.6400,5,No
FCNN,DucksAndGeese,54,536125,0.5700,5,No
FCNN,DucksAndGeese,98,311288,0.8740,5,No
FCNN,DucksAndGeese,53,472057,0.8080,5,No
FCNN,DucksAndGeese,91,552830,0.8800,5,No
FCNN,DucksAndGeese,65,415205,0.3420,5,No
FCNN,DucksAndGeese,62,138353,0.8820,5,No
FCNN,DucksAndGeese,96,270782,0.2940,5,No
FCNN,DucksAndGeese,1,422357,0.8840,5,No
FCNN,DucksAndGeese,39,94720,0.8800,5,No
FCNN,DucksAndGeese,6,618057,0.8840,5,No
FCNN,DucksAndGeese,30,164246,0.8840,5,No
FCNN,DucksAndGeese,8,524997,0.8800,5,No
FCNN,DucksAndGeese,37,445532,0.8760,5,No
FCNN,DucksAndGeese,97,323762,0.8820,5,No
FCNN,DucksAndGeese,63,371337,0.8820,5,No
FCNN,DucksAndGeese,64,224510,0.8880,5,No
FCNN,DucksAndGeese,90,314407,0.8960,5,No
FCNN,DucksAndGeese,99,182093,0.7240,5,No
FCNN,DucksAndGeese,52,612870,0.8960,5,No
FCNN,DucksAndGeese,55,488020,0.8920,5,No
FCNN,DucksAndGeese,83,272975,0.8880,5,No
FCNN,DucksAndGeese,77,415049,0.8800,5,No
FCNN,DucksAndGeese,48,581790,0.8920,5,No
FCNN,DucksAndGeese,70,192704,0.8660,5,No
FCNN,DucksAndGeese,84,237173,0.8860,5,No
FCNN,DucksAndGeese,46,429872,0.8780,5,No
FCNN,DucksAndGeese,79,49545,0.8320,5,No
FCNN,DucksAndGeese,41,84682,0.4840,5,No
FCNN,DucksAndGeese,15,119885,0.4320,5,No
FCNN,DucksAndGeese,12,163058,0.8880,5,No
FCNN,DucksAndGeese,24,350816,0.8940,5,No
FCNN,DucksAndGeese,23,607748,0.8840,5,No
FCNN,DucksAndGeese,40,49415,0.6760,5,No
FCNN,DucksAndGeese,47,125630,0.7680,5,No
FCNN,DucksAndGeese,78,361205,0.8680,5,No
FCNN,DucksAndGeese,85,239282,0.3740,5,No
FCNN,DucksAndGeese,71,463317,0.8780,5,No
FCNN,DucksAndGeese,100,159237,0.8640,5,No
FCNN,DucksAndGeese,76,420638,0.3360,5,No
FCNN,DucksAndGeese,82,638825,0.8900,5,No
FCNN,DucksAndGeese,49,49545,0.5820,5,No
FCNN,DucksAndGeese,22,252355,0.4480,5,No
FCNN,DucksAndGeese,25,256937,0.8860,5,No
FCNN,DucksAndGeese,13,140957,0.7540,5,No
FCNN,DucksAndGeese,14,211307,0.8900,5,No
FCNN,DucksAndGeese,50,382280,0.8600,5,No
FCNN,DucksAndGeese,68,576617,0.8960,5,No
FCNN,DucksAndGeese,57,464318,0.5820,5,No
FCNN,DucksAndGeese,61,218402,0.8860,5,No
FCNN,DucksAndGeese,95,313118,0.8580,5,No
FCNN,DucksAndGeese,59,360698,0.8860,5,No
FCNN,DucksAndGeese,92,84002,0.8600,5,No
FCNN,DucksAndGeese,66,59297,0.8220,5,No
FCNN,DucksAndGeese,32,488982,0.8900,5,No
FCNN,DucksAndGeese,35,305310,0.8820,5,No
FCNN,DucksAndGeese,3,256937,0.8860,5,No
FCNN,DucksAndGeese,4,296465,0.8660,5,No
FCNN,DucksAndGeese,58,584554,0.8960,5,No
FCNN,DucksAndGeese,67,499046,0.8880,5,No
FCNN,DucksAndGeese,93,489164,0.8800,5,No
FCNN,DucksAndGeese,94,385403,0.8760,5,No
FCNN,DucksAndGeese,60,175600,0.8780,5,No
FCNN,DucksAndGeese,69,493349,0.8820,5,No
FCNN,DucksAndGeese,56,429665,0.8600,5,No
FCNN,DucksAndGeese,51,550782,0.8860,5,No
FCNN,DucksAndGeese,5,386622,0.8800,5,No
FCNN,DucksAndGeese,2,135842,0.8360,5,No
FCNN,DucksAndGeese,34,625877,0.8840,5,No
FCNN,DucksAndGeese,33,571446,0.8920,5,No
FCNN,DucksAndGeese,11,130733,0.2080,5,No
FCNN,DucksAndGeese,29,187763,0.8880,5,No
FCNN,DucksAndGeese,16,631538,0.8900,5,No
FCNN,DucksAndGeese,20,216424,0.8720,5,No
FCNN,DucksAndGeese,18,49415,0.7740,5,No
