Model,Dataset,Config_ID,Model_Size_Parameters,Performance_Val_Accuracy_Avg,Num_Seeds_Averaged,Is_Pareto_Optimal
CNN,AbnormalHeartbeat,28,120772,0.6985,5,No
CNN,AbnormalHeartbeat,17,18866,0.6439,5,No
CNN,AbnormalHeartbeat,10,10698,0.6995,5,No
CNN,AbnormalHeartbeat,44,83495,0.5839,5,No
CNN,AbnormalHeartbeat,43,238556,0.7127,5,No
CNN,AbnormalHeartbeat,88,224072,0.7283,5,No
CNN,AbnormalHeartbeat,75,286622,0.7332,5,No
CNN,AbnormalHeartbeat,81,982940,0.5751,5,No
CNN,AbnormalHeartbeat,86,1705498,0.7166,5,No
CNN,AbnormalHeartbeat,72,554897,0.5663,5,No
CNN,Adiac,36,326332,0.7381,5,No
CNN,Adiac,9,176829,0.7200,5,No
CNN,Adiac,31,692112,0.7411,5,No
CNN,Adiac,7,6692,0.3651,5,No
CNN,Adiac,38,723868,0.6555,5,No
CNN,Adiac,54,326242,0.7694,5,No
CNN,Adiac,98,142717,0.8132,5,No
CNN,Adiac,53,737249,0.6645,5,No
CNN,Adiac,91,502462,0.7623,5,No
CNN,Adiac,65,169765,0.7493,5,No
CNN,Adiac,62,118493,0.8344,5,No
CNN,Adiac,96,289957,0.8094,5,No
CNN,Adiac,1,236207,0.7006,5,No
CNN,Adiac,39,312837,0.7577,5,No
CNN,Adiac,6,643489,0.7478,5,No
CNN,Adiac,30,153509,0.8423,5,No
CNN,Adiac,8,238173,0.7506,5,No
CNN,Adiac,37,196048,0.6785,5,No
CNN,Adiac,97,424032,0.6502,5,No
CNN,Adiac,63,29683,0.7618,5,No
CNN,Adiac,64,338505,0.8155,5,No
CNN,Adiac,90,159526,0.7518,5,No
CNN,Adiac,99,24682,0.6734,5,No
CNN,Adiac,52,671803,0.7613,5,No
CNN,Adiac,55,155009,0.7676,5,No
CNN,Adiac,83,769515,0.7503,5,No
CNN,Adiac,77,423707,0.7287,5,No
CNN,Adiac,48,301627,0.7055,5,No
CNN,Adiac,70,676147,0.7587,5,No
CNN,Adiac,84,114827,0.6866,5,No
CNN,Adiac,46,863207,0.7850,5,No
CNN,Adiac,79,746469,0.7017,5,No
CNN,Adiac,41,1144537,0.7011,5,No
CNN,Adiac,15,5393,0.6298,5,No
CNN,Adiac,12,332111,0.7406,5,No
CNN,Adiac,24,10517,0.6871,5,No
CNN,Adiac,23,234649,0.6792,5,No
CNN,Adiac,40,98229,0.7806,5,No
CNN,Adiac,47,793023,0.7355,5,No
CNN,Adiac,78,158139,0.5671,5,No
CNN,Adiac,85,1409248,0.7373,5,No
CNN,Adiac,71,284353,0.7648,5,No
CNN,Adiac,100,114839,0.6871,5,No
CNN,Adiac,76,755365,0.6739,5,No
CNN,Adiac,82,166005,0.7704,5,No
CNN,Adiac,49,466917,0.6795,5,No
CNN,Adiac,22,250103,0.8048,5,No
CNN,Adiac,25,291289,0.7638,5,No
CNN,Adiac,13,323074,0.7587,5,No
CNN,Adiac,14,109235,0.8115,5,No
CNN,Adiac,50,42589,0.5827,5,No
CNN,Adiac,68,18803,0.4237,5,No
CNN,Adiac,57,104341,0.7455,5,No
CNN,Adiac,61,140260,0.7136,5,No
CNN,Adiac,95,1183653,0.7129,5,No
CNN,Adiac,59,228377,0.7383,5,No
CNN,Adiac,92,799507,0.7493,5,No
CNN,Adiac,66,77317,0.7918,5,No
CNN,Adiac,32,18293,0.8003,5,No
CNN,Adiac,35,1121449,0.7225,5,No
CNN,Adiac,3,41112,0.2066,5,No
CNN,Adiac,4,129573,0.7676,5,No
CNN,Adiac,58,548073,0.6186,5,No
CNN,Adiac,67,546559,0.7766,5,No
CNN,Adiac,93,54361,0.6818,5,No
CNN,Adiac,94,176185,0.7371,5,No
CNN,Adiac,60,147628,0.7656,5,No
CNN,Adiac,69,737509,0.7223,5,No
CNN,Adiac,56,1044609,0.8148,5,No
CNN,Adiac,51,973844,0.7702,5,No
CNN,Adiac,5,247933,0.7101,5,No
CNN,Adiac,2,704089,0.7320,5,No
CNN,Adiac,34,185675,0.7613,5,No
CNN,Adiac,33,6265,0.7605,5,No
CNN,Adiac,11,365045,0.6313,5,No
