activation,dropout_rate,ff_dim,hidden_units,learning_rate,num_heads,num_layers,pooling,dataset,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20
gelu,0.2659593347188,331,169,8.43257041e-05,6,5,mean,CinCECGTorso,0.325,0.1625,0.3,0.3,0.2375,0.2125,0.25,0.2875,0.275,0.25,0.3125,0.325,0.3375,0.3125,0.2875,0.275,0.2625,0.275,0.2875,0.3125
gelu,0.2078706140663,417,309,0.0001992767244,3,5,max,CinCECGTorso,0.2625,0.1875,0.3375,0.175,0.1875,0.2375,0.25,0.2875,0.25,0.3125,0.3,0.225,0.3625,0.375,0.325,0.2375,0.325,0.35,0.2625,0.325
gelu,0.1800727611378,262,108,0.0001524232413,8,3,max,CinCECGTorso,0.225,0.3375,0.3125,0.325,0.375,0.3875,0.35,0.3375,0.3125,0.3,0.3125,0.3375,0.275,0.275,0.275,0.3125,0.3375,0.3375,0.3625,0.3375
relu,0.1126050770617,568,124,8.1041139e-05,3,2,mean,CinCECGTorso,0.3375,0.2,0.3125,0.3625,0.325,0.35,0.275,0.3,0.3375,0.2625,0.325,0.3625,0.35,0.3875,0.375,0.3875,0.4,0.425,0.45,0.4375
relu,0.1683732048574,350,261,0.0001622411327,2,6,max,CinCECGTorso,0.2875,0.275,0.225,0.325,0.2875,0.275,0.2375,0.3125,0.3625,0.325,0.3,0.275,0.3375,0.3625,0.3,0.325,0.3625,0.3125,0.3125,0.375
gelu,0.1696748846128,507,462,0.0002777170802,7,2,mean,CinCECGTorso,0.2,0.3,0.2125,0.3875,0.3125,0.275,0.325,0.35,0.35,0.2625,0.4,0.3,0.3,0.3375,0.375,0.375,0.35,0.3375,0.4,0.3625
gelu,0.1596912679621,324,94,0.0002225834019,4,3,max,CinCECGTorso,0.3,0.275,0.3,0.2875,0.3125,0.3625,0.3875,0.3375,0.3375,0.3625,0.35,0.325,0.3375,0.3625,0.35,0.325,0.3375,0.375,0.3625,0.3375
relu,0.2443434079187,419,482,8.74643457e-05,5,2,max,CinCECGTorso,0.175,0.3125,0.3,0.2875,0.3125,0.3875,0.3125,0.2875,0.3625,0.35,0.3875,0.3375,0.3375,0.3875,0.35,0.3125,0.3875,0.375,0.35,0.3875
gelu,0.206277745595,408,84,0.0009036976475,8,4,mean,CinCECGTorso,0.2375,0.2125,0.2625,0.175,0.1625,0.2875,0.275,0.2,0.3125,0.3125,0.2875,0.3375,0.3125,0.3375,0.325,0.375,0.375,0.35,0.4,0.4125
gelu,0.1112822242393,786,100,0.0001957302649,2,6,max,CinCECGTorso,0.2625,0.175,0.2875,0.275,0.2625,0.375,0.325,0.2625,0.2625,0.4,0.3375,0.25,0.325,0.35,0.325,0.275,0.3125,0.325,0.3375,0.3375
gelu,0.27932214181,639,208,1.02616986e-05,5,6,max,CinCECGTorso,0.2875,0.275,0.275,0.25,0.2125,0.2,0.175,0.1875,0.2,0.2,0.1875,0.2125,0.1875,0.2,0.1875,0.2,0.2125,0.2125,0.2125,0.2125
gelu,0.1642170252408,576,164,8.31797856e-05,4,2,max,CinCECGTorso,0.1625,0.175,0.3,0.3875,0.3875,0.4625,0.4,0.3625,0.375,0.375,0.375,0.425,0.425,0.3875,0.425,0.45,0.45,0.45,0.4375,0.4
