bidirectional,dropout_rate,hidden_units,learning_rate,num_layers,output_activation,dataset,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20
False,0.1152722018246,79,0.000523015176,3,gelu,CinCECGTorso,0.3125,0.5125,0.6125,0.5625,0.625,0.5875,0.6,0.675,0.6625,0.6625,0.6875,0.6625,0.675,0.6875,0.6875,0.7125,0.7125,0.775,0.775,0.7625
False,0.1488436133708,228,0.0001073397152,2,tanh,CinCECGTorso,0.25,0.4,0.4,0.475,0.5125,0.55,0.55,0.575,0.6125,0.7,0.6625,0.725,0.7,0.7375,0.75,0.7625,0.75,0.75,0.7875,0.8125
True,0.1283116540965,187,0.0003407823695,3,gelu,CinCECGTorso,0.325,0.6,0.65,0.725,0.7,0.75,0.775,0.7875,0.7875,0.8,0.7875,0.8125,0.7125,0.775,0.8125,0.775,0.8375,0.8125,0.8125,0.8
False,0.2278731030421,74,0.000702054067,3,relu,CinCECGTorso,0.175,0.3875,0.5125,0.5375,0.5625,0.6,0.575,0.575,0.625,0.5875,0.5,0.575,0.6375,0.6375,0.6625,0.6875,0.6625,0.7,0.7,0.6875
False,0.0234091618909,186,0.00010237376,1,gelu,CinCECGTorso,0.3125,0.3625,0.6,0.5875,0.6125,0.6125,0.6625,0.6875,0.675,0.6875,0.7,0.675,0.65,0.7,0.7,0.7125,0.6875,0.7125,0.7,0.7125
False,0.1278245803526,81,0.0007976643912,2,tanh,CinCECGTorso,0.1875,0.4125,0.425,0.3875,0.475,0.475,0.525,0.575,0.5625,0.5625,0.6,0.65,0.65,0.65,0.7125,0.6625,0.675,0.6875,0.725,0.675
True,0.2828247900937,120,0.0004945277476,2,relu,CinCECGTorso,0.2,0.425,0.4625,0.5875,0.5875,0.6125,0.6375,0.625,0.625,0.6875,0.65,0.7,0.7875,0.7875,0.8,0.7625,0.7625,0.8,0.825,0.7625
True,0.1579546705889,68,0.0009102653092,2,gelu,CinCECGTorso,0.1625,0.3375,0.5375,0.4375,0.5125,0.55,0.55,0.6375,0.6875,0.65,0.625,0.5875,0.625,0.55,0.5875,0.6375,0.65,0.6875,0.725,0.7125
True,0.1661734792563,82,0.0002031773625,1,tanh,CinCECGTorso,0.25,0.3625,0.4125,0.4625,0.475,0.475,0.425,0.4625,0.4875,0.5125,0.4875,0.525,0.5375,0.5625,0.6,0.55,0.6125,0.675,0.675,0.6875
True,0.1074599663531,216,0.0006575843798,2,relu,CinCECGTorso,0.325,0.4125,0.4,0.4625,0.625,0.475,0.575,0.6125,0.625,0.5625,0.5875,0.6375,0.5375,0.6375,0.6,0.5625,0.6125,0.65,0.6875,0.6125
True,0.0529677455955,215,0.0002518784549,2,relu,CinCECGTorso,0.2625,0.575,0.525,0.575,0.675,0.6,0.5875,0.6625,0.725,0.7375,0.6625,0.7,0.7625,0.7,0.675,0.7375,0.8375,0.8125,0.8,0.75
True,0.2344980377555,101,0.0003847707671,1,relu,CinCECGTorso,0.25,0.35,0.4375,0.4625,0.525,0.525,0.5,0.5375,0.5375,0.5875,0.575,0.6,0.575,0.6,0.6375,0.6,0.65,0.65,0.6,0.55
False,0.1091210691302,125,0.0001747995883,2,gelu,CinCECGTorso,0.225,0.4375,0.4875,0.525,0.5375,0.5375,0.5375,0.5625,0.625,0.65,0.6625,0.6625,0.6625,0.6625,0.6625,0.675,0.75,0.65,0.6625,0.7
False,0.1822406213056,86,0.0008847390519,2,tanh,CinCECGTorso,0.175,0.4,0.45,0.4875,0.55,0.625,0.6,0.575,0.5875,0.625,0.675,0.6125,0.5875,0.6125,0.5625,0.6,0.6125,0.7125,0.675,0.725
False,0.2215953979471,233,0.0007756889822,3,gelu,CinCECGTorso,0.3375,0.4,0.4625,0.5,0.3875,0.4875,0.375,0.3125,0.4,0.4125,0.4625,0.475,0.4625,0.5375,0.5,0.5375,0.6125,0.55,0.5375,0.6
False,0.1862581186845,79,0.0001403042296,1,gelu,CinCECGTorso,0.3625,0.45,0.475,0.4625,0.45,0.45,0.5625,0.5625,0.55,0.525,0.5375,0.525,0.525,0.5625,0.55,0.525,0.55,0.55,0.5625,0.5875
True,0.1132884683647,200,0.0002301784056,3,relu,CinCECGTorso,0.3125,0.4625,0.55,0.6125,0.725,0.775,0.6625,0.6375,0.675,0.725,0.7,0.75,0.8,0.7625,0.7125,0.7625,0.775,0.725,0.8,0.8
False,0.0290003570397,66,0.0001405807592,3,relu,CinCECGTorso,0.2375,0.4,0.5,0.5125,0.5375,0.5875,0.6375,0.675,0.6375,0.6375,0.6625,0.6875,0.6625,0.7,0.6875,0.6875,0.725,0.725,0.725,0.725
True,0.2342632886,219,0.0009830591396,2,gelu,CinCECGTorso,0.25,0.3625,0.4,0.475,0.4875,0.5125,0.475,0.5875,0.5875,0.5875,0.5375,0.5,0.4875,0.55,0.5625,0.5125,0.5625,0.6,0.55,0.5625
True,0.2925630471927,219,0.0001681956334,3,gelu,CinCECGTorso,0.35,0.5125,0.5,0.5875,0.6375,0.6875,0.75,0.75,0.7625,0.8,0.75,0.7,0.7375,0.7875,0.775,0.775,0.7875,0.7375,0.7125,0.75
False,0.2513545009496,109,0.0001066899557,1,gelu,CinCECGTorso,0.35,0.3875,0.375,0.425,0.5,0.4875,0.4875,0.475,0.4875,0.4875,0.55,0.575,0.575,0.6,0.5875,0.575,0.575,0.575,0.6,0.5625
