Model,Dataset,Regressor,R2,R2_std,RMSE,RMSE_std,MAE,MAE_std
FCNN,HouseTwenty,XGBoost,0.6266,0.1809,0.0404,0.0068,0.0306,0.0052
FCNN,CatsDogs,XGBoost,0.5701,0.175,0.0444,0.0087,0.032,0.0062
FCNN,Car,XGBoost,0.5989,0.1436,0.1005,0.0147,0.0811,0.0139
FCNN,BeetleFly,XGBoost,0.7056,0.1185,0.0512,0.0088,0.0388,0.0061
FCNN,CBF,XGBoost,0.5167,0.2235,0.1139,0.0242,0.0779,0.0183
FCNN,Adiac,XGBoost,0.5454,0.1902,0.1024,0.0172,0.0791,0.0146
FCNN,Beef,XGBoost,0.6687,0.1104,0.0686,0.0106,0.0543,0.0087
FCNN,CounterMovementJump,XGBoost,0.6866,0.1146,0.0939,0.0151,0.0688,0.0138
FCNN,classification_ozone,XGBoost,0.1924,0.4298,0.0394,0.0069,0.0306,0.0055
FCNN,RightWhaleCalls,XGBoost,-0.1308,0.3601,0.0081,0.0012,0.0062,0.001
FCNN,KeplerLightCurves,XGBoost,0.5796,0.1873,0.0383,0.0072,0.03,0.0062
FCNN,FaultDetectionB,XGBoost,0.7209,0.1082,0.0951,0.0157,0.0716,0.0145
FCNN,EigenWorms,XGBoost,0.6501,0.117,0.1172,0.021,0.0849,0.0165
FCNN,AbnormalHeartbeat,XGBoost,0.5269,0.1948,0.0479,0.0105,0.0345,0.0081
FCNN,FiftyWords,XGBoost,0.6818,0.1403,0.1019,0.0168,0.0803,0.0137
FCNN,ArrowHead,XGBoost,0.581,0.1923,0.0916,0.0153,0.0697,0.0102
FCNN,ChlorineConcentration,XGBoost,0.789,0.095,0.0236,0.0042,0.0183,0.0034
FCNN,DucksAndGeese,XGBoost,0.7209,0.1451,0.1028,0.0223,0.0734,0.0169
FCNN,BinaryHeartbeat,XGBoost,0.4568,0.199,0.0516,0.0101,0.0358,0.0091
FCNN,BirdChicken,XGBoost,0.6816,0.1085,0.0525,0.006,0.0419,0.0059
FCNN,CinCECGTorso,XGBoost,0.4993,0.2358,0.1393,0.0223,0.102,0.0181
